#
# Population calibration file
#
# data obtained from:
#    UNESCO: http://www.uis.unesco.org/Datacentre/Pages/instructions.aspx?SPSLanguage=EN
#
Year,Population
1890,1530.880
1891,1542.852
1892,1554.824
1893,1566.796
1894,1578.768
1895,1590.740
1896,1602.712
1897,1614.684
1898,1626.656
1899,1638.628
1900,1650.600
1901,1662.864
1902,1675.128
1903,1687.392
1904,1699.656
1905,1711.920
1906,1724.184
1907,1736.448
1908,1748.712
1909,1760.976
1910,1773.240
1911,1786.680
1912,1800.120
1913,1813.560
1914,1827.000
1915,1840.440
1916,1853.880
1917,1867.320
1918,1880.760
1919,1894.200
1920,1907.640
1921,1925.604
1922,1943.568
1923,1961.532
1924,1979.496
1925,1997.460
1926,2015.424
1927,2033.388
1928,2051.352
1929,2069.316
1930,2087.280
1931,2108.835
1932,2130.390
1933,2151.945
1934,2173.500
1935,2195.055
1936,2216.610
1937,2238.165
1938,2259.720
1939,2281.275
1940,2302.830
1941,2325.479
1942,2348.128
1943,2370.777
1944,2393.426
1945,2416.075
1946,2438.724
1947,2461.373
1948,2484.022
1949,2506.671
1950,2529.320
1951,2590.435
1952,2651.550
1953,2712.665
1954,2773.780
1955,2834.895
1956,2896.010
1957,2957.125
1958,3018.240
1959,3079.355
1960,3140.470
1961,3195.000
1962,3249.530
1963,3304.060
1964,3358.590
1965,3413.120
1966,3467.650
1967,3522.180
1968,3576.710
1969,3631.240
1970,3685.770
1971,3760.147
1972,3834.523
1973,3908.900
1974,3983.277
1975,4057.654
1976,4132.030
1977,4206.407
1978,4280.784
1979,4355.160
1980,4429.537
1981,4507.256
1982,4587.990
1983,4669.334
1984,4750.431
1985,4833.376
1986,4919.166
1987,5006.055
1988,5094.897
1989,5183.729
1990,5281.067
1991,5368.055
1992,5451.519
1993,5535.815
1994,5619.293
1995,5704.010
1996,5786.868
1997,5869.975
1998,5952.241
1999,6033.713
2000,6114.219
2001,6193.971
2002,6273.299
2003,6352.797
2004,6432.849
2005,6513.296
2006,6594.243
2007,6675.429
2008,6757.984
2009,6840.742
2010,6923.613
2011,7006.968
2012,7088.946
2013,7174.300
2014,7260.652
2015,7348.043
2016,7432.663
