#,,,,,,,,,,,
# Agriculture calibration,,,,,,,,,,,
#,,,,,,,,,,,
Year,Gross_Food,Net_Food,Land,Dry_Land,Agri_Land,Crops_Land,Cereal_Land,Gross_Index,Gross_PC,Net_Index,Net_PC
1961,2230.8,2320.5,13407.7,13055.7,4443.5,1365.1,1276.7,35.71,75.71,34.35,72.83
1962,2297.1,2390.1,13407.7,13055.7,4454.9,1370.1,1280.8,36.77,76.51,35.37,73.6
1963,2359.5,2455.1,13407.7,13055.7,4466.6,1379.6,1290.9,37.77,77.1,36.34,74.18
1964,2438.8,2539.6,13407.7,13055.7,4477.0,1384.2,1295.2,39.06,78.2,37.55,75.17
1965,2470.0,2589.6,13407.7,13055.7,4492.1,1389.7,1301.2,39.83,78.17,38.03,74.63
1966,2568.2,2691.7,13407.7,13055.7,4500.9,1388.1,1299.7,41.41,79.62,39.53,76.02
1967,2670.2,2792.4,13407.7,13055.7,4514.7,1393.7,1304.2,42.96,80.93,41.11,77.44
1968,2744.3,2877.6,13407.7,13055.7,4525.0,1406.0,1314.9,44.27,81.68,42.25,77.96
1969,2750.2,2890.6,13407.7,13055.7,4551.9,1426.0,1333.3,44.47,80.37,42.34,76.52
1970,2840.5,2986.1,13407.7,13055.7,4556.4,1425.1,1330.7,45.93,81.32,43.71,77.4
1971,2917.2,3062.2,13407.7,13055.7,4568.5,1424.2,1328.1,47.09,81.71,44.88,77.88
1972,2891.9,3047.2,13407.7,13055.7,4579.4,1422.3,1326.4,46.86,79.7,44.5,75.69
1973,3060.9,3217.5,13407.7,13055.7,4599.8,1429.2,1333.0,49.48,82.52,47.09,78.54
1974,3105.7,3241.6,13407.7,13055.7,4609.5,1430.2,1334.0,49.85,81.54,47.78,78.17
1975,3187.6,3315.7,13407.7,13055.6,4615.3,1429.8,1333.4,50.99,81.86,49.04,78.74
1976,3274.1,3399.5,13407.7,13055.6,4615.1,1433.0,1336.2,52.27,82.4,50.36,79.39
1977,3333.2,3476.9,13407.5,13055.6,4614.7,1430.4,1332.5,53.47,82.79,51.28,79.39
1978,3493.1,3638.1,13407.5,13055.6,4618.7,1435.6,1336.7,55.94,85.09,53.73,81.73
1979,3539.3,3690.1,13407.7,13055.6,4630.0,1439.4,1339.4,56.73,84.79,54.43,81.36
1980,3566.6,3701.1,13407.7,13055.5,4641.1,1440.3,1338.8,56.89,83.56,54.84,80.54
1981,3681.6,3813.6,13407.7,13055.5,4642.6,1439.1,1337.3,58.62,84.59,56.59,81.67
1982,3816.2,3948.8,13407.7,13055.5,4659.5,1451.2,1348.8,60.69,86.04,58.7,83.22
1983,3828.5,3963.1,13407.7,13055.5,4669.5,1456.3,1352.8,60.91,84.84,58.88,82.02
1984,4023.5,4161.3,13407.7,13055.4,4697.4,1472.8,1368.8,63.96,87.51,61.89,84.67
1985,4105.4,4231.5,13407.7,13055.4,4729.0,1489.4,1383.0,65.04,87.4,63.12,84.82
1986,4193.8,4323.2,13407.7,13055.4,4756.3,1501.6,1392.0,66.45,87.68,64.49,85.09
1987,4232.2,4362.2,13407.6,13055.4,4771.8,1506.4,1393.8,67.04,86.84,65.05,84.26
1988,4298.5,4409.0,13407.6,13055.4,4794.6,1511.6,1396.2,67.76,86.18,66.1,84.07
1989,4468.1,4573.4,13407.6,13055.3,4808.1,1513.9,1396.9,70.28,87.81,68.69,85.83
1990,4594.9,4687.8,13407.6,13055.3,4824.4,1519.2,1399.7,72.04,88.47,70.64,86.75
1991,4609.2,4696.9,13407.6,13055.3,4833.5,1523.0,1402.2,72.2,87.21,70.9,85.64
1992,4736.6,4818.5,13397.1,13010.9,4874.7,1523.2,1400.6,74.09,88.08,72.69,86.41
1993,4771.0,4864.0,13397.1,13010.6,4905.4,1524.5,1398.5,74.79,87.55,73.39,85.92
1994,4904.3,4992.7,13396.4,13009.4,4921.1,1525.3,1396.5,76.79,88.56,75.56,87.15
1995,5013.5,5086.3,13396.4,13009.1,4917.5,1522.8,1391.8,78.26,88.97,77.27,87.85
1996,5245.5,5313.1,13396.5,13009.1,4920.0,1514.8,1382.7,81.63,91.52,80.59,90.36
1997,5338.5,5391.1,13403.3,13016.0,4931.8,1519.2,1386.0,82.99,91.81,82.18,90.91
1998,5446.4,5488.6,13400.6,13013.4,4936.9,1521.1,1387.0,84.43,92.19,83.82,91.52
1999,5642.0,5666.1,13400.6,13014.1,4930.3,1520.4,1383.9,87.13,93.92,86.79,93.55
2000,5751.2,5788.3,13400.6,13012.2,4936.5,1518.8,1381.0,89.05,94.77,88.51,94.2
2001,5823.4,5866.9,13400.6,13012.1,4936.1,1519.5,1379.9,90.25,94.85,89.57,94.14
2002,5916.3,5944.9,13400.7,13011.8,4926.0,1517.6,1376.9,91.47,94.94,91.07,94.52
2003,6104.8,6125.6,13400.7,13011.8,4914.1,1525.4,1382.5,94.2,96.56,93.95,96.31
2004,6346.6,6369.4,13400.5,13011.7,4925.7,1531.9,1386.0,97.93,99.16,97.61,98.83
2005,6497.4,6498.1,13400.7,13011.7,4927.7,1539.4,1391.0,100,100.01,99.98,99.99
2006,6656.0,6632.0,13400.8,13011.1,4913.7,1529.8,1380.7,102.07,100.84,102.41,101.18
2007,6889.4,6854.3,13400.8,13011.1,4912.9,1531.9,1379.2,105.52,102.98,106.08,103.52
2008,7166.3,7135.1,13420.7,13009.5,4911.6,1537.5,1383.1,109.89,105.93,110.4,106.43
2009,7257.9,7202.0,13420.5,13009.4,4900.0,1536.2,1379.4,110.76,105.49,111.71,106.39
2010,7415.9,7360.6,13420.5,13009.4,4892.6,1534.4,1374.9,113.31,106.62,114.29,107.54
2011,7638.8,7603.1,13420.5,13009.4,4910.7,1548.0,1382.9,117.03,108.8,117.86,109.58
2012,7665.5,7617.4,13420.3,13009.1,4922.2,1562.6,1395.9,118.35,108.73,119.43,109.72
2013,7970.4,8029.1,-999,-999,-999,-999,-999,122.67,111.37,123.56,112.18
2014,8063.9,8097.9,-999,-999,-999,-999,-999,124.11,111.37,124.62,111.84
