Year,Birthrate,Deathrate,Population,Workforce,Labor_Prod,GDP,Investment,Consumption,Coal,Oil,Gas,Nuclear,Renewable,CO2,Food,Land,Yield,BioCapacity,BioFootprint
1970,3.4436,1.9959,212.243,131.071,32300.1,4.234,0.689,3.545,309.1,706.6,549.2,5.2,57.4,4328.5,438.2,123.0,3.563,1232.1,773.0
1975,3.4555,1.9595,222.133,142.839,33879.3,4.839,0.734,4.105,319.1,784.5,502.7,41.1,69.3,4405.9,561.8,142.1,3.954,1279.6,750.0
1980,3.7199,2.0725,233.119,153.968,37411.2,5.760,1.000,4.760,388.6,789.1,509.9,59.8,63.8,4720.7,609.0,146.4,4.159,1249.6,690.5
1985,3.9363,2.2069,244.604,162.081,42117.4,6.826,1.290,5.536,440.4,711.0,446.1,91.4,65.0,4486.1,767.4,149.0,5.151,1279.1,826.8
1990,4.0307,2.2880,256.971,169.004,47268.2,7.989,1.395,6.594,483.1,772.5,494.0,137.4,81.4,4878.9,690.7,130.6,5.288,1224.1,755.1
1995,3.9438,2.3847,270.132,176.886,51141.2,9.046,1.736,7.310,506.2,796.7,571.3,160.4,87.3,5237.5,658.7,124.6,5.284,1190.4,693.6
2000,4.1353,2.4844,286.419,189.697,58763.9,11.147,2.601,8.546,569.0,884.1,600.4,179.6,83.7,5712.9,814.8,130.0,6.270,1229.4,786.2
2005,4.2961,2.5513,300.712,201.869,62823.3,12.682,2.906,9.776,574.2,939.8,568.5,186.3,89.9,5825.9,859.2,127.1,6.759,1196.2,818.9
2010,4.3365,2.6730,314.242,210.085,60576.1,12.726,2.104,10.622,524.6,850.0,621.0,192.2,123.2,5672.0,967.2,130.9,7.391,1194.5,749.4
2015,4.1933,2.7788,322.560,214.412,63604.9,13.638,2.544,11.094,446.7,869.3,736.5,193.2,169.0,5821.7,1012.5,135.0,7.500,1200.0,769.2
2020,4.1204,2.9158,329.632,218.154,66308.1,14.465,3.168,11.297,413.6,802.9,815.1,182.5,219.0,5665.3,1080.0,135.0,8.000,1200.0,766.4
2025,4.0279,3.1066,335.655,220.680,68628.9,15.145,3.688,11.457,387.2,750.2,822.8,169.4,290.4,5425.2,1139.0,134.0,8.500,1200.0,780.4
2030,3.9130,3.3446,340.261,220.372,70516.2,15.540,4.124,11.416,342.1,684.1,825.6,153.3,353.8,5062.9,1188.0,132.0,9.000,1200.0,771.4
2035,3.7741,3.5913,343.103,221.178,71926.5,15.909,4.538,11.370,321.2,596.5,814.4,126.2,435.9,4702.8,1222.0,130.0,9.400,1200.0,777.8
2040,3.6122,3.7854,344.018,221.247,72825.6,16.112,4.894,11.219,309.0,507.7,772.6,110.4,507.7,4308.6,1231.9,127.0,9.700,1180.0,779.9
2045,3.4315,3.8984,343.152,222.000,73189.7,16.248,5.314,10.934,285.5,422.9,708.4,84.6,613.3,3834.8,1190.4,124.0,9.600,1140.0,777.9
2050,3.2378,3.9284,340.817,220.377,73006.7,16.089,5.672,10.417,238.7,338.2,616.7,59.7,736.0,3212.6,1140.0,120.0,9.500,1100.0,772.6
