#
# Carbon fuel production calibration file
#
# data obtained from:
#    BP World Energy Report, 2017
#    Energy Information Administration: www.eia.gov
#
# gas and coal production are converted to metric ton of oil equivalent (toe)
# conversion factors as per BP World Energy Report
# estimated accuracy, as a difference between 2015 and 2016 report is 3-4%
#
Year,Coal,Bitumen,Oil,Condensate,NGPL,Gas,Total
1830,30.0,0.0,0.0,0.0,0.0,0.0,30.0
1831,31.2,0.0,0.0,0.0,0.0,0.0,31.2
1832,32.5,0.0,0.0,0.0,0.0,0.0,32.5
1833,33.9,0.0,0.0,0.0,0.0,0.0,33.9
1834,35.3,0.0,0.0,0.0,0.0,0.0,35.3
1835,36.7,0.0,0.0,0.0,0.0,0.0,36.7
1836,38.3,0.0,0.0,0.0,0.0,0.0,38.3
1837,39.9,0.0,0.0,0.0,0.0,0.0,39.9
1838,41.5,0.0,0.0,0.0,0.0,0.0,41.5
1839,43.3,0.0,0.0,0.0,0.0,0.0,43.3
1840,45.1,0.0,0.0,0.0,0.0,0.0,45.1
1841,46.9,0.0,0.0,0.0,0.0,0.0,46.9
1842,48.9,0.0,0.0,0.0,0.0,0.0,48.9
1843,50.9,0.0,0.0,0.0,0.0,0.0,50.9
1844,53.1,0.0,0.0,0.0,0.0,0.0,53.1
1845,55.3,0.0,0.0,0.0,0.0,0.0,55.3
1846,57.6,0.0,0.0,0.0,0.0,0.0,57.6
1847,60.0,0.0,0.0,0.0,0.0,0.0,60.0
1848,62.5,0.0,0.0,0.0,0.0,0.0,62.5
1849,65.1,0.0,0.0,0.0,0.0,0.0,65.1
1850,67.8,0.0,0.0,0.0,0.0,0.0,67.8
1851,70.6,0.0,0.0,0.0,0.0,0.0,70.6
1852,73.6,0.0,0.0,0.0,0.0,0.0,73.6
1853,76.6,0.0,0.0,0.0,0.0,0.0,76.6
1854,79.8,0.0,0.0,0.0,0.0,0.0,79.8
1855,83.1,0.0,0.0,0.0,0.0,0.0,83.2
1856,86.6,0.0,0.0,0.0,0.0,0.0,86.6
1857,90.2,0.0,0.0,0.0,0.0,0.0,90.2
1858,94.0,0.0,0.0,0.0,0.0,0.0,94.0
1859,97.9,0.0,0.0,0.0,0.0,0.0,97.9
1860,102.0,0.1,0.1,0.0,0.0,0.0,102.1
1861,106.2,0.1,0.3,0.0,0.0,0.0,106.6
1862,110.6,0.1,0.4,0.0,0.0,0.0,111.2
1863,115.3,0.1,0.3,0.0,0.0,0.0,115.7
1864,120.1,0.1,0.3,0.0,0.0,0.0,120.5
1865,125.1,0.1,0.3,0.0,0.0,0.1,125.6
1866,130.3,0.1,0.5,0.0,0.0,0.1,130.9
1867,135.7,0.1,0.5,0.0,0.0,0.1,136.4
1868,141.4,0.1,0.8,0.0,0.0,0.1,142.3
1869,147.2,0.1,0.9,0.0,0.0,0.1,148.3
1870,153.4,0.1,1.0,0.0,0.0,0.1,154.6
1871,159.8,0.1,1.0,0.0,0.0,0.1,161.0
1872,166.4,0.1,1.1,0.0,0.0,0.2,167.8
1873,173.4,0.1,1.5,0.0,0.0,0.2,175.2
1874,180.6,0.1,1.8,0.0,0.0,0.2,182.7
1875,188.1,0.1,2.0,0.0,0.0,0.3,190.5
1876,195.9,0.1,1.7,0.0,0.0,0.3,198.1
1877,204.1,0.1,2.4,0.0,0.0,0.4,207.0
1878,212.6,0.1,2.7,0.0,0.0,0.4,215.9
1879,221.5,0.1,3.4,0.0,0.0,0.5,225.5
1880,230.7,0.1,4.2,0.0,0.0,0.6,235.6
1881,240.3,0.1,4.7,0.0,0.0,0.7,245.8
1882,250.3,0.1,5.2,0.0,0.0,0.8,256.5
1883,260.8,0.1,4.5,0.0,0.0,1.0,266.3
1884,271.6,0.1,5.1,0.0,0.0,1.1,278.0
1885,282.9,0.1,5.3,0.0,0.0,1.3,289.6
1886,294.7,0.1,6.1,0.0,0.0,1.6,302.5
1887,307.0,0.1,6.6,0.0,0.0,1.8,315.5
