#
# Gas production in Bakken
# billion ft3 per day
#
Year,AEO2014,AEO2015,AEO2016,Hughes2014,Actual,Wells_Plan,Wells_Actual
2000,0.000,0.000,0.000,0.012,0.012,0,0
2001,0.000,0.000,0.000,0.006,0.006,0,0
2002,0.003,0.003,0.003,0.012,0.012,69,69
2003,0.006,0.006,0.006,0.012,0.012,138,138
2004,0.009,0.009,0.009,0.015,0.015,207,207
2005,0.018,0.018,0.018,0.031,0.031,413,413
2006,0.021,0.021,0.021,0.040,0.040,413,413
2007,0.031,0.031,0.031,0.058,0.058,689,689
2008,0.061,0.061,0.061,0.089,0.089,1103,1103
2009,0.098,0.098,0.098,0.141,0.141,1792,1792
2010,0.153,0.153,0.153,0.217,0.217,2481,2481
2011,0.257,0.227,0.230,0.325,0.325,3308,3308
2012,0.453,0.401,0.407,0.628,0.628,5237,5237
2013,0.505,0.542,0.554,0.882,0.882,7167,7167
2014,0.564,0.704,0.720,1.222,1.222,9579,8752
2015,0.594,0.729,0.882,1.430,1.009,11577,11302
2016,0.597,0.802,0.873,1.648,1.124,13576,11508
2017,0.594,0.879,0.986,1.608,1.270,15161,-999
2018,0.582,0.934,1.078,1.611,1.597,16746,-999
2019,0.573,0.980,1.185,1.516,-999.250,18262,-999
2020,0.570,1.020,1.271,1.427,-999.250,19916,-999
2021,0.560,1.011,1.357,1.308,-999.250,21363,-999
2022,0.548,1.020,1.418,1.210,-999.250,22810,-999
2023,0.533,1.023,1.495,1.109,-999.250,24257,-999
2024,0.521,1.026,1.562,1.017,-999.250,25636,-999
2025,0.505,1.026,1.639,0.928,-999.250,26807,-999
2026,0.490,0.949,1.718,0.830,-999.250,28254,-999
2027,0.472,0.900,1.779,0.760,-999.250,29288,-999
2028,0.450,0.873,1.825,0.677,-999.250,30322,-999
2029,0.438,0.848,1.893,0.606,-999.250,31217,-999
2030,0.417,0.842,1.871,0.545,-999.250,32251,-999
2031,0.404,0.760,1.881,0.441,-999.250,32182,-999
2032,0.389,0.714,1.893,0.352,-999.250,32182,-999
2033,0.380,0.683,1.899,0.282,-999.250,32182,-999
2034,0.361,0.671,1.838,0.224,-999.250,32182,-999
2035,0.343,0.674,1.825,0.181,-999.250,32182,-999
2036,0.331,0.668,1.807,0.147,-999.250,32182,-999
2037,0.315,0.662,1.776,0.113,-999.250,32182,-999
2038,0.297,0.649,1.709,0.089,-999.250,32182,-999
2039,0.282,0.637,1.675,0.080,-999.250,32182,-999
2040,0.270,0.634,1.629,0.058,-999.250,32182,-999
