#
# Gas production in Utica
# billion ft3 per day
#
Year,AEO2016,Yakimov2017,Actual,Wells_Plan,Wells_Actual
2000,0.000,0.000,0.000,0,0
2001,0.000,0.000,0.000,0,0
2002,0.000,0.000,0.000,0,0
2003,0.000,0.000,0.000,0,0
2004,0.000,0.000,0.000,0,0
2005,0.000,0.000,0.000,1,1
2006,0.000,0.000,0.000,1,1
2007,0.000,0.000,0.000,2,2
2008,0.000,0.000,0.000,2,2
2009,0.000,0.000,0.000,2,2
2010,0.000,0.000,0.000,2,2
2011,0.008,0.008,0.008,30,30
2012,0.040,0.040,0.040,60,60
2013,0.292,0.292,0.292,249,249
2014,1.200,1.200,1.200,707,707
2015,2.651,2.651,2.676,845,845
2016,3.897,3.897,3.913,1550,1551
2017,4.000,4.180,4.896,1800,-999
2018,4.082,4.700,6.676,2300,-999
2019,4.604,5.035,-999.250,2800,-999
2020,5.459,5.222,-999.250,3300,-999
2021,5.744,5.292,-999.250,3800,-999
2022,5.934,5.269,-999.250,4300,-999
2023,6.123,5.176,-999.250,4800,-999
2024,6.693,5.029,-999.250,5300,-999
2025,7.168,4.843,-999.250,5800,-999
2026,7.785,4.630,-999.250,6300,-999
2027,8.212,4.397,-999.250,6800,-999
2028,8.972,4.154,-999.250,7300,-999
2029,9.494,3.906,-999.250,7800,-999
2030,10.063,3.658,-999.250,8300,-999
2031,10.443,3.413,-999.250,8800,-999
2032,10.965,3.174,-999.250,9300,-999
2033,11.582,2.943,-999.250,9800,-999
2034,12.247,2.722,-999.250,10300,-999
2035,12.627,2.512,-999.250,10800,-999
2036,13.386,2.313,-999.250,11300,-999
2037,13.861,2.125,-999.250,11800,-999
2038,14.668,1.949,-999.250,12300,-999
2039,15.332,1.785,-999.250,12800,-999
2040,15.997,1.632,-999.250,13300,-999
