year,gross,gas_wells,oil_wells,TG_wells,CBM_wells,repress,vnf,marketed,NGPL,dry
1900,-999,-999,-999,-999,-999,-999,-999,128000,-999,-999
1901,-999,-999,-999,-999,-999,-999,-999,180000,-999,-999
1902,-999,-999,-999,-999,-999,-999,-999,206000,-999,-999
1903,-999,-999,-999,-999,-999,-999,-999,239000,-999,-999
1904,-999,-999,-999,-999,-999,-999,-999,257000,-999,-999
1905,-999,-999,-999,-999,-999,-999,-999,320000,-999,-999
1906,-999,-999,-999,-999,-999,-999,-999,389000,-999,-999
1907,-999,-999,-999,-999,-999,-999,-999,407000,-999,-999
1908,-999,-999,-999,-999,-999,-999,-999,402000,-999,-999
1909,-999,-999,-999,-999,-999,-999,-999,481000,-999,-999
1910,-999,-999,-999,-999,-999,-999,-999,509000,-999,-999
1911,-999,-999,-999,-999,-999,-999,-999,513000,-999,-999
1912,-999,-999,-999,-999,-999,-999,-999,562000,-999,-999
1913,-999,-999,-999,-999,-999,-999,-999,582000,-999,-999
1914,-999,-999,-999,-999,-999,-999,-999,592000,-999,-999
1915,-999,-999,-999,-999,-999,-999,-999,629000,-999,-999
1916,-999,-999,-999,-999,-999,-999,-999,753000,-999,-999
1917,-999,-999,-999,-999,-999,-999,-999,795000,-999,-999
1918,-999,-999,-999,-999,-999,-999,-999,721000,-999,-999
1919,-999,-999,-999,-999,-999,-999,-999,746000,-999,-999
1920,-999,-999,-999,-999,-999,-999,-999,812000,-999,-999
1921,-999,-999,-999,-999,-999,-999,-999,674000,-999,-999
1922,-999,-999,-999,-999,-999,-999,-999,776000,-999,-999
1923,-999,-999,-999,-999,-999,-999,-999,1025000,-999,-999
1924,-999,-999,-999,-999,-999,-999,-999,1162000,-999,-999
1925,-999,-999,-999,-999,-999,-999,-999,1210000,-999,-999
1926,-999,-999,-999,-999,-999,-999,-999,1336000,-999,-999
1927,-999,-999,-999,-999,-999,-999,-999,1471000,-999,-999
1928,-999,-999,-999,-999,-999,-999,-999,1596000,-999,-999
1929,-999,-999,-999,-999,-999,-999,-999,1952000,-999,-999
1930,-999,-999,-999,-999,-999,-999,-999,1978911,75140,1903771
1931,-999,-999,-999,-999,-999,-999,-999,1721902,62288,1659614
1932,-999,-999,-999,-999,-999,-999,-999,1593798,51816,1541982
1933,-999,-999,-999,-999,-999,-999,-999,1596673,48280,1548393
1934,-999,-999,-999,-999,-999,-999,-999,1815796,52190,1763606
1935,-999,-999,-999,-999,-999,-999,-999,1968963,55488,1913475
1936,2691512,-999,-999,-999,-999,73507,392528,2225477,61064,2164413
