#
# Population calibration file
# Delta indicates possible statistical error from Nico Keilman (1998)
# All data in million as of 1-Jul each year
#
# data composed from:
# prior 1950: Wikipedia and other sources, interpolated
# 1950-2015: UNESCO/UN Population division: POP/DB/WPP/Rev.2017/POP/F01-1
# 2016-2017: extrapolation of the UN data using World Bank dataset
# http://databank.worldbank.org/data/home.aspx
#
# Horizontal conversion = 46,831,1900,2100,pixels
# Vertical conversion = 819,105,0,1,pixels
#
# Sigmoid( x0=2006.000, s0=0.08077, left=0.999, right=0.145, shift=0.000)
# Hubbert( x0=1973.000, s0=0.05764, s1=0.16380, peak=-0.044, shift=0.000)
# Hubbert( x0=2005.455, s0=0.20335, s1=0.24725, peak=0.042, shift=0.000)
# Hubbert( x0=2025.273, s0=0.32508, s1=0.30757, peak=-0.025, shift=0.000)
#
Year,Resources
1900.000,0.999
1905.000,0.999
1910.000,0.997
1915.000,0.996
1920.000,0.994
1925.000,0.990
1930.000,0.987
1935.000,0.982
1940.000,0.975
1945.000,0.969
1950.000,0.959
1955.000,0.952
1960.000,0.943
1965.000,0.929
1970.000,0.912
1975.000,0.894
1980.000,0.871
1985.000,0.846
1990.000,0.808
1995.000,0.768
2000.000,0.704
2005.000,0.632
2010.000,0.534
2015.000,0.448
2020.000,0.333
2025.000,0.272
2030.000,0.239
2035.000,0.214
2040.000,0.199
2045.000,0.182
2050.000,0.174
2055.000,0.168
2060.000,0.161
2065.000,0.154
2070.000,0.153
2075.000,0.148
2080.000,0.148
2085.000,0.146
2090.000,0.146
2095.000,0.148
2100.000,0.148
