Year,Discovery
1900,352
1901,352
1902,352
1903,352
1904,352
1905,206
1906,206
1907,206
1908,206
1909,206
1910,295
1911,295
1912,295
1913,295
1914,295
1915,300
1916,300
1917,300
1918,300
1919,300
1920,357
1921,357
1922,357
1923,357
1924,357
1925,2608
1926,2608
1927,2608
1928,2608
1929,2608
1930,732
1931,732
1932,732
1933,732
1934,732
1935,2369
1936,2369
1937,2369
1938,2369
1939,2369
1940,1737
1941,1737
1942,1737
1943,1737
1944,1737
1945,5385
1946,5385
1947,5385
1948,5385
1949,5385
1950,4253
1951,4253
1952,4253
1953,4253
1954,4253
1955,6417
1956,6417
1957,6417
1958,6417
1959,6417
1960,10763
1961,10763
1962,10763
1963,10763
1964,10763
1965,6556
1966,6556
1967,6556
1968,6556
1969,6556
1970,7018
1971,7018
1972,7018
1973,7018
1974,7018
1975,5123
1976,5123
1977,5123
1978,5123
1979,5123
1980,2996
1981,2996
1982,2996
1983,2996
1984,2996
1985,2238
1986,2238
1987,2238
1988,2238
1989,2238
1990,2099
1991,2099
1992,2099
1993,2099
1994,2099
1995,2792
1996,2792
1997,2792
1998,2792
1999,2792
2000,2247
2001,2247
2002,2247
2003,2247
2004,2247
2005,1738
2006,1738
2007,1738
2008,1738
2009,1738
2010,1905
2011,1905
2012,1905
2013,1905
2014,1905
2015,601
2016,555
