#
# Gas production in Marcellus
# billion ft3 per day
#
Year,AEO2014,AEO2015,AEO2016,Hughes2014,Actual,Wells_Plan,Wells_Actual
2000,0.000,0.000,0.000,0.000,0.000,0,0
2001,0.000,0.000,0.000,0.000,0.000,0,0
2002,0.000,0.000,0.000,0.000,0.000,0,0
2003,0.000,0.000,0.000,0.000,0.000,0,0
2004,0.000,0.000,0.000,0.000,0.000,0,0
2005,0.000,0.000,0.000,0.000,0.000,77,77
2006,0.000,0.000,0.000,0.000,0.000,306,306
2007,0.000,0.000,0.000,0.000,0.000,766,766
2008,0.092,0.092,0.092,0.092,0.092,1072,1072
2009,0.368,0.368,0.368,0.368,0.368,1685,1685
2010,1.149,1.149,1.149,1.149,1.149,2221,2221
2011,2.848,2.848,3.446,3.446,3.446,3216,3216
2012,5.651,5.651,6.524,6.524,6.524,4671,4671
2013,9.096,9.096,10.521,10.521,10.521,6126,6126
2014,10.475,11.991,12.818,12.818,13.966,7810,7810
2015,10.567,14.150,14.472,13.737,14.793,8882,8882
2016,11.118,14.793,15.758,14.518,16.631,10260,9188
2017,11.807,14.885,16.861,14.885,-999.250,11715,-999
2018,12.542,14.885,17.825,14.885,-999.250,13017,-999
2019,13.093,14.793,18.974,14.793,-999.250,14012,-999
2020,13.461,14.609,19.387,14.609,-999.250,15390,-999
2021,13.553,14.196,19.617,14.196,-999.250,16539,-999
2022,13.691,13.920,20.306,13.920,-999.250,17611,-999
2023,13.828,13.828,21.179,13.691,-999.250,18989,-999
2024,13.874,13.874,22.420,13.369,-999.250,20214,-999
2025,13.783,13.783,22.971,13.093,-999.250,21363,-999
2026,13.323,13.828,23.476,12.772,-999.250,22741,-999
2027,12.864,13.966,24.028,12.450,-999.250,23890,-999
2028,12.404,14.288,24.349,12.266,-999.250,25038,-999
2029,11.945,14.564,24.579,11.853,-999.250,26187,-999
2030,11.348,14.839,24.717,11.531,-999.250,27259,-999
2031,11.118,15.161,24.533,11.256,-999.250,28254,-999
2032,11.348,15.436,24.395,10.934,-999.250,29479,-999
2033,11.623,15.712,24.395,10.659,-999.250,30398,-999
2034,11.945,15.896,24.533,10.291,-999.250,31700,-999
2035,12.129,16.217,24.441,10.061,-999.250,32542,-999
2036,12.266,16.493,24.579,9.740,-999.250,33691,-999
2037,12.450,16.585,24.441,9.510,-999.250,34916,-999
2038,12.496,16.585,24.441,9.280,-999.250,35758,-999
2039,12.542,16.723,24.533,8.867,-999.250,36830,-999
2040,12.450,16.723,24.487,8.545,-999.250,37902,-999
