Year,Ref,NCP,HEG,LEG,HOP,LOP,HOA,LOA,AEO2016
2015,27.032,27.032,27.032,27.032,27.032,27.032,27.032,27.032,27.185
2016,26.527,26.532,26.529,26.533,26.544,26.480,26.617,26.474,27.381
2017,27.853,27.858,27.800,27.803,28.178,26.854,27.941,27.719,28.127
2018,29.111,29.150,29.130,29.056,30.255,27.880,29.766,28.416,28.863
2019,30.074,30.037,30.144,30.006,31.345,28.411,31.097,28.813,29.493
2020,30.790,30.828,30.905,30.594,32.201,28.564,32.454,29.125,30.501
2021,30.969,30.954,31.099,30.611,32.370,28.606,33.349,28.634,31.043
2022,31.253,31.377,31.489,31.035,32.638,28.831,34.207,28.455,31.896
2023,31.755,31.941,31.905,31.567,33.231,29.151,35.215,27.956,33.074
2024,32.413,32.472,32.482,32.166,34.214,29.541,36.360,27.726,34.093
2025,33.057,32.967,33.008,32.672,35.394,29.959,37.409,27.782,34.813
2026,33.640,33.448,33.700,33.253,36.626,30.407,38.490,27.908,35.314
2027,33.992,33.637,34.119,33.600,37.708,30.740,39.519,27.681,35.979
2028,34.319,33.910,34.470,33.897,38.757,31.048,40.427,27.398,36.498
2029,34.647,34.115,34.837,34.236,39.796,31.448,41.265,27.147,37.219
2030,34.910,34.250,35.160,34.432,40.804,31.860,41.889,26.952,37.760
2031,34.961,34.422,35.401,34.438,41.613,31.990,42.221,27.234,38.126
2032,35.247,34.676,35.752,34.627,42.089,32.477,42.809,27.500,38.503
2033,35.485,34.947,36.128,34.842,42.542,32.958,43.434,27.561,38.965
2034,35.976,35.316,36.597,35.240,42.902,33.336,44.244,27.703,39.455
2035,36.525,35.830,37.039,35.679,43.441,33.845,44.958,27.783,39.918
2036,36.725,36.240,37.326,35.880,43.810,34.169,45.539,27.556,40.494
2037,37.066,36.597,37.636,36.262,44.318,34.486,46.091,27.413,40.763
2038,37.351,36.875,38.043,36.579,44.826,34.743,46.775,27.373,41.143
2039,37.593,37.218,38.463,36.919,45.351,35.031,47.428,27.340,41.643
2040,37.738,37.403,38.757,37.001,45.764,35.257,47.894,27.360,42.118
2041,37.968,37.587,39.043,37.164,46.248,35.516,48.342,27.130,-999.000
2042,38.170,37.698,39.279,37.342,46.716,35.697,48.687,27.082,-999.000
2043,38.323,37.890,39.583,37.502,47.000,35.930,49.105,27.079,-999.000
2044,38.590,38.166,39.985,37.710,47.446,36.174,49.601,26.946,-999.000
2045,38.875,38.438,40.341,37.877,47.839,36.492,50.132,26.724,-999.000
2046,39.126,38.674,40.601,38.083,48.196,36.751,50.870,26.439,-999.000
2047,39.416,38.939,41.075,38.336,48.586,37.066,51.418,26.311,-999.000
2048,39.626,39.158,41.220,38.471,48.795,37.096,51.909,26.121,-999.000
2049,39.834,39.381,41.382,38.694,49.102,37.241,52.377,26.031,-999.000
2050,40.277,39.661,41.931,39.026,49.562,37.459,52.834,26.066,-999.000
