#
# Gas production in EagleFord
# billion ft3 per day
#
Year,AEO2014,AEO2015,AEO2016,Hughes2014,Actual,Wells_Plan,Wells_Actual
2000,0.000,0.000,0.000,0.000,0.000,0,0
2001,0.000,0.000,0.000,0.000,0.000,0,0
2002,0.000,0.000,0.000,0.000,0.000,0,0
2003,0.000,0.000,0.000,0.000,0.000,0,0
2004,0.000,0.000,0.000,0.000,0.000,0,0
2005,0.000,0.000,0.000,0.000,0.000,0,0
2006,0.000,0.000,0.000,0.000,0.000,0,0
2007,0.000,0.000,0.000,0.000,0.000,0,0
2008,0.000,0.000,0.000,0.000,0.000,0,0
2009,0.049,0.049,0.049,0.049,0.049,276,276
2010,0.319,0.319,0.319,0.319,0.319,483,483
2011,1.080,1.080,1.080,1.092,1.092,1242,1242
2012,2.061,2.061,2.061,2.515,2.515,3658,3658
2013,2.221,3.276,3.276,4.074,4.074,7109,7109
2014,2.503,4.331,4.331,5.153,5.153,11457,10698
2015,2.785,4.454,4.712,5.963,5.963,15115,14425
2016,3.141,4.528,5.644,6.245,5.521,17738,15322
2017,3.374,4.552,5.804,6.380,-999.250,20913,-999
2018,3.644,4.601,5.681,6.405,-999.250,23811,-999
2019,4.098,4.896,5.313,6.368,-999.250,26296,-999
2020,4.613,5.239,5.153,6.258,-999.250,28643,-999
2021,5.018,5.423,4.847,6.135,-999.250,30989,-999
2022,5.337,5.693,4.736,5.963,-999.250,32991,-999
2023,5.571,5.755,4.319,5.767,-999.250,35406,-999
2024,5.804,5.804,3.975,5.448,-999.250,37132,-999
2025,5.951,5.779,3.730,4.417,-999.250,36994,-999
2026,6.025,5.669,3.485,3.497,-999.250,36994,-999
2027,6.049,5.534,3.313,2.822,-999.250,36994,-999
2028,6.086,5.423,2.834,2.270,-999.250,36994,-999
2029,6.147,5.374,2.601,1.791,-999.250,36994,-999
2030,6.233,5.288,2.503,1.448,-999.250,36994,-999
2031,6.331,5.276,2.380,1.166,-999.250,36994,-999
2032,6.466,5.264,2.331,0.920,-999.250,36994,-999
2033,6.577,5.288,2.331,0.736,-999.250,36994,-999
2034,6.712,5.337,2.331,0.601,-999.250,36994,-999
2035,6.822,5.411,2.331,0.491,-999.250,36994,-999
2036,6.982,5.497,2.344,0.393,-999.250,36994,-999
2037,7.104,5.583,2.331,0.319,-999.250,36994,-999
2038,7.215,5.730,2.344,0.245,-999.250,36994,-999
2039,7.313,5.828,2.344,0.184,-999.250,36994,-999
2040,7.399,5.828,2.344,0.172,-999.250,36994,-999
