#
# US tight oil production from https://www.eia.gov/tools/faqs/faq.php?id=847&t=6
#
Year,Monterey,Austin_Chalk,Granite_Wash,Woodford,Marcellus,Haynesville,Niobrara_Codell,Wolfcamp,Bonespring,Spraberry,Bakken,EagleFord,Yeso_Glorieta,Delaware,Utica
2000,22.376,23.188,2.257,0.116,0,1.041,5.484,14.507,3.42,27.685,6.951,0.002,12.545,11.131,0.009
2001,23.131,20.05,2.204,0.121,0,1.028,6.225,13.415,3.465,27.742,6.139,0.002,13.075,11.075,0.001
2002,24.143,16.89,2.067,0.131,0,0.827,7.111,13.614,3.045,26.242,6.053,0.002,12.561,10.533,0.001
2003,22.746,15.491,2.345,0.072,0.001,0.633,7.993,13.274,3.176,26.29,7.296,0.001,11.616,10.792,0.002
2004,22.473,14.762,3.084,0.093,0.001,0.639,9.443,11.823,3.55,26.798,11.501,0.002,11.069,11.177,0.002
2005,21.522,14.751,4.08,0.165,1.738,0.618,10.321,11.581,3.342,28.859,19.398,0.002,10.31,11.479,0.003
2006,20.633,15.012,5.762,0.146,1.707,0.658,11.648,11.695,3.564,29.961,22.951,0.014,10.147,11.401,0.001
2007,20.007,14.881,7.117,0.288,2.012,0.61,13.116,12.61,4.305,33.99,27.09,0.022,10.487,12.014,0.001
2008,18.247,15.456,9.573,0.849,2.221,0.758,16.313,13.237,4.891,42.059,44.173,0.202,11.589,12.573,0.001
2009,16.877,13.31,11.097,1.269,1.852,0.649,17.147,13.666,5.612,48.11,64.289,1.031,13.204,12.218,0.001
2010,16.202,13.175,15.061,1.988,2.523,0.512,19.177,14.849,8.025,60.314,98.904,12.264,15.533,12.759,0.002
2011,16.934,13.764,23.298,3.357,3.279,0.495,25.544,21.005,15.464,81.307,141.576,76.659,17.791,13.791,0.047
2012,17.197,13.162,33.858,6.494,4.436,0.627,36.081,31.037,32.321,106.965,234.825,206.537,20.008,16.688,0.611
2013,16.978,12.422,37.458,11.51,9.741,0.576,53.352,45.028,53.369,127.839,309.841,354.966,21.023,18.858,3.672
2014,15.82,12.264,35.313,18.179,11.911,0.684,84.496,75.302,82.772,164.646,393.827,500.119,21.416,18.953,10.917
2015,14.404,15.186,29.578,26.804,13.388,0.604,113.307,105.265,110.784,205.251,429.553,545.726,20.535,19.734,23.204
2016,12.524,15.856,20.738,30.363,11.788,0.487,107.441,136.76,107.324,253.629,374.718,428.985,19.884,15.243,18.319
2017,11.496,27.253,17.750,30.425,14.354,0.494,116.896,191.862,122.742,323.831,378.726,399.815,18.526,13.815,17.244
