#
# Horizontal conversion = 85,873,1800,2200,Y
# Vertical conversion = 641,21,0,160,EJ
#
# Hubbert( x0=2011.000, s0=0.03814, s1=0.04697, peak=158.000, shift=0.000)
# Hubbert( x0=1994.909, s0=0.05686, s1=0.05491, peak=-43.461, shift=0.000)
# Hubbert( x0=1916.727, s0=0.12688, s1=0.14711, peak=16.132, shift=0.000)
# Hubbert( x0=2010.545, s0=0.47351, s1=0.25361, peak=35.696, shift=0.000)
# Hubbert( x0=1890.545, s0=0.10567, s1=0.22316, peak=3.681, shift=0.000)
# Hubbert( x0=1945.091, s0=0.33335, s1=0.52935, peak=4.048, shift=0.000)
# Hubbert( x0=1934.909, s0=1.00000, s1=1.00000, peak=-2.177, shift=0.000)
# Hubbert( x0=1989.818, s0=0.42616, s1=0.58743, peak=6.794, shift=0.000)
# Hubbert( x0=2055.636, s0=0.16014, s1=0.16069, peak=-2.188, shift=0.000)
# Hubbert( x0=2120.000, s0=0.12884, s1=0.07107, peak=2.216, shift=0.000)
# Hubbert( x0=2014.545, s0=1.00000, s1=1.00000, peak=-8.623, shift=0.000)
# Hubbert( x0=1969.818, s0=0.14966, s1=0.64954, peak=-1.926, shift=0.000)
# Hubbert( x0=2132.000, s0=0.16677, s1=0.23344, peak=-0.803, shift=0.000)
#
Year,Coal
1800.000,0.258
1805.000,0.000
1810.000,0.258
1815.000,0.516
1820.000,0.258
1825.000,0.000
1830.000,0.774
1835.000,1.032
1840.000,0.774
1845.000,1.548
1850.000,1.548
1855.000,2.065
1860.000,2.581
1865.000,3.613
1870.000,4.387
1875.000,5.935
1880.000,7.226
1885.000,9.032
1890.000,11.097
1895.000,13.419
1900.000,16.000
1905.000,19.355
1910.000,25.806
1915.000,29.677
1920.000,31.226
1925.000,30.710
1930.000,30.452
1935.000,27.871
1940.000,34.323
1945.000,39.484
1950.000,40.000
1955.000,44.129
1960.000,49.806
1965.000,55.742
1970.000,61.161
1975.000,69.677
1980.000,78.710
1985.000,86.968
1990.000,99.871
1995.000,99.355
2000.000,109.677
2005.000,125.936
2010.000,158.194
2015.000,141.677
2020.000,132.645
2025.000,124.903
2030.000,112.516
2035.000,99.871
2040.000,89.806
2045.000,77.419
2050.000,65.806
2055.000,54.968
2060.000,46.710
2065.000,38.194
2070.000,31.484
2075.000,24.516
2080.000,21.161
2085.000,17.806
2090.000,14.194
2095.000,12.129
2100.000,9.806
2105.000,8.774
2110.000,7.226
2115.000,6.194
2120.000,5.419
2125.000,4.387
2130.000,3.355
2135.000,2.839
2140.000,2.323
2145.000,2.065
2150.000,2.065
2155.000,1.548
2160.000,0.774
2165.000,0.516
2170.000,0.000
2175.000,0.258
2180.000,0.516
2185.000,0.258
2190.000,0.258
2195.000,0.000
2200.000,0.000
