#
# GeoB5844-2
# 1	GeoB5844-2	UK’37	Muller et al., 1998 (3)	27.7	34.7	-963	300	Annual  / Summer	Arz et al., 2003 (4)
# Present: 1950
#
Depth	Proxy	Age_Pub	Temp_Pub	Age_Marine09	Age_error
2.00	0.9502	813.20	26.80	841	193
4.00	0.9502	1110.40	26.80	1143	237
6.00	0.9536	1407.60	26.90	1446	241
8.00	0.9366	1704.80	26.40	1748	207
10.00	0.9400	2002.00	26.50	2049	105
12.00	0.9570	2354.40	27.00	2393	218
14.00	0.9502	2706.80	26.80	2736	255
16.00	0.9366	3059.20	26.40	3079	252
18.00	0.9366	3411.60	26.40	3422	207
20.00	0.9502	3764.00	26.80	3764	65
22.00	0.9502	4128.00	26.80	4129	212
24.00	0.9536	4492.00	26.90	4493	256
26.00	0.9400	4856.00	26.50	4856	256
28.00	0.9536	5220.00	26.90	5219	212
30.00	0.9400	5584.00	26.50	5581	56
32.00	0.9366	5798.80	26.40	5799	168
34.00	0.9264	6013.60	26.10	6016	205
36.00	0.9366	6228.40	26.40	6233	211
38.00	0.9196	6443.20	25.90	6450	190
40.00	0.9162	6658.00	25.80	6665	124
42.00	0.9298	6959.90	26.20	6986	230
44.00	0.9162	7261.70	25.80	7305	280
45.00	0.9298	7412.70	26.20	7465	294
48.00	0.9434	7865.50	26.60	7944	305
50.00	0.9060	8167.30	25.50	8264	287
52.00	0.9094	8469.20	25.60	8583	247
54.00	0.9196	8771.10	25.90	8902	167
56.00	0.9196	9036.00	25.90	9179	149
58.00	0.9128	9264.00	25.70	9416	215
60.00	0.9094	9492.00	25.60	9652	248
62.00	0.9196	9720.00	25.90	9887	263
64.00	0.9128	9948.00	25.70	10123	260
66.00	0.9162	10176.00	25.80	10358	240
68.00	0.8924	10404.00	25.10	10593	198
70.00	0.8958	10632.00	25.20	10827	105
72.00	0.8652	11005.10	24.30	11169	229
74.00	0.8482	11378.10	23.80	11510	284
76.00	0.8448	11751.20	23.70	11850	309
78.00	0.8482	12124.30	23.80	12190	312
80.00	0.8584	12497.30	24.10	12531	295
82.00	0.8720	12870.40	24.50	12871	252
84.00	0.8788	13243.50	24.70	13210	166
86.00	0.8890	13501.10	25.00	13470	130
88.00	0.8924	13643.40	25.10	13650	193
90.00	0.8924	13785.70	25.10	13830	230
92.00	0.8856	13927.90	24.90	14009	252
94.00	0.8890	14070.20	25.00	14189	264
96.00	0.8958	14212.50	25.20	14368	267
98.00	0.9026	14354.70	25.40	14548	260
100.00	0.7530	14497.00	21.00	14726	245
102.00	0.7292	14713.60	20.30	14953	285
106.00	0.7224	15146.90	20.10	15406	335
