#
# ODP-1019D
# 2	ODP-1019D	UK’37	Muller et al., 1998 (3)	41.7	-124.9	-980	140	Annual	Barron et al., 2003 (5)
# Present: 1950
#
Depth	Proxy	Age_Pub	Temp_Pub	Age_Marine09	Age_error
6.00	0.4351	160.00	11.65	122.48	113.17
11.00	0.4283	290.00	11.45	230.35	110.90
21.00	0.4232	550.00	11.30	446.55	127.28
26.00	0.4266	680.00	11.40	553.79	163.22
31.00	0.4334	820.00	11.60	662.10	181.82
36.00	0.4232	950.00	11.30	771.15	188.29
46.00	0.4300	1210.00	11.50	991.24	167.85
51.00	0.4300	1340.00	11.50	1102.60	136.03
56.00	0.4368	1470.00	11.70	1216.31	69.57
61.00	0.4334	1610.00	11.60	1334.02	129.27
71.00	0.4283	1870.00	11.45	1577.30	228.26
76.00	0.4215	2000.00	11.25	1699.92	261.83
81.00	0.4096	2130.00	10.90	1822.87	290.14
86.00	0.4300	2260.00	11.50	1946.04	314.61
96.00	0.4402	2530.00	11.80	2192.90	355.12
101.00	0.4436	2660.00	11.90	2316.52	372.07
106.00	0.4504	2790.00	12.10	2440.25	387.23
111.00	0.4334	2920.00	11.60	2564.08	400.79
121.00	0.4538	3180.00	12.20	2811.98	423.73
126.00	0.4232	3320.00	11.30	2936.05	433.33
131.00	0.3960	3450.00	10.50	3060.18	441.80
136.00	0.4062	3580.00	10.80	3184.38	449.20
146.00	0.4130	3840.00	11.00	3432.95	461.00
151.00	0.4028	3970.00	10.70	3557.33	465.48
156.00	0.4130	4110.00	11.00	3681.75	469.04
161.00	0.3994	4240.00	10.60	3806.24	471.72
171.00	0.4198	4500.00	11.20	4055.37	474.47
176.00	0.3926	4630.00	10.40	4180.01	474.56
181.00	0.3994	4760.00	10.60	4304.71	473.79
186.00	0.3926	4890.00	10.40	4429.46	472.17
197.00	0.3960	5180.00	10.50	4704.10	465.52
201.00	0.3960	5290.00	10.50	4804.04	462.04
206.00	0.3994	5420.00	10.60	4929.02	456.85
211.00	0.4028	5520.00	10.70	5054.05	450.72
221.00	0.4062	5730.00	10.80	5304.33	435.43
226.00	0.4028	5830.00	10.70	5429.58	426.18
231.00	0.4062	5940.00	10.80	5554.90	415.77
236.00	0.4062	6050.00	10.80	5680.32	404.10
246.00	0.3926	6260.00	10.40	5931.45	376.58
251.00	0.3858	6370.00	10.20	6057.20	360.40
257.00	0.3722	6490.00	9.80	6208.31	338.48
