#
# JR51GC-35
# 4	JR51GC-35	UK’37	Muller et al., 1998 (3)	67	-18	-420	110	Annual	Bendle and Rosell-Mele 2007 (7)
#
Depth	Proxy	Age_Pub	Temp_Pub	Age_Marine09	Age_error
0.00	0.2940	61.87	4.55	114.85	56.05
5.00	0.2913	143.17	4.46	190.68	113.99
9.00	0.3605	208.21	6.85	254.11	141.07
13.00	0.3354	273.26	5.98	317.56	159.90
17.00	0.4152	338.30	8.73	381.02	173.04
21.00	0.3632	403.34	6.94	444.50	181.68
22.00	0.3173	419.60	5.36	460.37	183.21
25.00	0.4375	468.38	9.50	507.99	186.39
33.00	0.3766	598.46	7.40	635.00	184.86
37.00	0.3665	663.50	7.05	698.51	178.47
39.00	0.3532	696.02	6.59	730.28	173.70
41.00	0.4038	728.54	8.34	762.04	167.78
45.00	0.3791	793.58	7.49	825.59	151.85
52.00	0.4326	907.40	9.33	936.87	103.45
56.00	0.3770	943.47	7.41	1014.23	113.77
64.00	0.3834	1130.82	7.63	1197.44	185.70
80.00	0.3975	1505.53	8.12	1564.59	234.65
84.00	0.4007	1599.20	8.23	1656.46	235.70
88.00	0.3739	1692.88	7.31	1748.34	232.80
96.00	0.3746	1880.23	7.33	1932.20	214.25
100.00	0.4302	1973.91	9.25	2024.17	197.39
104.00	0.3590	2067.59	6.79	2116.20	173.65
106.00	0.3408	2114.43	6.17	2162.24	158.26
112.00	0.4089	2254.94	8.51	2300.85	81.81
116.00	0.3674	2348.62	7.08	2395.17	141.28
120.00	0.4263	2442.30	9.12	2489.86	176.28
124.00	0.3870	2535.97	7.76	2584.61	200.46
128.00	0.3381	2629.65	6.07	2679.41	217.49
132.00	0.3009	2723.33	4.79	2774.24	228.95
136.00	0.3867	2817.00	7.75	2869.09	235.67
140.00	0.3130	2910.68	5.21	2963.97	238.03
144.00	0.2995	3004.36	4.74	3058.87	236.15
152.00	0.3597	3191.71	6.82	3248.74	218.94
156.00	0.4041	3285.39	8.35	3343.72	202.40
160.00	0.4546	3379.06	10.09	3438.75	178.69
164.00	0.3443	3472.74	6.29	3533.84	144.12
168.00	0.3866	3566.42	7.75	3629.30	83.29
176.00	0.4098	3753.77	8.55	3836.15	181.48
180.00	0.3313	3847.45	5.84	3940.01	203.79
184.00	0.4063	3941.12	8.43	4043.94	217.86
188.00	0.3712	4034.80	7.22	4147.93	225.31
192.00	0.4451	4128.48	9.76	4251.98	226.84
196.00	0.4518	4222.15	9.99	4356.07	222.62
200.00	0.4451	4315.83	9.76	4460.22	212.34
204.00	0.3810	4409.51	7.55	4564.44	195.08
208.00	0.3915	4503.19	7.91	4668.75	168.78
212.00	0.3870	4596.86	7.76	4773.24	128.12
216.00	0.3270	4690.54	5.69	4861.53	119.44
220.00	0.4029	4784.22	8.31	4933.26	151.16
224.00	0.3180	4877.89	5.38	5005.10	173.55
228.00	0.3009	4971.57	4.79	5076.99	189.95
232.00	0.3928	5065.25	7.96	5148.92	201.82
236.00	0.3926	5158.92	7.95	5220.88	209.93
240.00	0.4010	5252.60	8.24	5292.86	214.71
244.00	0.3664	5346.28	7.05	5364.86	216.37
248.00	0.3713	5439.95	7.22	5436.88	215.00
252.00	0.3643	5533.63	6.98	5508.92	210.54
256.00	0.3817	5627.31	7.57	5580.98	202.78
260.00	0.3930	5720.98	7.97	5653.07	191.32
264.00	0.3996	5814.66	8.19	5725.19	175.47
268.00	0.4151	5908.34	8.73	5797.36	153.86
272.00	0.3615	6002.01	6.88	5869.59	123.57
276.00	0.2998	6095.69	4.75	5942.21	75.28
280.00	0.3449	6189.37	6.31	6017.62	125.89
284.00	0.3465	6283.04	6.36	6093.38	156.66
288.00	0.3201	6376.72	5.45	6169.20	178.10
292.00	0.3636	6470.40	6.95	6245.06	193.33
296.00	0.3922	6564.07	7.94	6320.94	203.73
304.00	0.4165	6751.43	8.78	6472.79	212.57
308.00	0.3599	6845.11	6.82	6548.74	211.50
312.00	0.3559	6938.78	6.69	6624.71	206.75
318.00	0.3673	7079.30	7.08	6738.71	192.05
320.00	0.3877	7126.14	7.78	6776.72	184.83
324.00	0.3707	7219.81	7.19	6852.77	166.00
328.00	0.4383	7313.49	9.53	6928.87	139.27
340.00	0.3998	7594.52	8.20	7255.01	180.98
344.00	0.3977	7688.20	8.13	7396.52	217.79
348.00	0.4230	7781.87	9.00	7538.12	242.26
356.00	0.4615	7969.23	10.33	7821.47	266.41
360.00	0.4230	8062.90	9.00	7963.21	268.36
364.00	0.3973	8156.58	8.11	8104.99	263.94
372.00	0.4371	8343.93	9.49	8388.70	234.07
376.00	0.4507	8437.61	9.95	8530.64	205.59
380.00	0.4321	8531.29	9.31	8672.70	162.35
388.00	0.4043	8718.64	8.35	8914.63	139.66
396.00	0.2171	8906.00	1.90	9114.25	188.21
400.00	0.4455	8999.67	9.77	9214.17	197.22
404.00	0.5098	9093.35	11.99	9314.14	198.44
412.00	0.4170	9280.70	8.79	9514.25	177.09
416.00	0.4997	9374.38	11.65	9614.42	151.15
420.00	0.4369	9468.06	9.48	9714.82	106.28
432.00	0.4750	9749.09	10.79	9941.37	156.15
436.00	0.4299	9842.76	9.24	10015.42	157.35
440.00	0.4259	9936.44	9.10	10089.52	149.72
444.00	0.4223	10030.12	8.97	10163.70	131.71
448.00	0.4360	10123.79	9.45	10238.02	97.63
450.00	0.4145	10170.63	8.71	10275.47	67.21
