#
# ODP 984
# 9	ODP 984	Mg/Ca (N. pachyderma d.)	Anand et al., 2003 (8)	61.4	-24.1	-1648	110	Winter*	Came et al., 2007 (12)
#
Depth	Proxy	Age_Pub	Temp_Pub	Age_Marine09	Age_error
7.00	1.2800	553.80	9.00	537.42	120.62
10.00	1.0380	607.70	6.90	595.50	135.74
11.00	1.1770	625.70	8.20	614.80	139.15
17.00	1.1730	733.50	8.10	730.03	146.02
19.00	1.0030	769.40	6.60	768.25	143.47
31.00	1.0010	985.00	6.60	992.96	41.05
33.00	1.1820	1043.10	8.20	1053.49	94.59
37.00	1.1260	1159.20	7.70	1169.77	142.26
39.00	1.1760	1217.30	8.20	1227.45	155.64
47.00	1.5210	1449.60	10.70	1456.57	170.46
49.00	1.2740	1507.60	9.00	1513.49	165.78
51.00	1.5090	1565.70	10.70	1570.27	157.45
53.00	0.9480	1623.80	6.00	1626.86	144.84
57.00	1.0980	1739.90	7.50	1739.12	99.99
59.00	1.1260	1798.00	7.70	1792.86	52.83
67.00	1.1170	2199.30	7.60	2201.70	214.80
69.00	1.1670	2299.70	8.10	2302.49	230.51
71.00	1.1850	2400.00	8.20	2403.11	242.07
73.00	1.1790	2500.30	8.20	2503.59	250.05
77.00	1.2260	2701.00	8.60	2704.15	256.44
79.00	1.3950	2801.30	9.90	2804.24	255.09
87.00	1.3130	3202.70	9.30	3203.26	216.47
89.00	1.0780	3303.00	7.30	3302.57	196.04
91.00	1.3020	3403.30	9.20	3401.57	168.63
93.00	1.0510	3503.70	7.00	3500.04	129.84
97.00	1.0040	3669.70	6.60	3666.75	110.68
99.00	1.2170	3735.40	8.50	3735.48	139.78
103.00	1.2590	3866.90	8.80	3871.75	173.70
107.00	1.2580	3998.30	8.80	4007.19	188.67
109.00	1.5140	4064.00	10.70	4074.67	190.69
111.00	1.4090	4129.70	10.00	4142.01	189.28
113.00	1.1720	4195.40	8.10	4209.20	184.36
115.00	1.5010	4261.10	10.60	4276.22	175.64
119.00	1.2650	4392.60	8.90	4409.59	143.66
123.00	1.3180	4524.00	9.30	4539.43	69.71
127.00	1.1990	4679.10	8.40	4697.37	154.54
129.00	1.2590	4756.60	8.80	4774.66	177.98
131.00	1.2450	4834.20	8.70	4851.70	196.00
133.00	1.3610	4911.80	9.60	4928.57	210.02
137.00	1.3010	5066.90	9.20	5081.89	228.83
139.00	1.2390	5144.40	8.70	5158.40	234.36
145.00	1.3580	5377.00	9.60	5387.34	237.46
147.00	1.0950	5454.60	7.40	5463.47	234.08
149.00	1.2080	5532.10	8.40	5539.51	228.38
151.00	1.3060	5609.70	9.20	5615.44	220.19
153.00	1.0940	5687.20	7.40	5691.25	209.21
155.00	1.2830	5764.80	9.00	5766.93	194.95
157.00	1.1860	5842.40	8.20	5842.43	176.61
159.00	1.1760	5919.90	8.20	5917.67	152.71
163.00	1.2880	6075.00	9.10	6064.81	64.09
165.00	1.2570	6154.70	8.80	6149.28	121.59
167.00	1.2990	6234.40	9.20	6231.22	154.35
169.00	1.2200	6314.10	8.50	6312.69	177.31
173.00	1.1550	6473.40	8.00	6474.86	206.10
175.00	1.1690	6553.10	8.10	6555.68	214.26
177.00	1.2170	6632.80	8.50	6636.36	218.99
179.00	1.1490	6712.50	7.90	6716.91	220.50
183.00	1.2010	6871.90	8.40	6877.61	213.98
185.00	1.2470	6951.60	8.70	6957.75	205.66
187.00	1.0960	7031.20	7.50	7037.73	193.42
189.00	1.0730	7110.90	7.20	7117.51	176.46
193.00	1.1610	7270.30	8.00	7276.03	119.88
195.00	1.0720	7350.00	7.20	7352.53	60.36
199.00	1.0090	7451.40	6.60	7454.99	118.18
203.00	1.2520	7552.80	8.80	7554.19	138.06
207.00	1.2350	7654.20	8.60	7652.44	138.02
211.00	1.1720	7755.60	8.10	7749.75	117.85
213.00	1.1750	7806.30	8.10	7797.83	96.57
215.00	1.1040	7857.00	7.50	7843.80	56.12
217.00	1.1040	7937.60	7.50	7927.88	119.24
219.00	1.0190	8018.10	6.70	8009.57	153.89
223.00	0.9520	8179.30	6.00	8171.82	197.24
225.00	0.9090	8259.90	5.60	8252.64	211.49
227.00	1.0030	8340.40	6.60	8333.32	222.20
229.00	1.1500	8421.00	7.90	8413.88	229.90
231.00	1.1040	8501.60	7.50	8494.34	234.89
233.00	1.0910	8582.10	7.40	8574.70	237.35
235.00	1.1110	8662.70	7.60	8654.97	237.38
237.00	1.0310	8743.30	6.80	8735.14	234.98
239.00	1.1190	8823.90	7.70	8815.22	230.08
243.00	1.1830	8985.00	8.20	8975.06	212.09
245.00	1.1060	9065.60	7.60	9054.78	198.28
247.00	1.0310	9146.10	6.80	9134.35	180.36
249.00	0.9430	9226.70	6.00	9213.68	156.99
251.00	0.9340	9307.30	5.90	9292.65	125.26
253.00	0.9800	9387.90	6.30	9370.61	75.94
255.00	1.0790	9467.70	7.30	9453.76	102.22
257.00	0.9430	9547.30	5.90	9537.21	135.96
259.00	1.0080	9626.90	6.60	9619.97	156.31
263.00	1.1620	9786.10	8.00	9784.37	172.86
267.00	0.9610	9945.30	6.10	9947.60	163.14
269.00	1.0740	10024.90	7.30	10028.72	147.24
273.00	1.0450	10184.10	7.00	10188.75	71.37
277.00	1.0500	10343.30	7.00	10239.82	68.44
279.00	1.0870	10422.90	7.40	10258.05	70.50
