#
# ODP 658C
# 12	ODP 658C	Foram transfer function	±1.5 C uncertainty±1.5 C uncertainty	20.8	-18.6	-2263	110	Winter and Summer**Winter and Summer**	deMenocal et al., 2000 (16)
#
Depth	Proxy	Age_Pub	Temp_Pub	Age_Marine09	Age_error
1.00	21.3000	88.00	21.30	48.78	80.69
3.00	19.7000	186.00	19.70	145.87	122.05
5.00	18.6000	284.00	18.60	242.74	130.82
7.00	17.8000	382.00	17.80	339.42	114.64
9.00	21.1000	480.00	21.10	435.53	54.04
11.00	19.7000	515.00	19.70	478.74	80.15
13.00	22.0000	550.00	22.00	521.53	86.67
15.00	20.1500	585.00	20.15	564.15	78.87
17.00	21.6500	620.00	21.65	606.34	51.16
19.00	21.1500	656.00	21.15	643.47	82.83
21.00	21.8000	693.00	21.80	679.68	98.00
23.00	18.9500	730.00	18.95	715.65	103.84
25.00	18.2500	766.00	18.25	751.43	101.71
27.00	20.2500	803.00	20.25	786.97	90.60
29.00	20.3000	840.00	20.30	821.60	62.30
31.00	20.0500	886.00	20.05	871.71	104.11
33.00	20.3500	933.00	20.35	921.68	126.83
35.00	21.3500	980.00	21.35	971.62	141.78
37.00	21.7000	1026.00	21.70	1021.55	151.45
39.00	21.8000	1073.00	21.80	1071.46	156.89
41.00	21.9500	1120.00	21.95	1121.36	158.60
43.00	20.8000	1166.00	20.80	1171.26	156.72
45.00	21.4500	1213.00	21.45	1221.14	151.14
47.00	21.3500	1260.00	21.35	1271.01	141.45
49.00	21.8000	1306.00	21.80	1320.86	126.72
51.00	21.2500	1353.00	21.25	1370.69	104.86
53.00	21.3000	1400.00	21.30	1420.38	68.81
55.00	20.7500	1515.00	20.75	1536.14	135.03
57.00	21.8000	1630.00	21.80	1651.44	162.56
59.00	19.3500	1745.00	19.35	1766.63	171.62
61.00	19.8000	1860.00	19.80	1881.72	165.37
63.00	19.1000	1975.00	19.10	1996.70	141.89
65.00	20.4500	2090.00	20.45	2111.22	88.84
67.00	20.6500	2270.00	20.65	2285.17	173.69
69.00	20.9500	2451.00	20.95	2458.49	220.13
71.00	21.0500	2632.00	21.05	2631.67	250.30
73.00	20.6000	2813.00	20.60	2804.77	269.68
75.00	19.3500	2994.00	19.35	2977.82	280.51
77.00	20.5000	3175.00	20.50	3150.81	283.78
79.00	19.8000	3355.00	19.80	3323.75	279.74
81.00	21.1500	3536.00	21.15	3496.64	268.06
83.00	20.7500	3717.00	20.75	3669.48	247.68
85.00	21.7500	3898.00	21.75	3842.23	216.15
87.00	21.8500	4079.00	21.85	4014.85	167.30
89.00	21.8000	4260.00	21.80	4186.83	72.52
91.00	20.9500	4321.00	20.95	4200.87	80.35
93.00	21.4500	4383.00	21.45	4215.03	84.87
95.00	20.9000	4445.00	20.90	4229.22	86.68
97.00	21.0500	4507.00	21.05	4243.43	86.00
99.00	20.3500	4568.00	20.35	4257.68	82.81
101.00	20.2000	4630.00	20.20	4272.04	77.21
103.00	20.7000	4692.00	20.70	4310.79	98.62
105.00	20.9500	4754.00	20.95	4349.22	113.33
109.00	20.9000	4877.00	20.90	4425.91	128.54
111.00	20.8000	4939.00	20.80	4464.19	130.57
113.00	21.4000	5001.00	21.40	4502.44	129.19
115.00	21.0000	5062.00	21.00	4540.66	124.26
117.00	21.3000	5124.00	21.30	4578.83	115.33
119.00	20.9000	5186.00	20.90	4616.94	101.36
121.00	20.3000	5248.00	20.30	4654.72	80.13
123.00	19.8500	5310.00	19.85	5304.98	103.87
125.00	21.1000	5434.00	21.10	5431.39	162.13
127.00	19.8000	5559.00	19.80	5557.13	201.26
129.00	19.8000	5683.00	19.80	5682.75	229.85
131.00	17.8500	5808.00	17.85	5808.29	251.40
135.00	17.9000	6057.00	17.90	6059.24	279.19
137.00	17.7000	6182.00	17.70	6184.67	286.87
139.00	17.2000	6306.00	17.20	6310.05	290.87
141.00	18.7000	6431.00	18.70	6435.41	291.33
143.00	18.0000	6555.00	18.00	6560.74	288.26
145.00	18.6000	6680.00	18.60	6686.04	281.52
147.00	18.3000	6804.00	18.30	6811.31	270.82
149.00	18.3000	6929.00	18.30	6936.54	255.66
151.00	17.0500	7054.00	17.05	7061.72	235.14
154.00	17.8000	7240.00	17.80	7249.38	190.36
156.00	16.9500	7365.00	16.95	7374.34	144.38
158.00	17.5500	7490.00	17.55	7498.65	54.73
160.00	16.2500	7530.00	16.25	7533.45	87.47
164.00	16.5000	7610.00	16.50	7602.46	119.89
166.00	16.5500	7650.00	16.55	7636.91	128.87
168.00	16.9500	7690.00	16.95	7671.33	134.54
170.00	17.0000	7730.00	17.00	7705.74	137.33
174.00	17.3000	7810.00	17.30	7774.49	134.80
176.00	16.7000	7850.00	16.70	7808.84	129.34
