#
# 13	Composite: MD95-2011; HM79-4	Radiolaria transfer function	±1.2 C uncertainty±1.2 C uncertainty	67	7.6	-	90	Summer	Dolven et al., 2002 (17)
# J. K. Dolven, G. Cortese, K. R. Bjoklund, A high-resolution radiolarian-derived paleotemperature 532 record
# for the Late Pleistocene-Holocene in the Norwegian Sea. Paleoceanography 17, 533 doi:10.1029/2002PA000780 (2002). 534
#
Depth	Proxy	Age_Pub	Temp_Pub	Age_Marine09	Age_error
15.50	11.8000	567.00	11.80	569.95	49.07
19.50	12.8000	581.00	12.80	580.98	52.66
24.50	12.5000	600.00	12.50	594.84	49.54
29.50	12.8000	618.00	12.80	608.82	35.47
35.50	12.7000	641.00	12.70	640.15	61.52
41.50	12.3000	663.00	12.30	674.90	63.21
44.50	12.6000	674.00	12.60	692.41	53.14
49.50	11.1000	711.00	11.10	736.73	66.41
55.50	13.0000	788.00	13.00	817.42	106.17
59.50	12.7000	839.00	12.70	871.42	112.02
65.50	12.1000	917.00	12.10	952.66	97.83
69.50	12.0000	968.00	12.00	1007.13	65.98
75.50	11.7000	1026.00	11.70	1055.26	73.54
81.50	11.6000	1080.00	11.60	1096.59	76.71
85.50	10.9000	1116.00	10.90	1124.20	66.87
90.50	11.9000	1164.00	11.90	1164.12	58.70
95.50	11.1000	1225.00	11.10	1225.77	107.62
101.50	11.4000	1298.00	11.40	1299.97	139.53
105.50	12.1000	1347.00	12.10	1349.49	153.64
109.50	12.0000	1395.00	12.00	1399.04	163.84
115.50	11.8000	1468.00	11.80	1473.40	173.26
124.50	11.8000	1578.00	11.80	1585.02	176.03
129.50	10.5000	1639.00	10.50	1647.06	171.91
135.50	11.0000	1712.00	11.00	1721.56	161.15
139.50	12.0000	1761.00	12.00	1771.25	149.83
145.50	12.4000	1834.00	12.40	1845.84	124.34
148.50	12.6000	1870.00	12.60	1883.18	105.78
155.50	11.3000	1971.00	11.30	1982.74	77.74
160.50	12.0000	2082.00	12.00	2086.94	120.30
165.50	12.1000	2194.00	12.10	2191.71	122.00
170.50	12.0000	2306.00	12.00	2295.68	93.21
175.50	12.3000	2379.00	12.30	2371.15	131.56
180.50	12.4000	2452.00	12.40	2445.17	161.45
185.50	12.8000	2526.00	12.80	2519.27	183.83
190.50	12.5000	2599.00	12.50	2593.41	201.18
195.50	11.8000	2672.00	11.80	2667.58	214.69
200.50	12.1000	2745.00	12.10	2741.77	225.04
205.50	12.1000	2818.00	12.10	2815.98	232.66
210.50	12.1000	2891.00	12.10	2890.20	237.79
215.50	12.4000	2965.00	12.40	2964.45	240.59
219.50	12.5000	3023.00	12.50	3023.85	241.20
225.50	11.6000	3111.00	11.60	3112.98	239.43
230.50	11.6000	3184.00	11.60	3187.26	235.44
235.50	12.4000	3257.00	12.40	3261.57	229.02
240.50	12.6000	3331.00	12.60	3335.89	219.97
245.50	11.6000	3404.00	11.60	3410.23	207.92
250.50	11.5000	3477.00	11.50	3484.59	192.31
255.50	12.9000	3550.00	12.90	3558.99	172.15
260.50	11.3000	3623.00	11.30	3633.43	145.52
265.50	11.1000	3696.00	11.10	3707.95	107.61
270.50	11.3000	3768.00	11.30	3781.32	70.30
275.50	11.4000	3834.00	11.40	3849.03	116.61
280.50	12.1000	3900.00	12.10	3916.91	142.58
