#
# 13	Composite: MD95-2011; HM79-4	Radiolaria transfer function	±1.2 C uncertainty±1.2 C uncertainty	67	7.6	-	90	Summer	Dolven et al., 2002 (17)
# J. K. Dolven, G. Cortese, K. R. Bjoklund, A high-resolution radiolarian-derived paleotemperature 532 record
# for the Late Pleistocene-Holocene in the Norwegian Sea. Paleoceanography 17, 533 doi:10.1029/2002PA000780 (2002). 534
#
Depth	Proxy	Age_Pub	Temp_Pub	Age_Marine09	Age_error
55.50	10.5000	11155.00	10.50	11155	446.2
60.50	9.9000	11275.00	9.90	11275	451
65.50	8.9000	11394.00	8.90	11394	455.76
70.50	7.4000	11514.00	7.40	11514	460.56
75.50	7.2000	11633.00	7.20	11633	465.32
80.50	7.1000	11753.00	7.10	11753	470.12
84.50	7.3000	11849.00	7.30	11849	473.96
86.50	7.6000	11896.00	7.60	11896	475.84
91.50	7.5000	12066.00	7.50	12066	482.64
95.50	7.6000	12297.00	7.60	12297	491.88
100.50	8.0000	12584.00	8.00	12584	503.36
103.00	7.3000	12728.00	7.30	12728	509.12
105.50	7.5000	12872.00	7.50	12872	514.88
108.00	7.4000	13016.00	7.40	13016	520.64
110.50	8.2000	13146.00	8.20	13146	525.84
113.00	8.6000	13218.00	8.60	13218	528.72
115.50	8.4000	13290.00	8.40	13290	531.6
118.00	8.3000	13363.00	8.30	13363	534.52
120.50	7.6000	13435.00	7.60	13435	537.4
123.50	7.6000	13522.00	7.60	13522	540.88
127.50	7.8000	13638.00	7.80	13638	545.52
130.50	7.6000	13724.00	7.60	13724	548.96
134.00	7.4000	13826.00	7.40	13826	553.04
137.00	8.3000	13913.00	8.30	13913	556.52
140.50	8.5000	14014.00	8.50	14014	560.56
143.00	7.9000	14086.00	7.90	14086	563.44
146.50	8.5000	14151.00	8.50	14151	566.04
150.00	9.6000	14167.00	9.60	14167	566.68
153.00	8.3000	14180.00	8.30	14180	567.2
155.50	9.4000	14192.00	9.40	14192	567.68
158.00	9.5000	14203.00	9.50	14203	568.12
160.50	8.6000	14214.00	8.60	14214	568.56
163.00	8.5000	14226.00	8.50	14226	569.04
165.50	9.4000	14237.00	9.40	14237	569.48
168.00	9.3000	14248.00	9.30	14248	569.92
170.50	8.5000	14260.00	8.50	14260	570.4
173.00	8.0000	14271.00	8.00	14271	570.84
176.50	8.2000	14319.00	8.20	14319	572.76
178.50	8.9000	14371.00	8.90	14371	574.84
180.50	9.2000	14422.00	9.20	14422	576.88
183.00	8.2000	14487.00	8.20	14487	579.48
186.50	8.9000	14577.00	8.90	14577	583.08
188.50	8.8000	14629.00	8.80	14629	585.16
191.50	8.9000	14707.00	8.90	14707	588.28
193.00	9.3000	14745.00	9.30	14745	589.8
195.50	9.0000	14810.00	9.00	14810	592.4
198.00	9.1000	14875.00	9.10	14875	595
200.50	8.7000	14939.00	8.70	14939	597.56
