#
# AD91-17
# 18	AD91-17	UK’37	Muller et al., 1998 (3)	40.9	18.6	-844	190	Annual (seasonal bias likely)	Giunta et al., 2001 (21)
#
Depth	Proxy	Age_Pub	Temp_Pub	Age_Marine09	Age_error
2.00	0.5093	1990.00	14.10	1521.56	84.62
8.00	0.5291	2160.00	14.70	1799.48	199.84
13.00	0.5687	2300.00	15.90	2033.80	231.96
18.00	0.5621	2430.00	15.70	2269.36	235.36
22.00	0.5687	2540.00	15.90	2458.67	218.60
28.00	0.5324	2710.00	14.80	2744.85	146.43
33.00	0.4994	2870.00	13.80	2952.77	134.71
38.00	0.5192	3050.00	14.40	3128.95	199.96
43.00	0.5588	3230.00	15.60	3306.60	237.10
47.00	0.5192	3370.00	14.40	3449.28	255.42
52.00	0.5489	3550.00	15.30	3628.13	267.57
58.00	0.5654	3770.00	15.80	3843.39	268.41
63.00	0.5621	3950.00	15.70	4023.31	257.82
68.00	0.5885	4130.00	16.50	4203.77	235.64
73.00	0.5753	4310.00	16.10	4384.98	198.11
78.00	0.5588	4490.00	15.60	4567.67	133.21
83.00	0.5786	4690.00	16.20	4829.14	168.21
88.00	0.5753	4930.00	16.10	5172.17	243.72
93.00	0.5984	5290.00	16.80	5517.77	263.85
98.00	0.5951	5730.00	16.70	5865.20	242.39
103.00	0.5918	6170.00	16.60	6215.20	163.33
108.00	0.5918	6490.00	16.60	6466.64	116.58
113.00	0.5885	6680.00	16.50	6616.02	176.84
118.00	0.5918	6870.00	16.60	6766.79	207.96
123.00	0.5885	7060.00	16.50	6918.29	222.51
128.00	0.5588	7220.00	15.60	7070.38	223.72
131.00	0.5687	7280.00	15.90	7161.91	218.24
133.00	0.5588	7330.00	15.60	7223.05	211.81
137.00	0.5456	7420.00	15.20	7345.67	191.25
141.00	0.5489	7510.00	15.30	7468.91	156.80
143.00	0.5522	7550.00	15.40	7530.92	131.11
147.00	0.5555	7650.00	15.50	7657.22	65.98
151.00	0.5093	7780.00	14.10	7787.38	135.42
153.00	0.5192	7850.00	14.40	7853.64	147.10
157.00	0.5786	7980.00	16.20	7987.37	144.70
161.00	0.5720	8120.00	16.00	8123.16	102.20
163.00	0.5753	8180.00	16.10	8193.06	79.37
167.00	0.5390	8310.00	15.00	8340.47	108.56
171.00	0.5258	8450.00	14.60	8493.75	81.98
173.00	0.5324	8520.00	14.80	8569.69	130.03
176.00	0.5555	8620.00	15.50	8684.99	168.24
178.00	0.5390	8680.00	15.00	8762.32	182.29
181.00	0.5390	8790.00	15.00	8878.82	191.08
183.00	0.5588	8850.00	15.60	8956.81	189.49
186.00	0.5291	8950.00	14.70	9074.40	175.14
201.00	0.3971	10810.00	10.70	11683.86	473.22
203.00	0.3641	10870.00	9.70	12128.97	554.35
206.00	0.3872	10950.00	10.40	12796.37	664.00
208.00	0.3773	11010.00	10.10	13241.20	731.88
211.00	0.3839	11090.00	10.30	13321.20	2000.00
221.00	0.4037	11370.00	10.90	13601.20	2000.00
