#
# NIOP-905
# 22	NIOP-905	TEX86	Schouten et al., 2002 (23)	10.6	51.9	-1567	180	Annual (seasonal bias likely)	Huguet et al., 2006 (22)
#
Depth	Proxy	Age_Pub	Temp_Pub	Age_Marine09	Age_error
0.50	0.4137	19.00	25.71	19.07	39.28
5.50	0.4216	208.00	26.24	212.58	151.20
10.50	0.4149	397.00	25.79	406.64	171.05
15.50	0.4194	586.00	26.09	601.01	147.54
20.50	0.4243	782.00	26.42	802.73	79.24
25.50	0.4242	1052.00	26.41	1065.54	180.39
30.50	0.4146	1321.00	25.77	1329.35	199.62
35.50	0.4192	1590.00	26.08	1593.65	170.36
40.50	0.4239	1857.00	26.39	1857.22	87.97
45.50	0.4252	2105.00	26.48	2103.90	192.37
50.50	0.4183	2352.00	26.02	2351.14	241.01
55.50	0.4270	2599.00	26.60	2598.52	265.78
60.50	0.4269	2846.00	26.59	2846.02	273.07
65.50	0.4351	3094.00	27.14	3093.62	264.23
70.50	0.4276	3341.00	26.64	3341.33	237.31
75.50	0.4321	3588.00	26.94	3589.22	184.35
80.50	0.4254	3833.00	26.49	3834.84	95.18
85.50	0.4149	4055.00	25.79	4054.97	188.83
90.50	0.4378	4276.00	27.32	4275.73	232.56
95.50	0.4786	4497.00	30.04	4496.68	254.30
100.50	0.4290	4719.00	26.73	4717.76	259.70
105.50	0.4324	4940.00	26.96	4938.96	249.87
110.50	0.4272	5162.00	26.61	5160.30	222.81
115.50	0.4296	5383.00	26.77	5381.84	170.51
120.50	0.4356	5597.00	27.17	5596.52	76.99
125.50	0.4320	5743.00	26.93	5742.79	155.19
130.50	0.4239	5888.00	26.39	5889.53	194.59
135.50	0.4302	6034.00	26.81	6036.40	217.55
140.50	0.4270	6179.00	26.60	6183.35	229.06
145.50	0.4384	6325.00	27.36	6330.38	230.83
150.50	0.4350	6470.00	27.13	6477.48	223.07
155.50	0.4225	6616.00	26.30	6624.66	204.69
160.50	0.4294	6762.00	26.76	6771.96	172.27
165.50	0.4218	6907.00	26.25	6919.50	114.16
170.50	0.4378	7058.00	27.32	7066.54	123.65
175.50	0.4281	7211.00	26.67	7213.64	139.99
180.50	0.4228	7365.00	26.32	7361.14	110.12
185.50	0.4266	7509.00	26.57	7501.67	98.94
190.50	0.4249	7641.00	26.46	7633.78	131.67
195.50	0.4257	7773.00	26.51	7766.36	119.91
200.50	0.4278	7903.00	26.65	7898.12	66.75
205.50	0.4330	8018.00	27.00	8014.65	138.19
210.50	0.4288	8132.00	26.72	8131.54	174.88
215.50	0.4326	8247.00	26.97	8248.51	197.26
220.50	0.4248	8362.00	26.45	8365.55	209.92
225.50	0.4468	8477.00	27.92	8482.63	214.53
230.50	0.4284	8591.00	26.69	8599.77	211.60
235.50	0.4291	8706.00	26.74	8716.95	200.74
240.50	0.4263	8821.00	26.55	8834.20	180.44
245.50	0.4315	8936.00	26.90	8951.54	146.62
250.50	0.4185	9053.00	26.03	9072.43	98.91
255.50	0.4375	9222.00	27.30	9233.18	168.50
260.50	0.4564	9391.00	28.56	9395.61	205.17
265.50	0.4510	9560.00	28.20	9558.23	224.00
270.50	0.4372	9729.00	27.28	9720.97	229.57
275.50	0.4420	9898.00	27.60	9883.83	222.96
280.50	0.4474	10067.00	27.96	10046.81	203.06
285.50	0.4378	10236.00	27.32	10209.97	165.25
290.50	0.4416	10405.00	27.57	10373.60	89.16
295.50	0.4927	10572.00	30.98	10544.81	142.63
300.50	0.4984	10738.00	31.36	10717.60	171.03
305.50	0.4510	10905.00	28.20	10890.60	166.26
310.50	0.4446	11072.00	27.77	11063.81	123.91
315.50	0.4546	11207.00	28.44	11240.14	92.00
320.50	0.4578	11309.00	28.65	11430.31	116.34
325.50	0.4894	11623.00	30.76	11681.57	188.34
330.50	0.5124	11937.00	32.29	11933.72	202.90
335.50	0.4867	12251.00	30.58	12186.31	176.10
340.50	0.4680	12551.00	29.33	12435.70	105.78
345.50	0.4684	12734.00	29.36	12646.74	171.46
350.50	0.4506	12917.00	28.17	12858.28	184.39
355.50	0.4327	13100.00	26.98	13070.05	156.84
360.50	0.4278	13304.00	26.65	13327.52	76.08
365.50	0.4213	13591.00	26.22	13709.95	195.39
370.50	0.4089	13858.00	25.39	14043.59	241.83
375.50	0.4405	14125.00	27.50	14378.20	243.52
380.50	0.4342	14651.00	27.08	14973.37	299.60
