#
# Dome C, Antarctica
# 25	Dome C, Antarctica	Ice Core dDIce Core dD	±30% uncertainty±30% uncertainty	-75.1	123.4	3240	20	Annual	Jouzel et al., 2007 (26)
# Updated from ftp://ftp.ncdc.noaa.gov/pub/data/paleo/icecore/antarctica/epica_domec/edc3deuttemp2007.txt
#
Depth	Proxy	Age_Pub	Temp_Pub	Age_Marine09	Age_error
660	-390.9	38.3738	-54.12	38.3738	1
715	-385.1	46.8120	-53.16	46.8120	1
770	-377.8	55.0562	-51.96	55.0562	1
825	-394.1	64.4151	-54.65	64.4151	1
880	-398.7	73.1508	-55.42	73.1508	1
935	-395.9	81.9324	-54.95	81.9324	2
990	-395.9	90.7593	-54.95	90.7593	2
1045	-399.3	99.9703	-55.52	99.9703	2
1100	-391.4	109.8888	-54.21	109.8888	2
1155	-399.5	119.2589	-55.55	119.2589	2
1210	-402.9	129.4038	-56.11	129.4038	3
1265	-393.9	139.9389	-54.62	139.9389	3
1320	-398.6	150.1021	-55.40	150.1021	3
1375	-389.8	160.5801	-53.95	160.5801	3
1430	-394.5	171.0183	-54.72	171.0183	3
1485	-400.5	181.4447	-55.72	181.4447	4
1540	-403.6	191.4828	-56.23	191.4828	4
1595	-393.1	201.8723	-54.49	201.8723	4
1650	-410.9	212.1863	-57.44	212.1863	4
1705	-393.6	223.1629	-54.58	223.1629	4
1760	-391.1	233.7391	-54.16	233.7391	5
1815	-391.9	244.6407	-54.29	244.6407	5
1870	-396.3	255.4997	-55.02	255.4997	5
1925	-397.0	266.6121	-55.14	266.6121	5
1980	-404.7	277.7710	-56.41	277.7710	6
2035	-398.2	289.2501	-55.34	289.2501	6
2090	-395.2	301.0430	-54.84	301.0430	6
2145	-403.5	312.4418	-56.22	312.4418	6
2200	-398.6	323.8545	-55.41	323.8545	6
2255	-399.7	335.5783	-55.59	335.5783	7
2310	-396.0	346.8813	-54.97	346.8813	7
2365	-400.2	358.5082	-55.67	358.5082	7
2420	-401.6	370.9011	-55.90	370.9011	7
2475	-405.4	382.8744	-56.53	382.8744	8
2530	-399.0	395.1856	-55.47	395.1856	8
2585	-396.9	407.4656	-55.12	407.4656	8
2640	-394.9	418.7549	-54.79	418.7549	8
2695	-406.6	430.3977	-56.73	430.3977	9
2750	-395.2	442.4092	-54.84	442.4092	9
2805	-395.3	454.0992	-54.86	454.0992	9
2860	-399.5	466.1252	-55.56	466.1252	9
2915	-401.0	478.2143	-55.80	478.2143	10
2970	-393.6	490.3972	-54.58	490.3972	10
3025	-410.4	503.0573	-57.36	503.0573	10
3080	-401.3	515.6510	-55.85	515.6510	10
3135	-398.3	528.7642	-55.36	528.7642	11
3190	-388.5	541.6086	-53.74	541.6086	11
3245	-391.9	554.9312	-54.30	554.9312	11
3300	-400.8	567.7542	-55.77	567.7542	11
3355	-387.7	580.5999	-53.60	580.5999	12
3410	-401.4	593.5114	-55.87	593.5114	12
3465	-401.0	606.4739	-55.81	606.4739	12
3520	-387.3	619.4661	-53.54	619.4661	12
3575	-390.2	632.0487	-54.02	632.0487	13
3630	-394.5	644.9871	-54.73	644.9871	13
3685	-401.9	658.2576	-55.96	658.2576	13
