#
# Dome Fujii, Antarctica
# 27	Dome F, Antarctica	Ice Core d18O, dDIce Core d18O, dD	±30% uncertainty±30% uncertainty	-77.3	39.7	3810	500	Annual	Kawamura et al., 2007 (28)
# This is "preliminary" data; the later analysis produced inconsistent result
# Updated from:
# Dome Fuji Ice Core 340KYr (2500m) d18O Data
# World Data Center for Paleoclimatology, Boulder
# NOAA Paleoclimatology Program
# NAME OF DATA SET: Dome Fuji Ice Core 340KYr (2500m) d18O Data
# LAST UPDATE: 8/2007 (Original receipt by WDC Paleo)
#
# DATA CONTRIBUTORS: 
# Kenji Kawamura, Motoyama Hideaki, Ryu Uemura, Shuji Fujita, 
# Kumiko Azuma, Yoshiyuki Fujii, Okitsugu Watanabe 
# (National Institite of Polar Research, Japan)
#
Depth	Proxy	Age_Pub	Temp_Pub	Age_Marine09	Age_error
0	0.2105	750	0.4	750	75
1650	0.4211	1250	0.8	1250	125
2900	-0.1053	1750	-0.2	1750	175
3973	-0.4211	2250	-0.8	2250	225
4921	-0.2105	2750	-0.4	2750	275
5825	0.2105	3250	0.4	3250	325
6680	0.2105	3750	0.4	3750	375
7500	0.1579	4250	0.3	4250	425
8303	-0.1579	4750	-0.3	4750	475
9068	0.2105	5250	0.4	5250	525
9806	-0.2105	5750	-0.4	5750	575
10519	-0.2632	6250	-0.5	6250	625
11254	0.0000	6750	0	6750	675
11951	-0.1579	7250	-0.3	7250	725
12622	-0.2105	7750	-0.4	7750	775
13297	-0.3684	8250	-0.7	8250	825
13992	-0.2105	8750	-0.4	8750	875
14709	0.1579	9250	0.3	9250	925
15415	0.3684	9750	0.7	9750	975
16114	0.4211	10250	0.8	10250	1025
16823	0.4211	10750	0.8	10750	1075
17520	0.2632	11250	0.5	11250	1125
18211	0.0000	11750	0	11750	1175
18876	-0.8421	12250	-1.6	12250	1225
19556	-0.8421	12750	-1.6	12750	1275
20238	-1.7368	13250	-3.3	13250	1325
20956	-1.6316	13750	-3.1	13750	1375
21651	-1.4211	14250	-2.7	14250	1425
22334	-1.3684	14750	-2.6	14750	1475
22984	-2.0000	15250	-3.8	15250	1525
23680	-1.6316	15750	-3.1	15750	1575
24355	-2.2632	16250	-4.3	16250	1625
25044	-3.1579	16750	-6	16750	1675
25726	-3.8421	17250	-7.3	17250	1725
26390	-3.8421	17750	-7.3	17750	1775
27071	-4.5789	18250	-8.7	18250	1825
27764	-4.7895	18750	-9.1	18750	1875
28453	-4.8421	19250	-9.2	19250	1925
29153	-5.0000	19750	-9.5	19750	1975
29867	-4.0526	20250	-7.7	20250	2025
