#
# GeoB 3313-1
# 33	GeoB 3313-1	UK’37	Muller et al., 1998 (3)	-41	-74.3	825	90	Annual	Lamy et al., 2002 (34)
#
Depth	Proxy	Age_Pub	Temp_Pub	Age_Marine09	Age_error
3.00	0.5208	20	14.17	20	20
13.00	0.5347	86	14.58	86	86
23.00	0.5388	152	14.70	152	86
33.00	0.5330	218	14.53	218	86
43.00	0.5378	283.26	14.67	255.06	87.29
53.00	0.5459	363.77	14.91	337.09	134.23
63.00	0.5361	444.28	14.62	419.16	162.18
73.00	0.5425	524.79	14.81	501.26	180.19
83.00	0.5453	605.30	14.89	583.36	191.08
93.00	0.5500	685.81	15.03	665.48	196.03
103.00	0.5480	766.32	14.97	747.60	195.48
113.00	0.5606	846.83	15.34	829.74	189.37
123.00	0.5602	927.34	15.33	911.89	177.12
133.00	0.5558	1007.85	15.20	994.05	157.27
143.00	0.5500	1088.36	15.03	1076.23	126.21
153.00	0.5544	1168.87	15.16	1158.47	70.00
163.00	0.5548	1245.37	15.17	1235.93	99.66
168.00	0.5538	1282.95	15.14	1273.95	121.09
173.00	0.5538	1320.53	15.14	1311.98	137.30
183.00	0.5609	1395.70	15.35	1388.09	160.09
193.00	0.5589	1470.86	15.29	1464.22	174.04
203.00	0.5691	1546.02	15.59	1540.38	181.24
208.00	0.5680	1583.60	15.56	1578.47	182.58
213.00	0.5640	1621.19	15.44	1616.56	182.49
223.00	0.5585	1696.35	15.28	1692.76	177.94
233.00	0.5551	1771.51	15.18	1768.99	167.12
238.00	0.5517	1809.09	15.08	1807.11	159.00
248.00	0.5504	1884.26	15.04	1883.38	135.71
258.00	0.5493	1959.42	15.01	1959.72	97.30
268.00	0.5643	2061.04	15.45	2061.74	116.29
278.00	0.5507	2189.11	15.05	2189.29	173.62
288.00	0.5493	2317.18	15.01	2316.88	209.99
298.00	0.5527	2445.25	15.11	2444.48	235.31
308.00	0.5456	2573.32	14.90	2572.09	252.91
318.00	0.5602	2701.39	15.33	2699.71	264.31
328.00	0.5514	2829.46	15.07	2827.34	270.28
338.00	0.5524	2957.53	15.10	2954.98	271.17
348.00	0.5599	3085.60	15.32	3082.63	267.01
358.00	0.5589	3213.67	15.29	3210.28	257.54
363.00	0.5589	3277.70	15.29	3274.11	250.63
368.00	0.5568	3341.74	15.23	3337.94	242.10
378.00	0.5548	3469.81	15.17	3465.62	219.39
388.00	0.5609	3597.88	15.35	3593.31	186.67
398.00	0.5674	3725.95	15.54	3721.03	136.59
408.00	0.5738	3852.39	15.73	3847.38	95.41
418.00	0.5748	3973.95	15.76	3970.21	159.25
428.00	0.5623	4095.51	15.39	4093.24	194.05
438.00	0.5602	4217.07	15.33	4216.34	215.00
448.00	0.5687	4338.63	15.58	4339.49	226.16
458.00	0.5646	4460.20	15.46	4462.69	229.05
468.00	0.5636	4581.76	15.43	4585.94	224.07
478.00	0.5595	4703.32	15.31	4709.23	210.73
488.00	0.5670	4824.88	15.53	4832.57	187.34
498.00	0.5629	4946.44	15.41	4956.01	149.44
508.00	0.5670	5068.00	15.53	5079.89	80.07
518.00	0.5623	5109.25	15.39	5120.05	105.03
528.00	0.5663	5150.51	15.51	5160.09	122.28
538.00	0.5687	5191.76	15.58	5200.09	134.43
548.00	0.5677	5233.02	15.55	5240.08	142.73
558.00	0.5742	5274.27	15.74	5280.06	147.80
568.00	0.5765	5315.53	15.81	5320.03	149.95
578.00	0.5796	5356.78	15.90	5359.99	149.28
588.00	0.5782	5398.04	15.86	5399.94	145.75
598.00	0.5895	5439.29	16.19	5439.88	139.10
608.00	0.5864	5480.55	16.10	5479.81	128.82
618.00	0.5840	5521.80	16.03	5519.72	113.87
628.00	0.5881	5563.06	16.15	5559.60	91.83
638.00	0.5776	5625.02	15.84	5620.06	95.92
648.00	0.5840	5749.10	16.03	5743.47	160.77
658.00	0.5752	5873.19	15.77	5867.03	197.97
668.00	0.5663	5997.27	15.51	5990.65	222.25
678.00	0.5711	6121.35	15.65	6114.31	237.70
688.00	0.5680	6245.44	15.56	6238.00	246.03
698.00	0.5602	6369.52	15.33	6361.71	248.00
708.00	0.5704	6493.60	15.63	6485.45	243.79
718.00	0.5667	6617.69	15.52	6609.22	233.10
728.00	0.5640	6741.77	15.44	6733.03	214.99
738.00	0.5650	6865.85	15.47	6856.88	187.39
748.00	0.5544	6989.94	15.16	6980.81	145.09
