#
# Lake 850
# 34	Lake 850	Chironomid transfer function	Global Avg. RMSEP	68.4	19.2	850	80	Summer	Larocque et al., 2004 (35)
#
Depth	Proxy	Age_Pub	Temp_Pub	Age_Marine09	Age_error
0.00	9.4300	-50.00	9.43	0.00	20
1.00	9.4700	0.00	9.47	82.06	110.65
2.00	9.9600	150.00	9.96	163.80	154.06
3.00	10.0700	250.00	10.07	245.52	185.69
4.00	10.1800	350.00	10.18	327.22	210.89
5.00	9.8200	450.00	9.82	408.91	231.78
6.00	9.9800	550.00	9.98	490.60	249.43
9.00	9.5900	650.00	9.59	735.62	288.41
10.00	9.1300	750.00	9.13	817.29	297.75
11.00	10.2600	850.00	10.26	898.96	305.57
12.00	9.9300	950.00	9.93	980.62	311.99
13.00	9.9300	1000.00	9.93	1062.28	317.09
15.00	9.6700	1075.00	9.67	1225.59	323.54
17.00	9.5300	1150.00	9.53	1388.89	325.23
19.00	9.9300	1225.00	9.93	1552.18	322.21
20.00	9.4200	1300.00	9.42	1633.82	318.91
21.00	9.7100	1375.00	9.71	1715.45	314.35
22.00	9.7100	1450.00	9.71	1797.09	308.49
23.00	9.9600	1525.00	9.96	1878.72	301.24
24.00	9.8100	1600.00	9.81	1960.35	292.50
25.00	9.4600	1675.00	9.46	2041.97	282.13
26.00	9.7700	1750.00	9.77	2123.59	269.93
27.00	9.9500	1825.00	9.95	2205.20	255.64
28.00	9.5600	1900.00	9.56	2286.81	238.86
29.00	8.9700	2000.00	8.97	2368.41	219.01
30.00	9.4200	2090.00	9.42	2449.99	195.10
31.00	9.0600	2180.00	9.06	2531.55	165.27
32.00	9.7100	2270.00	9.71	2612.97	123.78
33.00	9.3900	2360.00	9.39	2690.19	159.79
34.00	9.2800	2450.00	9.28	2767.29	184.60
35.00	9.3100	2540.00	9.31	2844.36	203.28
36.00	9.1900	2630.00	9.19	2921.42	217.50
37.00	8.7000	2720.00	8.70	2998.47	228.12
38.00	9.5100	2810.00	9.51	3075.51	235.64
39.00	9.2600	2900.00	9.26	3152.54	240.36
40.00	9.7000	3000.00	9.70	3229.57	242.43
41.00	8.8700	3083.00	8.87	3306.60	241.94
42.00	9.7600	3166.00	9.76	3383.61	238.86
43.00	9.4200	3249.00	9.42	3460.62	233.09
44.00	10.4000	3332.00	10.40	3537.63	224.40
45.00	9.6200	3415.00	9.62	3614.62	212.44
46.00	9.8800	3498.00	9.88	3691.61	196.56
47.00	9.3500	3581.00	9.35	3768.59	175.68
48.00	9.4200	3664.00	9.42	3845.54	147.49
49.00	9.8000	3747.00	9.80	3922.36	104.07
50.00	10.0500	3830.00	10.05	3988.50	143.66
51.00	9.6900	3913.00	9.69	4054.67	170.24
52.00	10.1900	4000.00	10.19	4120.85	190.69
53.00	9.9900	4058.00	9.99	4187.04	206.96
54.00	10.5100	4116.00	10.51	4253.23	220.05
55.00	9.7300	4174.00	9.73	4319.42	230.52
56.00	9.6400	4232.00	9.64	4385.61	238.73
57.00	10.2400	4290.00	10.24	4451.80	244.93
58.00	10.0600	4348.00	10.06	4518.00	249.27
59.00	10.2700	4406.00	10.27	4584.19	251.87
60.00	9.2200	4464.00	9.22	4650.39	252.78
61.00	9.5400	4522.00	9.54	4716.59	252.02
62.00	9.7100	4580.00	9.71	4782.79	249.59
63.00	9.7700	4638.00	9.77	4848.99	245.45
64.00	9.7300	4696.00	9.73	4915.19	239.51
65.00	9.5300	4754.00	9.53	4981.40	231.64
66.00	9.8200	4812.00	9.82	5047.60	221.64
67.00	9.7100	4870.00	9.71	5113.81	209.22
68.00	9.7800	4928.00	9.78	5180.02	193.94
69.00	10.0600	5002.00	10.06	5246.23	175.05
70.00	9.2800	5160.00	9.28	5312.45	151.25
71.00	9.4400	5260.00	9.44	5378.67	119.76
72.00	9.3500	5360.00	9.35	5444.93	72.31
73.00	10.0700	5460.00	10.07	5542.28	136.91
74.00	9.5200	5560.00	9.52	5639.49	176.99
75.00	9.7400	5670.00	9.74	5736.69	206.75
76.00	10.1000	5760.00	10.10	5833.86	230.19
77.00	10.1600	5860.00	10.16	5931.03	249.06
78.00	9.4000	5960.00	9.40	6028.20	264.34
79.00	10.3100	6060.00	10.31	6125.36	276.63
80.00	9.6000	6150.00	9.60	6222.51	286.29
81.00	10.4700	6240.00	10.47	6319.66	293.59
82.00	9.8600	6330.00	9.86	6416.80	298.70
83.00	10.0600	6420.00	10.06	6513.94	301.73
84.00	9.8900	6510.00	9.89	6611.08	302.73
85.00	10.1300	6600.00	10.13	6708.21	301.73
86.00	10.0500	6690.00	10.05	6805.34	298.70
87.00	10.2600	6780.00	10.26	6902.46	293.59
88.00	9.9900	6870.00	9.99	6999.59	286.27
89.00	9.1400	6960.00	9.14	7096.70	276.58
90.00	9.8100	7023.00	9.81	7193.82	264.24
91.00	10.0400	7086.00	10.04	7290.92	248.87
92.00	9.6900	7149.00	9.69	7388.02	229.85
93.00	10.2900	7212.00	10.29	7485.11	206.17
94.00	10.0100	7275.00	10.01	7582.19	175.97
95.00	10.4000	7338.00	10.40	7679.24	134.93
96.00	10.4900	7401.00	10.49	7776.17	65.09
97.00	10.9800	7464.00	10.98	7784.74	71.17
98.00	10.6400	7527.00	10.64	7793.35	75.84
99.00	10.4600	7590.00	10.46	7801.96	79.23
100.00	10.9200	7653.00	10.92	7810.58	81.46
101.00	10.5900	7716.00	10.59	7819.20	82.63
102.00	8.8700	7779.00	8.87	7827.83	82.76
103.00	10.4100	7842.00	10.41	7836.46	81.84
104.00	10.9400	7905.00	10.94	7845.09	79.83
105.00	10.2800	7968.00	10.28	7853.73	76.60
106.00	9.8900	8039.00	9.89	7862.40	71.75
