#
# Lake Nujulla
# 35	Lake Nujulla	Chironomid transfer function	Global Avg. RMSEP	68.4	18.7	999	190	Summer	Larocque et al., 2004 (35)
#
Depth	Proxy	Age_Pub	Temp_Pub	Age_Marine09	Age_error
0.00	7.3107	-48.00	7.31	0.00	20
8.00	8.1899	156.94	8.19	208.95	160.75
12.00	8.2823	259.41	8.28	310.09	188.90
16.00	8.4857	361.88	8.49	410.71	208.56
20.00	8.8059	464.35	8.81	510.93	221.99
24.00	8.4934	566.82	8.49	610.82	230.28
28.00	9.4730	669.29	9.47	710.43	233.99
32.00	9.3125	771.76	9.31	809.76	233.33
36.00	8.8347	874.23	8.83	908.80	228.26
40.00	9.2792	976.70	9.28	1007.53	218.49
44.00	9.3732	1079.17	9.37	1105.90	203.32
48.00	9.0099	1181.63	9.01	1203.81	181.41
52.00	9.0777	1284.10	9.08	1301.00	149.82
56.00	8.8030	1386.57	8.80	1396.55	99.74
60.00	9.1930	1539.47	9.19	1560.88	141.32
64.00	9.0680	1722.63	9.07	1762.39	190.19
68.00	9.9187	1905.79	9.92	1961.36	205.96
72.00	9.0494	2088.95	9.05	2158.20	197.12
76.00	8.7156	2272.11	8.72	2350.70	160.88
80.00	9.6444	2469.45	9.64	2546.77	200.55
84.00	9.1834	2668.83	9.18	2739.43	232.73
88.00	8.7521	2868.20	8.75	2930.47	249.69
92.00	9.6163	3067.58	9.62	3120.45	254.37
96.00	9.3795	3266.95	9.38	3309.50	247.50
100.00	9.7288	3466.33	9.73	3497.55	228.08
104.00	9.9055	3665.70	9.91	3684.19	192.60
108.00	9.3786	3865.08	9.38	3867.05	130.22
112.00	9.5965	4175.83	9.60	4185.73	224.68
116.00	9.4005	4502.50	9.40	4517.91	294.61
120.00	9.2723	4829.17	9.27	4848.28	341.34
124.00	10.0175	5155.83	10.02	5177.62	373.51
128.00	9.6623	5482.50	9.66	5506.20	394.63
132.00	10.0494	5809.17	10.05	5834.16	406.41
136.00	9.6869	6135.83	9.69	6161.55	409.66
140.00	9.6582	6462.50	9.66	6488.38	404.60
144.00	8.9675	6789.17	8.97	6814.64	390.92
148.00	9.7290	7115.83	9.73	7140.24	367.70
152.00	9.7441	7442.50	9.74	7465.04	333.05
156.00	9.8441	7769.17	9.84	7788.69	283.00
160.00	10.3317	8095.83	10.33	8110.09	207.45
164.00	9.6517	8339.67	9.65	8349.20	147.34
168.00	10.0624	8445.44	10.06	8460.43	178.85
172.00	9.7920	8551.22	9.79	8569.77	202.37
176.00	10.5382	8657.00	10.54	8678.27	219.63
180.00	10.5282	8762.78	10.53	8786.19	231.77
183.00	10.9316	8842.11	10.93	8866.81	237.92
187.00	11.1996	8947.89	11.20	8973.92	242.48
191.00	10.9926	9053.67	10.99	9080.57	243.00
195.00	10.3799	9159.44	10.38	9186.73	239.45
199.00	10.8772	9265.22	10.88	9292.26	231.56
203.00	10.7253	9371.00	10.73	9396.82	218.76
207.00	11.0915	9476.78	11.09	9498.49	199.90
