#
# MD02-2529
# 37	MD02-2529	UK’37	Muller et al., 1998 (3)	8.2	-84.1	-1619	290	Summer*	Leduc et al., 2007 (37)
#
Depth	Proxy	Age_Pub	Temp_Pub	Age_Marine09	Age_error
3.00	0.9540	112.00	28.70	106.07	109.80
10.00	0.9520	372.00	28.60	352.77	106.54
20.00	0.9610	629.00	29.10	607.78	170.26
30.00	0.9620	858.00	29.20	838.85	235.69
40.00	0.9600	1088.00	29.10	1069.95	276.94
50.00	0.9500	1317.00	28.50	1301.07	304.15
60.00	0.9690	1546.00	29.50	1532.21	320.97
70.00	0.9640	1775.00	29.30	1763.36	329.06
80.00	0.9540	2004.00	28.70	1994.52	329.09
90.00	0.9410	2233.00	28.10	2225.69	321.12
100.00	0.9420	2462.00	28.10	2456.87	304.58
110.00	0.9390	2691.00	27.90	2688.07	278.03
120.00	0.9400	2920.00	28.00	2919.29	238.33
130.00	0.9370	3150.00	27.80	3150.56	177.42
140.00	0.9410	3425.00	28.10	3427.44	180.88
148.00	0.9390	3701.00	27.90	3703.42	261.53
160.00	0.9570	4116.00	28.90	4117.38	342.50
170.00	0.9400	4461.00	28.00	4462.35	391.73
176.00	0.9360	4668.00	27.80	4669.32	416.03
190.00	0.9320	5152.00	27.60	5152.28	461.32
200.00	0.9230	5497.00	27.10	5497.24	485.78
210.00	0.9380	5842.00	27.90	5842.20	504.75
220.00	0.9250	6188.00	27.20	6187.16	518.83
230.00	0.9290	6533.00	27.40	6532.13	528.41
235.00	0.9240	6705.00	27.20	6704.61	531.58
250.00	0.9280	7223.00	27.40	7222.05	534.86
260.00	0.9410	7569.00	28.10	7567.01	531.89
270.00	0.9390	7914.00	27.90	7911.97	524.72
280.00	0.9400	8259.00	28.00	8256.93	513.18
290.00	0.9360	8605.00	27.80	8601.89	496.96
299.00	0.9350	8915.00	27.70	8912.35	477.98
303.00	0.9340	9054.00	27.70	9050.33	468.07
314.00	0.9380	9433.00	27.90	9429.79	435.53
323.00	0.9250	9744.00	27.20	9740.25	402.08
333.00	0.9200	10089.00	26.90	10085.20	355.50
343.00	0.9360	10435.00	27.80	10430.16	294.51
353.00	0.9240	10780.00	27.20	10775.11	206.99
359.00	0.9420	10987.00	28.10	10982.07	121.62
363.00	0.9230	11175.00	27.10	11170.13	182.69
369.00	0.9300	11468.00	27.50	11462.85	249.48
373.00	0.9300	11663.00	27.50	11657.98	275.85
379.00	0.9310	11955.00	27.50	11950.67	297.75
383.00	0.9330	12150.00	27.60	12145.79	302.52
389.00	0.9190	12443.00	26.90	12438.46	295.81
393.00	0.9220	12638.00	27.10	12633.57	281.56
399.00	0.9360	12930.00	27.80	12926.22	242.03
403.00	0.9220	13125.00	27.10	13121.30	197.99
409.00	0.9160	13420.00	26.70	13422.33	152.22
411.00	0.9110	13522.00	26.50	13531.14	192.89
419.00	0.9100	13927.00	26.40	13966.34	289.48
423.00	0.9080	14129.00	26.30	14183.94	318.31
429.00	0.9050	14433.00	26.20	14510.33	346.94
433.00	0.9070	14635.00	26.30	14727.93	358.09
