#
# MD79-257
# 39	MD79-257	Foram MAT	±1.1 C uncertainty±1.1 C uncertainty	-20.4	36.3	-1262	300	Winter and Summer**Winter and Summer**	Levi et al., 2008 (39)
#
Depth	Proxy	Age_Pub	Temp_Pub	Age_Marine09	Age_error
0.00	28.06	1553.72	26.99	1635.21	118.68
5.00	26.91	1865.30	25.92	1902.07	215.85
15.00	28.01	2467.79	26.87	2413.58	300.67
25.00	28.35	3043.85	27.37	2919.10	326.58
35.00	27.79	3594.61	27.22	3420.33	309.17
45.00	28.02	4120.95	27.24	3915.55	239.19
55.00	27.91	4623.56	26.91	4417.21	238.13
65.00	27.92	5103.02	27.36	4925.13	310.43
75.00	28.09	5559.74	27.30	5427.01	333.13
85.00	28.23	5994.10	27.36	5924.57	316.87
95.00	28.13	6406.40	27.36	6416.09	253.83
105.00	28.55	6796.93	28.04	6879.27	238.05
115.00	28.23	7165.98	27.46	7315.48	290.55
115.01	27.77	7165.99	26.49	7530	299
125.00	28.04	7513.88	27.29	7745	308
135.00	28.27	7841.02	27.64	8168.42	296.26
145.00	28.49	8147.84	27.98	8482.53	268.87
155.00	27.47	8434.89	26.64	8694.10	246.60
165.00	28.13	8702.83	27.04	8901.16	211.07
175.00	28.13	8952.43	27.15	9103.71	152.02
185.00	28.27	9184.59	27.47	9464.46	160.82
195.00	28.58	9400.36	27.77	9758.14	130.08
205.00	28.01	9600.93	27.31	9846.48	134.97
215.00	28.59	9787.66	28.09	9931.00	130.09
225.00	28.01	9962.04	26.91	10027.68	134.20
235.00	27.54	10125.73	26.24	10134.39	147.45
245.00	27.89	10280.55	26.68	10237.65	145.83
255.00	27.57	10428.45	26.59	10337.47	126.64
265.00	27.82	10571.53	26.76	10533.35	139.12
275.00	27.81	10712.02	26.72	10790.39	147.30
285.00	28.15	10852.30	27.02	11011.36	165.23
295.00	27.80	10994.82	26.47	11234.92	213.46
305.00	27.76	11142.14	26.73	11430.22	228.56
315.00	28.81	11296.91	28.48	11602.30	230.22
325.00	28.42	11461.82	27.70	11768.89	235.92
335.00	28.43	11639.61	27.70	11904.10	233.49
345.00	28.38	11833.00	27.47	12008.91	223.73
355.00	27.32	12044.74	26.20	12110.00	215.74
365.00	28.35	12277.50	27.57	12207.36	207.32
375.00	28.27	12533.89	27.13	12583.23	196.83
385.00	28.18	12816.41	27.15	13407.90	238.68
395.00	27.58	13127.41	26.33	13971.80	243.58
405.00	28.60	13469.06	27.81	14125.36	229.52
415.00	27.95	13843.34	27.09	14246.01	221.49
425.00	28.43	14251.91	27.94	14338.03	216.57
435.00	27.71	14696.17	26.55	14426.15	212.60
445.00	28.46	15177.16	28.12	14590.26	220.04
455.00	27.21	15695.49	26.07	14824.96	248.87
