#
# MD95-2015
# 42	MD95-2015	UK’37	Muller et al., 1998 (3)	58.8	-26	-2630	80	Annual	Marchal et al., 2002 (41)
#
Depth	Proxy	Age_Pub	Temp_Pub	Age_Marine09	Age_error
0.00	0.43	690.00	11.20	0.00	700
5.00	0.43	770.00	11.20	453.79	189.52
10.00	0.45	840.00	12.00	893.91	70.74
15.00	0.43	930.00	11.20	991.00	132.53
20.00	0.44	1020.00	11.40	1085.39	164.47
25.00	0.44	1100.00	11.60	1179.23	183.84
30.00	0.45	1190.00	11.80	1272.71	194.52
35.00	0.42	1280.00	10.90	1365.91	197.97
40.00	0.44	1360.00	11.60	1458.83	194.59
45.00	0.44	1450.00	11.40	1551.46	183.99
50.00	0.44	1540.00	11.70	1643.73	164.80
55.00	0.43	1620.00	11.20	1735.44	133.28
60.00	0.44	1710.00	11.70	1824.47	73.88
65.00	0.42	1850.00	11.00	1970.70	156.25
70.00	0.45	2000.00	11.80	2113.65	197.24
75.00	0.42	2150.00	11.00	2255.91	221.82
80.00	0.44	2290.00	11.50	2397.73	235.30
85.00	0.43	2440.00	11.30	2539.20	239.59
90.00	0.44	2590.00	11.50	2680.34	235.25
95.00	0.42	2740.00	11.00	2821.12	221.79
100.00	0.43	2880.00	11.20	2961.47	197.42
105.00	0.43	3030.00	11.10	3101.13	157.26
110.00	0.44	3180.00	11.40	3237.51	81.67
115.00	0.43	3270.00	11.30	3334.48	138.21
120.00	0.43	3370.00	11.30	3428.83	173.87
125.00	0.42	3460.00	10.90	3522.69	199.80
130.00	0.44	3550.00	11.50	3616.27	219.45
135.00	0.44	3640.00	11.40	3709.65	234.40
140.00	0.44	3730.00	11.50	3802.88	245.50
145.00	0.44	3820.00	11.70	3895.97	253.26
150.00	0.44	3910.00	11.50	3988.93	257.97
155.00	0.44	4000.00	11.40	4081.78	259.80
160.00	0.44	4100.00	11.40	4174.52	258.82
165.00	0.46	4190.00	12.10	4267.15	254.99
170.00	0.44	4280.00	11.60	4359.65	248.18
175.00	0.43	4370.00	11.20	4452.01	238.15
180.00	0.44	4460.00	11.50	4544.22	224.45
185.00	0.43	4550.00	11.20	4636.23	206.38
190.00	0.44	4640.00	11.60	4727.96	182.66
195.00	0.44	4730.00	11.70	4819.20	150.70
200.00	0.44	4830.00	11.60	4907.82	103.96
210.00	0.45	5030.00	11.80	5112.54	169.90
215.00	0.45	5130.00	11.80	5212.69	182.81
220.00	0.44	5230.00	11.50	5312.37	186.61
225.00	0.44	5330.00	11.60	5411.63	181.77
230.00	0.44	5430.00	11.50	5510.42	167.41
235.00	0.43	5530.00	11.30	5608.52	140.45
240.00	0.44	5630.00	11.50	5703.57	88.31
245.00	0.43	5720.00	11.20	5796.14	143.37
250.00	0.44	5810.00	11.70	5886.22	179.02
255.00	0.43	5900.00	11.30	5975.86	206.14
260.00	0.45	5990.00	11.90	6065.26	227.85
265.00	0.45	6070.00	11.90	6154.49	245.62
