#
# Homestead Scarp
# 43	Homestead Scarp	Pollen MAT	±0.98 C uncertainty	-52.5	169.1	30	70	Summer	McGlone et al., 2010 (42)
#
Depth	Proxy	Age_Pub	Temp_Pub	Age_Marine09	Age_error
0.00	8.7657	-45.00	8.77	0.00	0.00
2.00	8.9692	-39.00	8.97	5.36	27.78
4.00	9.0136	-33.00	9.01	10.61	36.81
6.00	8.8089	-24.63	8.81	15.89	42.19
8.00	9.0371	-13.88	9.04	21.18	45.27
10.00	8.9523	-3.13	8.95	26.49	46.50
12.00	8.8374	7.63	8.84	31.80	46.03
14.00	8.8020	18.38	8.80	37.13	43.82
16.00	8.9128	29.13	8.91	42.47	39.56
18.00	9.1782	39.88	9.18	47.82	32.49
20.00	9.1371	50.63	9.14	53.21	19.77
22.00	9.1385	123.71	9.14	128.65	98.73
24.00	9.0132	259.14	9.01	274.35	140.46
26.00	8.7624	394.57	8.76	420.18	130.01
28.00	8.9932	530.00	8.99	566.30	29.63
30.00	8.9117	571.65	8.91	593.33	68.40
32.00	9.0721	613.29	9.07	620.42	86.44
34.00	8.9716	654.94	8.97	647.53	96.69
36.00	8.9020	696.59	8.90	674.64	101.56
38.00	8.9495	738.24	8.95	701.76	101.80
40.00	9.1235	779.88	9.12	728.88	97.39
42.00	8.9903	821.53	8.99	756.02	87.55
44.00	8.9985	863.18	9.00	783.18	69.61
46.00	9.0445	911.24	9.04	828.01	87.24
48.00	9.0706	965.71	9.07	891.10	123.11
50.00	9.0294	1020.19	9.03	954.32	144.20
52.00	9.0548	1074.67	9.05	1017.61	156.84
54.00	8.8879	1129.14	8.89	1080.94	163.09
56.00	8.8713	1183.62	8.87	1144.33	163.74
58.00	8.9175	1238.10	8.92	1207.75	158.90
60.00	9.0577	1292.57	9.06	1271.21	148.07
62.00	9.1700	1347.05	9.17	1334.74	129.81
64.00	8.9267	1401.52	8.93	1398.35	100.22
66.00	8.9054	1456.00	8.91	1462.40	39.79
68.00	9.0133	1508.82	9.01	1518.69	98.45
70.00	8.8778	1561.65	8.88	1575.06	130.23
72.00	8.9888	1614.47	8.99	1631.44	152.74
74.00	9.0021	1667.29	9.00	1687.84	169.68
76.00	8.9447	1720.12	8.94	1744.24	182.59
78.00	8.8945	1772.94	8.89	1800.65	192.25
80.00	8.9751	1825.76	8.98	1857.06	199.15
82.00	9.0072	1878.59	9.01	1913.47	203.54
84.00	9.0046	1931.41	9.00	1969.89	205.57
86.00	8.9680	1984.24	8.97	2026.32	205.31
88.00	9.1876	2037.06	9.19	2082.74	202.73
90.00	9.0366	2089.88	9.04	2139.17	197.73
92.00	9.2357	2142.71	9.24	2195.61	190.08
94.00	9.0886	2195.53	9.09	2252.05	179.43
96.00	9.0266	2248.35	9.03	2308.51	165.11
98.00	8.9862	2301.18	8.99	2364.97	145.88
100.00	9.2318	2354.00	9.23	2421.52	117.49
102.00	8.9620	2393.00	8.96	2453.80	133.89
104.00	8.8067	2432.00	8.81	2486.47	145.53
106.00	9.1933	2471.00	9.19	2519.20	154.65
108.00	9.1449	2510.00	9.14	2551.98	161.80
110.00	9.1375	2549.00	9.14	2584.78	167.29
112.00	8.8721	2588.00	8.87	2617.61	171.30
114.00	8.9545	2627.00	8.95	2650.45	173.97
116.00	8.9791	2666.00	8.98	2683.31	175.36
118.00	8.9732	2705.00	8.97	2716.19	175.52
120.00	9.1970	2744.00	9.20	2749.08	174.47
122.00	9.0963	2783.00	9.10	2781.98	172.20
124.00	8.9782	2822.00	8.98	2814.90	168.66
126.00	9.0825	2861.00	9.08	2847.84	163.78
128.00	9.0917	2900.00	9.09	2880.79	157.46
130.00	9.0364	2939.00	9.04	2913.76	149.52
132.00	8.8671	2978.00	8.87	2946.75	139.72
134.00	8.9618	3017.00	8.96	2979.77	127.64
136.00	8.9255	3056.00	8.93	3012.83	112.61
138.00	8.9936	3095.00	8.99	3045.96	93.37
