#
# MD97-2120
# 47	MD97-2120	UK’37	Muller et al., 1998 (3)	-45.5	174.9	-3290	160	Annual	Pahnke and Sachs, 2005 (45)
#
Depth	Proxy	Age_Pub	Temp_Pub	Age_Marine09	Age_error
22.50	0.3866	1951.00	10.22	2032.75	103.24
24.50	0.4036	2180.43	10.72	2261.07	199.01
26.50	0.4021	2409.86	10.68	2488.71	240.96
28.50	0.4216	2639.29	11.25	2716.12	257.96
30.50	0.4078	2868.71	10.85	2943.36	254.96
32.50	0.4134	3098.14	11.01	3170.42	231.04
36.50	0.4132	3557.00	11.00	3600.79	118.02
40.50	0.4081	3828.42	10.86	3874.21	232.68
42.50	0.4055	3964.13	10.78	4010.64	268.18
44.50	0.4017	4099.84	10.67	4147.01	297.12
46.50	0.4085	4235.55	10.87	4283.34	321.28
48.50	0.4095	4371.26	10.90	4419.64	341.70
50.50	0.3981	4506.97	10.56	4555.92	359.00
52.50	0.4063	4642.68	10.80	4692.18	373.64
54.50	0.4053	4778.39	10.77	4828.42	385.90
56.50	0.4059	4914.10	10.79	4964.65	396.02
58.50	0.3970	5049.81	10.53	5100.86	404.15
60.50	0.4065	5185.52	10.81	5237.06	410.41
62.50	0.3930	5321.23	10.41	5373.25	414.89
64.50	0.4009	5456.94	10.64	5509.43	417.65
66.50	0.3842	5592.65	10.15	5645.59	418.71
68.50	0.4015	5728.35	10.66	5781.74	418.09
70.50	0.4044	5864.06	10.75	5917.88	415.79
72.50	0.4027	5999.77	10.70	6054.00	411.78
74.50	0.3944	6135.48	10.45	6190.12	406.00
76.50	0.3914	6271.19	10.36	6326.22	398.37
78.50	0.3991	6406.90	10.59	6462.30	388.80
80.50	0.4012	6542.61	10.65	6598.37	377.12
82.50	0.3998	6678.32	10.61	6734.43	363.14
84.50	0.4063	6814.03	10.80	6870.47	346.57
86.50	0.4120	6949.74	10.97	7006.48	327.03
88.50	0.4116	7085.45	10.96	7142.47	303.93
90.50	0.4102	7221.16	10.92	7278.43	276.38
92.50	0.4149	7356.87	11.06	7414.34	242.84
94.50	0.4064	7492.58	10.81	7550.19	200.27
96.50	0.4056	7628.29	10.78	7685.89	140.26
98.50	0.4093	7764.00	10.89	7813.03	85.96
100.50	0.4120	7844.00	10.97	7916.08	153.56
102.50	0.4297	7924.00	11.49	8018.84	195.93
106.50	0.4268	8084.00	11.40	8224.19	255.00
110.50	0.4328	8244.00	11.58	8429.42	296.39
114.50	0.4583	8404.00	12.33	8634.59	326.98
118.50	0.4774	8564.00	12.90	8839.71	349.65
122.50	0.4750	8724.00	12.82	9044.79	365.90
126.50	0.4765	8884.00	12.87	9249.83	376.57
130.50	0.4899	9044.00	13.26	9454.85	382.15
134.50	0.4871	9204.00	13.18	9659.83	382.87
138.50	0.4878	9364.00	13.20	9864.79	378.79
142.50	0.4949	9524.00	13.41	10069.71	369.76
148.50	0.4906	9764.00	13.28	10377.04	346.09
152.50	0.4859	9924.00	13.14	10581.87	322.46
156.50	0.4823	10084.00	13.04	10786.65	290.88
160.50	0.4867	10244.00	13.17	10991.35	248.48
164.50	0.4746	10404.00	12.81	11195.92	188.45
168.50	0.4853	10564.00	13.13	11378.88	106.15
174.50	0.5056	10804.00	13.72	11433.21	118.00
176.50	0.5123	10884.00	13.92	11451.28	120.83
180.50	0.4959	11044.00	13.44	11487.38	124.40
182.50	0.4853	11173.80	13.13	11505.42	125.22
184.50	0.5032	11303.60	13.65	11523.45	125.43
186.50	0.5337	11433.50	14.55	11541.47	125.09
188.50	0.5326	11563.30	14.52	11559.48	124.31
190.50	0.5112	11693.10	13.89	11577.46	123.39
192.50	0.4977	11822.90	13.49	11637.08	140.53
194.50	0.4986	11952.70	13.52	11820.89	186.68
196.50	0.4810	12082.50	13.00	12003.94	201.61
198.50	0.4936	12212.40	13.37	12186.69	190.71
200.50	0.4795	12342.20	12.96	12369.09	147.83
202.50	0.4643	12472.00	12.51	12551.62	110.74
204.50	0.4575	12577.00	12.31	12736.64	213.98
206.50	0.4591	12682.00	12.35	12921.03	283.61
208.50	0.4498	12787.00	12.08	13105.34	341.58
