#
# 17940
# 49	17940	UK’37	Muller et al., 1998 (3)	20.1	117.4	-1968	120	Annual	Pelejero et al., 1999 (46)
#
Depth	Proxy	Age_Pub	Temp_Pub	Age_Marine09	Age_error
0.00	0.9290	13.50	26.82	0.00	10
9.00	0.9320	174.00	26.92	74.96	90.18
17.00	0.9250	326.00	26.71	139.88	96.58
21.00	0.9260	396.00	26.73	171.82	88.41
27.00	0.9330	492.00	26.95	242.61	108.51
37.00	0.9270	635.00	26.75	370.77	116.74
47.00	0.9240	785.00	26.68	496.50	56.08
57.00	0.9310	967.00	26.88	734.64	173.68
67.00	0.9340	1178.00	26.96	976.29	216.61
75.00	0.9280	1357.00	26.79	1168.99	225.85
83.00	0.9250	1539.00	26.70	1361.22	216.49
93.00	0.9280	1759.00	26.77	1600.65	173.93
99.00	0.9290	1882.00	26.82	1743.21	120.16
109.00	0.9150	2064.00	26.39	1924.34	117.68
119.00	0.9260	2221.00	26.73	2047.69	129.10
127.00	0.9190	2337.00	26.52	2126.32	145.51
134.00	0.9250	2437.50	26.70	2194.52	150.39
141.00	0.9220	2541.00	26.61	2262.31	147.01
149.00	0.9150	2671.00	26.39	2339.20	131.59
157.00	0.9170	2819.00	26.45	2414.80	96.11
163.00	0.9260	2945.00	26.72	2536.70	128.22
171.00	0.9170	3127.00	26.45	2728.01	109.74
177.00	0.9240	3263.00	26.66	2858.74	95.12
190.00	0.9260	3537.50	26.74	3101.39	182.27
199.00	0.9160	3717.00	26.43	3268.32	203.41
207.00	0.9180	3872.00	26.49	3416.30	206.56
217.00	0.9190	4065.00	26.51	3600.75	190.85
227.00	0.9230	4262.00	26.65	3784.32	146.96
237.00	0.9240	4468.00	26.66	3961.39	129.18
245.00	0.9200	4639.00	26.53	4095.91	149.27
251.00	0.9220	4769.00	26.62	4195.82	143.49
259.00	0.9190	4940.00	26.51	4327.26	100.18
269.00	0.9200	5148.00	26.55	4818.33	154.35
279.00	0.9210	5347.00	26.57	4994.88	199.97
289.00	0.9240	5536.00	26.67	5170.65	222.45
298.00	0.9280	5697.00	26.80	5328.43	228.58
309.00	0.9220	5882.00	26.59	5520.81	219.42
317.00	0.9250	6008.00	26.70	5660.36	199.92
325.00	0.9160	6125.00	26.41	5799.47	165.49
331.00	0.9210	6208.00	26.59	5903.19	122.64
339.00	0.9200	6311.00	26.54	5990.58	94.06
349.00	0.9200	6433.00	26.54	6051.50	109.36
357.00	0.9120	6534.00	26.29	6099.74	111.57
367.00	0.9090	6673.00	26.21	6159.46	102.44
375.00	0.9110	6803.00	26.26	6263.82	133.49
379.00	0.9010	6876.00	25.97	6377.45	177.39
387.00	0.9100	7034.00	26.25	6603.41	228.14
395.00	0.9010	7207.00	25.96	6828.60	252.28
401.00	0.9070	7344.00	26.15	6997.16	257.74
409.00	0.9110	7532.00	26.27	7221.49	249.47
419.00	0.8970	7772.00	25.85	7501.14	210.32
429.00	0.8990	8009.00	25.92	7778.91	108.81
436.00	0.8930	8169.50	25.74	8186.84	118.20
445.00	0.9060	8366.00	26.11	8309.53	164.63
450.00	0.8940	8470.50	25.77	8377.35	180.13
457.00	0.8940	8611.00	25.75	8472.09	194.06
466.00	0.8870	8782.50	25.54	8593.63	201.36
476.00	0.8850	8961.00	25.49	8728.34	196.90
487.00	0.8900	9144.00	25.63	8876.09	175.64
497.00	0.8800	9299.00	25.33	9009.74	135.49
505.00	0.8860	9416.00	25.51	9157.00	111.78
509.00	0.8780	9472.00	25.27	9226.35	117.47
515.00	0.8710	9553.00	25.05	9284.23	142.04
519.00	0.8760	9606.00	25.20	9322.54	155.23
525.00	0.8740	9683.00	25.15	9379.81	171.43
529.00	0.8710	9733.00	25.07	9417.91	180.29
535.00	0.8620	9807.00	24.78	9474.96	191.16
539.00	0.8750	9855.00	25.19	9512.94	197.00
545.00	0.8770	9927.00	25.25	9569.86	203.85
547.00	0.8680	9950.00	24.97	9588.81	205.66
551.00	0.8690	9997.00	25.00	9626.70	208.61
555.00	0.8770	10045.00	25.26	9664.57	210.69
559.00	0.8790	10092.00	25.31	9702.40	211.92
565.00	0.8820	10164.00	25.39	9759.11	212.20
569.00	0.8720	10211.00	25.08	9796.89	211.34
577.00	0.8710	10309.00	25.05	9872.36	207.05
581.00	0.8680	10359.00	24.98	9910.05	203.56
587.00	0.8610	10436.00	24.76	9966.53	196.52
591.00	0.8570	10488.00	24.64	10004.15	190.51
595.00	0.8580	10542.00	24.67	10041.73	183.33
599.00	0.8670	10597.00	24.94	10079.26	174.83
605.00	0.8630	10682.00	24.81	10135.46	159.13
607.00	0.8600	10712.00	24.74	10154.15	152.95
611.00	0.8600	10772.00	24.72	10191.47	138.81
617.00	0.8550	10865.00	24.58	10247.10	111.39
