#
# Vostok, Antarctica
# 50	Vostok, Antarctica	Ice Core dD	±30% uncertainty	-78.5	108	3500	40	Annual*	Petit et al., 1999 (47)
#
Depth	Proxy	Age_Pub	Temp_Pub	Age_Marine09	Age_error
0	-438.0	0	-55.00	0	0.0
100	-438.0	17	-55.00	17	0.3
200	-438.0	35	-55.00	35	0.7
300	-438.0	53	-55.00	53	1.1
400	-438.0	72	-55.00	72	1.4
500	-438.0	91	-55.00	91	1.8
600	-438.0	110	-55.00	110	2.2
700	-438.0	129	-55.00	129	2.6
800	-442.9	149	-55.81	149	3.0
900	-437.9	170	-54.98	170	3.4
1000	-435.8	190	-54.64	190	3.8
1100	-443.7	211	-55.95	211	4.2
1200	-449.1	234	-56.84	234	4.7
1300	-444.6	258	-56.09	258	5.2
1400	-442.5	281	-55.75	281	5.6
1500	-439.3	304	-55.22	304	6.1
1600	-440.9	327	-55.48	327	6.5
1700	-442.5	351	-55.75	351	7.0
1800	-436.6	375	-54.77	375	7.5
1900	-430.0	397	-53.67	397	7.9
2000	-435.9	420	-54.65	420	8.4
2100	-436.9	444	-54.82	444	8.9
2200	-438.5	469	-55.08	469	9.4
2300	-444.5	495	-56.08	495	9.9
2400	-446.4	523	-56.39	523	10.5
2500	-447.7	552	-56.61	552	11.0
2600	-443.4	581	-55.90	581	11.6
2700	-441.6	609	-55.60	609	12.2
2800	-438.1	637	-55.02	637	12.7
2900	-439.1	665	-55.18	665	13.3
3000	-445.4	695	-56.23	695	13.9
3100	-447.3	726	-56.54	726	14.5
3200	-443.1	757	-55.85	757	15.1
3300	-438.6	788	-55.10	788	15.8
3400	-439.0	817	-55.17	817	16.3
3500	-442.7	848	-55.78	848	17.0
3600	-442.7	881	-55.78	881	17.6
3700	-439.0	912	-55.17	912	18.2
3800	-439.5	944	-55.25	944	18.9
3900	-439.7	976	-55.28	976	19.5
4000	-442.9	1009	-55.81	1009	20.2
4100	-438.3	1042	-55.05	1042	20.8
4200	-436.4	1074	-54.73	1074	21.5
4300	-443.0	1107	-55.83	1107	22.1
4400	-441.9	1142	-55.65	1142	22.8
4500	-439.6	1176	-55.27	1176	23.5
4600	-441.9	1211	-55.65	1211	24.2
4700	-446.9	1247	-56.48	1247	24.9
4800	-447.9	1285	-56.64	1285	25.7
4900	-440.4	1321	-55.40	1321	26.4
5000	-436.0	1356	-54.67	1356	27.1
5100	-438.3	1390	-55.05	1390	27.8
5200	-438.8	1426	-55.13	1426	28.5
5300	-438.2	1461	-55.03	1461	29.2
5400	-440.8	1497	-55.46	1497	29.9
5500	-444.0	1535	-56.00	1535	30.7
5600	-443.8	1573	-55.96	1573	31.5
5700	-446.0	1612	-56.33	1612	32.2
5800	-447.1	1652	-56.51	1652	33.0
5900	-443.3	1692	-55.88	1692	33.8
6000	-444.4	1732	-56.06	1732	34.6
6100	-445.3	1772	-56.21	1772	35.4
6200	-445.5	1812	-56.24	1812	36.2
6300	-443.8	1853	-55.96	1853	37.1
6400	-441.2	1893	-55.53	1893	37.9
6500	-437.1	1931	-54.85	1931	38.6
6600	-439.7	1970	-55.28	1970	39.4
6700	-440.7	2009	-55.45	2009	40.2
6800	-440.3	2049	-55.38	2049	41.0
6900	-441.2	2089	-55.53	2089	41.8
7000	-441.7	2129	-55.61	2129	42.6
7100	-443.7	2171	-55.95	2171	43.4
7200	-442.4	2212	-55.73	2212	44.2
7300	-437.3	2253	-54.88	2253	45.1
7400	-431.0	2291	-53.84	2291	45.8
7500	-443.9	2331	-55.98	2331	46.6
7600	-446.7	2374	-56.44	2374	47.5
7700	-442.4	2418	-55.73	2418	48.4
7800	-441.8	2460	-55.63	2460	49.2
7900	-436.2	2501	-54.70	2501	50.0
8000	-439.6	2542	-55.27	2542	50.8
8100	-446.2	2585	-56.36	2585	51.7
8200	-439.0	2628	-55.17	2628	52.6
8300	-438.1	2670	-55.02	2670	53.4
8400	-445.2	2713	-56.19	2713	54.3
8500	-449.9	2760	-56.97	2760	55.2
8600	-441.7	2805	-55.61	2805	56.1
8700	-434.5	2847	-54.42	2847	56.9
8800	-440.3	2889	-55.38	2889	57.8
8900	-446.1	2934	-56.34	2934	58.7
9000	-446.5	2980	-56.41	2980	59.6
9100	-442.4	3026	-55.73	3026	60.5
9200	-439.5	3070	-55.25	3070	61.4
9300	-441.2	3114	-55.53	3114	62.3
9400	-438.5	3158	-55.08	3158	63.2
9500	-437.1	3201	-54.85	3201	64.0
9600	-440.6	3245	-55.43	3245	64.9
9700	-441.7	3289	-55.61	3289	65.8
9800	-439.8	3334	-55.30	3334	66.7
9900	-438.8	3379	-55.13	3379	67.6
10000	-436.7	3422	-54.78	3422	68.4
10100	-437.0	3466	-54.83	3466	69.3
10200	-443.5	3511	-55.91	3511	70.2
10300	-443.4	3558	-55.90	3558	71.2
10400	-436.2	3603	-54.70	3603	72.1
10500	-434.1	3646	-54.35	3646	72.9
10600	-434.5	3689	-54.42	3689	73.8
10700	-437.8	3732	-54.97	3732	74.6
10800	-441.8	3778	-55.63	3778	75.6
10900	-440.8	3824	-55.46	3824	76.5
11000	-438.0	3870	-55.00	3870	77.4
11100	-439.4	3915	-55.23	3915	78.3
11200	-442.0	3962	-55.66	3962	79.2
11300	-442.4	4009	-55.73	4009	80.2
11400	-442.5	4057	-55.75	4057	81.1
11500	-443.5	4104	-55.91	4104	82.1
11600	-444.6	4153	-56.09	4153	83.1
11700	-444.0	4202	-56.00	4202	84.0
11800	-441.2	4250	-55.53	4250	85.0
11900	-434.7	4295	-54.45	4295	85.9
12000	-431.2	4339	-53.87	4339	86.8
12100	-431.2	4381	-53.87	4381	87.6
12200	-431.2	4423	-53.87	4423	88.5
12300	-431.2	4466	-53.87	4466	89.3
12400	-431.2	4509	-53.87	4509	90.2
12500	-432.7	4552	-54.12	4552	91.0
12600	-436.8	4596	-54.80	4596	91.9
12700	-440.0	4642	-55.33	4642	92.8
12800	-443.3	4690	-55.88	4690	93.8
12900	-441.5	4739	-55.58	4739	94.8
13000	-436.5	4786	-54.75	4786	95.7
13100	-438.0	4831	-55.00	4831	96.6
13200	-444.9	4880	-56.14	4880	97.6
13300	-442.0	4929	-55.66	4929	98.6
13400	-440.2	4977	-55.36	4977	99.5
13500	-442.0	5025	-55.66	5025	100.5
13600	-437.2	5072	-54.87	5072	101.4
13700	-436.9	5118	-54.82	5118	102.4
13800	-440.3	5165	-55.38	5165	103.3
13900	-439.3	5212	-55.22	5212	104.2
14000	-436.3	5259	-54.72	5259	105.2
14100	-437.4	5305	-54.90	5305	106.1
14200	-437.5	5351	-54.92	5351	107.0
14300	-435.0	5397	-54.50	5397	107.9
14400	-435.0	5442	-54.50	5442	108.8
14500	-436.8	5488	-54.80	5488	109.8
14600	-437.9	5534	-54.98	5534	110.7
14700	-437.5	5581	-54.92	5581	111.6
14800	-437.8	5627	-54.97	5627	112.5
14900	-438.4	5674	-55.06	5674	113.5
15000	-438.9	5721	-55.15	5721	114.4
15100	-439.5	5769	-55.25	5769	115.4
15200	-439.3	5816	-55.22	5816	116.3
15300	-437.1	5863	-54.85	5863	117.3
15400	-435.3	5909	-54.55	5909	118.2
15500	-438.8	5955	-55.13	5955	119.1
15600	-442.4	6004	-55.73	6004	120.1
15700	-439.3	6052	-55.21	6052	121.0
15800	-436.1	6099	-54.68	6099	122.0
15900	-439.0	6145	-55.17	6145	122.9
16000	-440.2	6193	-55.33	6193	123.9
16100	-437.6	6241	-54.91	6241	124.8
16200	-436.4	6287	-54.72	6287	125.7
16300	-441.3	6334	-55.55	6334	126.7
16400	-447.5	6385	-56.59	6385	127.7
16500	-444.4	6436	-56.09	6436	128.7
16600	-439.6	6486	-55.31	6486	129.7
16700	-441.4	6534	-55.62	6534	130.7
16800	-441.5	6583	-55.65	6583	131.7
16900	-435.3	6631	-54.63	6631	132.6
17000	-435.2	6677	-54.63	6677	133.5
17100	-439.5	6724	-55.36	6724	134.5
17200	-442.3	6773	-55.84	6773	135.5
17300	-444.9	6823	-56.28	6823	136.5
17400	-444.0	6874	-56.14	6874	137.5
17500	-440.5	6924	-55.58	6924	138.5
17600	-440.5	6973	-55.59	6973	139.5
17700	-443.2	7023	-56.05	7023	140.5
17800	-444.0	7074	-56.20	7074	141.5
17900	-440.5	7124	-55.63	7124	142.5
18000	-436.5	7172	-54.98	7172	143.4
18100	-436.8	7220	-55.04	7220	144.4
18200	-437.1	7267	-55.11	7267	145.3
18300	-438.1	7315	-55.29	7315	146.3
18400	-441.2	7364	-55.81	7364	147.3
18500	-439.7	7413	-55.58	7413	148.3
18600	-436.0	7462	-54.98	7462	149.2
18700	-436.2	7509	-55.03	7509	150.2
18800	-433.1	7555	-54.52	7555	151.1
18900	-436.0	7602	-55.02	7602	152.0
19000	-435.7	7649	-54.98	7649	153.0
19100	-436.0	7697	-55.04	7697	153.9
19200	-440.0	7745	-55.72	7745	154.9
19300	-439.0	7794	-55.57	7794	155.9
19400	-440.9	7844	-55.90	7844	156.9
19500	-441.0	7894	-55.93	7894	157.9
19600	-439.5	7944	-55.69	7944	158.9
19700	-438.5	7994	-55.54	7994	159.9
19800	-439.0	8043	-55.64	8043	160.9
19900	-433.3	8091	-54.70	8091	161.8
20000	-422.6	8135	-52.94	8135	162.7
20100	-431.4	8178	-54.41	8178	163.6
20200	-440.1	8226	-55.87	8226	164.5
20300	-439.5	8276	-55.78	8276	165.5
