#
# OCE326-GGC30
# 54	OCE326-GGC30	UK’37	Muller et al., 1998 (3)	44	-63	-250	80	Annual	Sachs 2007 (50)
#
Depth	Proxy	Age_Pub	Temp_Pub	Age_Marine09	Age_error
14.50	0.3320	0.00	8.62	190.53	60.66
16.50	0.3249	130.00	8.41	258.27	70.55
24.50	0.3355	380.00	8.72	448.03	110.22
26.50	0.3382	440.00	8.80	493.97	98.56
28.50	0.3406	510.00	8.87	539.54	73.06
30.50	0.3402	590.00	8.86	615.62	99.20
32.50	0.3410	700.00	8.88	722.26	151.13
34.50	0.3469	800.00	9.05	828.58	180.19
36.50	0.3511	910.00	9.18	934.75	197.32
38.50	0.3539	1020.00	9.26	1040.81	205.65
40.50	0.3615	1120.00	9.48	1146.77	206.30
42.50	0.3664	1230.00	9.63	1252.63	199.42
44.50	0.3709	1330.00	9.76	1358.38	184.21
46.50	0.3482	1440.00	9.09	1463.99	158.42
48.50	0.3682	1550.00	9.68	1569.26	115.43
50.50	0.3648	1640.00	9.58	1660.99	110.59
52.50	0.3633	1710.00	9.54	1739.18	152.77
54.50	0.3705	1790.00	9.75	1817.09	184.93
56.50	0.3719	1870.00	9.79	1894.90	211.57
58.50	0.3768	1950.00	9.94	1972.64	234.54
60.50	0.3838	2020.00	10.14	2050.34	254.83
62.50	0.3922	2100.00	10.39	2128.00	273.02
64.50	0.3846	2180.00	10.16	2205.64	289.50
66.50	0.3933	2250.00	10.42	2283.25	304.55
68.50	0.3970	2330.00	10.53	2360.85	318.37
70.50	0.3941	2410.00	10.44	2438.43	331.11
72.50	0.3958	2480.00	10.49	2515.99	342.88
74.50	0.3996	2560.00	10.60	2593.55	353.79
76.50	0.3985	2640.00	10.57	2671.09	363.91
78.50	0.4150	2710.00	11.06	2748.62	373.31
80.50	0.4061	2790.00	10.80	2826.14	382.03
82.50	0.4035	2870.00	10.72	2903.65	390.12
84.50	0.4035	2950.00	10.72	2981.16	397.62
86.50	0.4020	3020.00	10.68	3058.65	404.56
88.50	0.4117	3100.00	10.96	3136.14	410.97
90.50	0.3972	3180.00	10.53	3213.62	416.87
92.50	0.4076	3250.00	10.84	3291.09	422.29
94.50	0.4120	3330.00	10.97	3368.56	427.24
96.50	0.4220	3410.00	11.26	3446.02	431.73
98.50	0.4062	3480.00	10.80	3523.47	435.79
100.50	0.4096	3560.00	10.90	3600.92	439.43
102.50	0.4144	3640.00	11.04	3678.36	442.65
104.50	0.4121	3710.00	10.97	3755.80	445.46
106.50	0.4263	3790.00	11.39	3833.23	447.87
108.50	0.4232	3870.00	11.30	3910.66	449.89
110.50	0.4304	3950.00	11.51	3988.08	451.51
112.50	0.4323	4020.00	11.57	4065.49	452.76
114.50	0.4301	4100.00	11.50	4142.90	453.62
116.50	0.4297	4180.00	11.49	4220.31	454.11
118.50	0.4007	4250.00	10.64	4297.70	454.21
120.50	0.4057	4330.00	10.79	4375.10	453.94
122.50	0.4262	4410.00	11.39	4452.48	453.29
124.50	0.4523	4480.00	12.16	4529.87	452.26
126.50	0.4370	4560.00	11.71	4607.24	450.84
128.50	0.4430	4640.00	11.88	4684.62	449.04
130.50	0.4355	4710.00	11.66	4761.98	446.84
134.50	0.4312	4870.00	11.54	4916.70	441.25
136.50	0.4448	4950.00	11.93	4994.05	437.84
138.50	0.4496	5020.00	12.08	5071.39	434.00
140.50	0.4473	5100.00	12.01	5148.73	429.73
142.50	0.4566	5180.00	12.28	5226.06	425.01
144.50	0.4437	5250.00	11.90	5303.38	419.83
146.50	0.4209	5330.00	11.23	5380.70	414.16
148.50	0.4582	5410.00	12.33	5458.01	407.99
150.50	0.4599	5480.00	12.38	5535.31	401.30
152.50	0.4797	5560.00	12.96	5612.60	394.05
154.50	0.4894	5640.00	13.25	5689.89	386.22
156.50	0.4868	5710.00	13.17	5767.17	377.77
158.50	0.4946	5790.00	13.40	5844.44	368.66
160.50	0.4731	5870.00	12.77	5921.70	358.83
162.50	0.4688	5940.00	12.64	5998.94	348.23
164.50	0.5086	6020.00	13.81	6076.18	336.78
166.50	0.5059	6100.00	13.73	6153.40	324.38
168.50	0.4992	6180.00	13.53	6230.61	310.94
170.50	0.4384	6250.00	11.75	6307.80	296.30
172.50	0.4977	6330.00	13.49	6384.96	280.27
174.50	0.4713	6410.00	12.72	6462.11	262.60
176.50	0.4993	6480.00	13.54	6539.22	242.92
178.50	0.5016	6560.00	13.60	6616.30	220.70
180.50	0.5045	6640.00	13.69	6693.32	195.05
182.50	0.5008	6710.00	13.58	6770.27	164.34
184.50	0.5179	6790.00	14.09	6847.05	124.73
186.50	0.5222	6870.00	14.21	6923.38	82.55
188.50	0.5408	6940.00	14.76	6999.17	121.79
190.50	0.5310	7010.00	14.47	7074.49	158.81
192.50	0.5213	7080.00	14.19	7149.65	186.70
194.50	0.5385	7150.00	14.69	7224.73	209.22
196.50	0.5321	7220.00	14.50	7299.74	227.99
198.50	0.5365	7290.00	14.63	7374.71	243.88
200.50	0.4817	7360.00	13.02	7449.65	257.42
202.50	0.5498	7430.00	15.02	7524.55	268.98
204.50	0.5544	7500.00	15.16	7599.44	278.80
206.50	0.5482	7570.00	14.98	7674.29	287.05
208.50	0.5404	7640.00	14.75	7749.13	293.88
210.50	0.5279	7710.00	14.38	7823.95	299.37
212.50	0.5375	7780.00	14.66	7898.75	303.60
214.50	0.5425	7850.00	14.81	7973.53	306.62
216.50	0.5395	7920.00	14.72	8048.29	308.47
218.50	0.5319	7990.00	14.50	8123.04	309.16
220.50	0.5220	8060.00	14.21	8197.77	308.70
222.50	0.5422	8130.00	14.80	8272.49	307.09
224.50	0.5546	8200.00	15.17	8347.19	304.30
