#
# CH07-98-GGC19
# 55	CH07-98-GGC19	UK’37	Muller et al., 1998 (3)	36.9	-74.6	-1049	60	Annual	Sachs 2007 (50)
#
Depth	Proxy	Age_Pub	Temp_Pub	Age_Marine09	Age_error
0.50	0.5337	520.00	14.55	282.57	34.39
2.50	0.5316	590.00	14.49	623.80	112.20
4.50	0.5298	670.00	14.43	700.54	155.15
6.50	0.5297	740.00	14.43	776.72	187.83
8.50	0.5297	820.00	14.43	852.62	215.07
10.50	0.5461	890.00	14.92	928.34	238.77
12.50	0.5436	960.00	14.84	1003.92	259.90
14.50	0.5469	1040.00	14.94	1079.40	279.05
16.50	0.5361	1110.00	14.62	1154.81	296.60
18.50	0.5329	1180.00	14.53	1230.14	312.83
20.50	0.5628	1260.00	15.41	1305.42	327.92
22.50	0.5561	1330.00	15.21	1380.65	342.04
24.50	0.5522	1400.00	15.09	1455.83	355.29
26.50	0.5605	1480.00	15.34	1530.98	367.77
28.50	0.5541	1550.00	15.15	1606.09	379.57
30.50	0.5568	1620.00	15.23	1681.17	390.72
32.50	0.5459	1700.00	14.91	1756.22	401.31
34.50	0.5394	1770.00	14.72	1831.24	411.36
36.50	0.5443	1840.00	14.86	1906.24	420.91
38.50	0.5479	1920.00	14.97	1981.22	430.00
40.50	0.5633	1990.00	15.42	2056.17	438.66
42.50	0.5761	2070.00	15.80	2131.10	446.91
44.50	0.5639	2140.00	15.44	2206.02	454.77
46.50	0.5818	2210.00	15.96	2280.91	462.27
48.50	0.5868	2290.00	16.11	2355.79	469.42
50.50	0.5825	2360.00	15.98	2430.65	476.23
52.50	0.5898	2430.00	16.20	2505.50	482.73
54.50	0.5842	2510.00	16.04	2580.33	488.92
56.50	0.5844	2580.00	16.04	2655.14	494.81
58.50	0.5817	2650.00	15.96	2729.94	500.42
60.50	0.5864	2730.00	16.10	2804.73	505.76
62.50	0.5881	2800.00	16.15	2879.50	510.83
64.50	0.5821	2870.00	15.97	2954.27	515.64
66.50	0.6068	2950.00	16.70	3029.01	520.20
68.50	0.6003	3020.00	16.51	3103.75	524.51
70.50	0.5830	3100.00	16.00	3178.47	528.59
72.50	0.5855	3170.00	16.07	3253.19	532.43
74.50	0.5838	3240.00	16.02	3327.89	536.05
76.50	0.5845	3320.00	16.04	3402.58	539.44
78.50	0.5950	3390.00	16.35	3477.26	542.61
80.50	0.5987	3460.00	16.46	3551.92	545.56
82.50	0.5922	3540.00	16.27	3626.58	548.31
84.50	0.5969	3610.00	16.41	3701.23	550.84
86.50	0.5968	3680.00	16.41	3775.86	553.17
88.50	0.5974	3760.00	16.42	3850.49	555.29
90.50	0.5994	3830.00	16.48	3925.11	557.21
92.50	0.6014	3900.00	16.54	3999.71	558.93
94.50	0.6011	3980.00	16.53	4074.31	560.46
96.50	0.6042	4050.00	16.62	4148.89	561.79
98.50	0.6292	4120.00	17.36	4223.47	562.92
100.50	0.6136	4200.00	16.90	4298.04	563.86
102.50	0.6306	4270.00	17.40	4372.59	564.61
104.50	0.6166	4350.00	16.99	4447.14	565.17
106.50	0.6218	4420.00	17.14	4521.68	565.54
108.50	0.6126	4490.00	16.87	4596.21	565.71
110.50	0.6073	4570.00	16.72	4670.73	565.70
112.50	0.6057	4640.00	16.67	4745.24	565.49
114.50	0.6174	4710.00	17.01	4819.74	565.09
116.50	0.6177	4790.00	17.02	4894.23	564.50
118.50	0.6213	4860.00	17.13	4968.71	563.72
120.50	0.6132	4930.00	16.89	5043.18	562.75
122.50	0.6295	5010.00	17.37	5117.64	561.58
124.50	0.6343	5080.00	17.51	5192.09	560.22
126.50	0.6174	5150.00	17.01	5266.53	558.66
128.50	0.6534	5230.00	18.07	5340.96	556.90
130.50	0.6273	5300.00	17.31	5415.38	554.95
132.50	0.6375	5380.00	17.61	5489.79	552.79
134.50	0.6180	5450.00	17.03	5564.19	550.42
136.50	0.6568	5520.00	18.17	5638.58	547.85
138.50	0.6330	5600.00	17.47	5712.96	545.07
140.50	0.6558	5670.00	18.15	5787.33	542.07
142.50	0.6373	5740.00	17.60	5861.69	538.86
144.50	0.6570	5820.00	18.18	5936.04	535.43
146.50	0.6431	5890.00	17.77	6010.37	531.77
148.50	0.6599	5960.00	18.27	6084.70	527.88
150.50	0.6502	6040.00	17.98	6159.01	523.76
152.50	0.6597	6110.00	18.26	6233.31	519.39
154.50	0.6512	6180.00	18.01	6307.59	514.78
156.50	0.6473	6260.00	17.89	6381.87	509.91
158.50	0.6502	6330.00	17.98	6456.13	504.78
160.50	0.6546	6400.00	18.10	6530.38	499.38
162.50	0.6552	6480.00	18.13	6604.61	493.71
164.50	0.6499	6550.00	17.97	6678.83	487.74
166.50	0.6560	6630.00	18.15	6753.03	481.48
168.50	0.6599	6700.00	18.26	6827.22	474.91
170.50	0.6557	6770.00	18.14	6901.39	468.01
172.50	0.6493	6850.00	17.95	6975.54	460.77
174.50	0.6463	6920.00	17.86	7049.68	453.18
176.50	0.6441	6990.00	17.80	7123.80	445.22
178.50	0.6472	7070.00	17.89	7197.89	436.86
180.50	0.6520	7140.00	18.03	7271.97	428.08
182.50	0.6520	7210.00	18.03	7346.02	418.86
184.50	0.6470	7290.00	17.88	7420.05	409.16
186.50	0.6462	7360.00	17.86	7494.05	398.96
188.50	0.6470	7430.00	17.88	7568.02	388.21
190.50	0.6359	7510.00	17.56	7641.96	376.86
192.50	0.6364	7580.00	17.57	7715.87	364.86
194.50	0.6449	7660.00	17.82	7789.74	352.14
196.50	0.6505	7740.00	17.99	7863.57	338.61
198.50	0.6416	7830.00	17.72	7937.35	324.18
200.50	0.6433	7910.00	17.77	8011.07	308.72
202.50	0.6511	7990.00	18.00	8084.73	292.07
204.50	0.6465	8070.00	17.87	8158.32	273.99
206.50	0.6464	8160.00	17.86	8231.80	254.19
208.50	0.6557	8240.00	18.14	8305.17	232.22
210.50	0.6189	8320.00	17.06	8378.37	207.36
212.50	0.6651	8400.00	18.41	8451.32	178.39
214.50	0.6622	8480.00	18.33	8523.81	142.71
216.50	0.6646	8570.00	18.40	8594.27	91.40
218.50	0.6686	8620.00	18.52	8654.14	108.02
220.50	0.6537	8680.00	18.08	8708.63	139.20
222.50	0.6604	8730.00	18.28	8762.52	163.23
224.50	0.6654	8780.00	18.42	8816.12	183.07
226.50	0.6555	8830.00	18.13	8869.54	200.02
228.50	0.6552	8880.00	18.12	8922.83	214.77
230.50	0.6543	8930.00	18.10	8976.03	227.76
232.50	0.6562	8980.00	18.15	9029.13	239.28
234.50	0.6584	9030.00	18.22	9082.17	249.54
236.50	0.6516	9080.00	18.02	9135.15	258.69
238.50	0.6566	9130.00	18.17	9188.08	266.85
240.50	0.6396	9180.00	17.66	9240.96	274.10
242.50	0.6398	9230.00	17.67	9293.79	280.52
244.50	0.6356	9280.00	17.55	9346.58	286.17
246.50	0.6369	9330.00	17.58	9399.34	291.09
248.50	0.6495	9380.00	17.96	9452.05	295.31
249.50	0.6509	9410.00	18.00	9478.40	297.17
251.50	0.6425	9460.00	17.75	9531.07	300.42
253.50	0.6506	9510.00	17.99	9583.70	303.03
255.50	0.6494	9560.00	17.95	9636.30	305.03
257.50	0.6466	9610.00	17.87	9688.87	306.43
258.50	0.6482	9640.00	17.92	9715.15	306.91
260.50	0.6568	9690.00	18.17	9767.67	307.43
262.50	0.6527	9740.00	18.05	9820.16	307.37
264.50	0.6536	9790.00	18.08	9872.63	306.72
266.50	0.6559	9840.00	18.14	9925.06	305.48
268.50	0.6652	9890.00	18.42	9977.46	303.65
270.50	0.6620	9940.00	18.32	10029.83	301.22
272.50	0.6572	9990.00	18.18	10082.17	298.16
274.50	0.6510	10040.00	18.00	10134.47	294.47
276.50	0.6441	10090.00	17.80	10186.74	290.11
278.50	0.6566	10140.00	18.16	10238.97	285.06
280.50	0.6451	10190.00	17.83	10291.16	279.28
282.50	0.6506	10250.00	17.99	10343.31	272.73
284.50	0.6643	10300.00	18.39	10395.41	265.34
286.50	0.6523	10350.00	18.04	10447.46	257.05
288.50	0.6368	10400.00	17.58	10499.45	247.76
290.50	0.6585	10450.00	18.22	10551.38	237.37
292.50	0.6700	10500.00	18.56	10603.24	225.71
294.50	0.6618	10550.00	18.32	10655.00	212.58
296.50	0.6639	10600.00	18.38	10706.65	197.69
298.50	0.6683	10650.00	18.51	10758.15	180.60
300.50	0.6675	10700.00	18.48	10809.43	160.62
302.50	0.6507	10750.00	17.99	10860.32	136.47
304.50	0.6392	10800.00	17.65	10909.51	105.34
306.50	0.6442	10830.00	17.80	10938.76	105.41
308.50	0.6312	10840.00	17.42	10960.42	116.32
310.50	0.6302	10860.00	17.39	10981.69	125.78
312.50	0.6347	10880.00	17.52	11002.77	134.07
314.50	0.6340	10900.00	17.50	11023.74	141.37
316.50	0.6348	10910.00	17.52	11044.61	147.84
318.50	0.6403	10930.00	17.69	11065.41	153.58
320.50	0.6299	10950.00	17.38	11086.16	158.65
322.50	0.6690	10960.00	18.53	11106.86	163.14
324.50	0.6970	10980.00	19.35	11127.51	167.07
326.50	0.6800	11000.00	18.85	11148.12	170.49
328.50	0.6591	11010.00	18.24	11168.70	173.43
330.50	0.6525	11030.00	18.04	11189.24	175.91
332.50	0.6608	11050.00	18.29	11209.75	177.94
334.50	0.6578	11070.00	18.20	11230.22	179.56
336.50	0.6149	11080.00	16.94	11250.66	180.75
338.50	0.6301	11100.00	17.38	11271.08	181.54
340.50	0.6507	11120.00	17.99	11291.46	181.93
342.50	0.6658	11130.00	18.43	11311.81	181.92
344.50	0.6462	11150.00	17.86	11332.12	181.51
346.50	0.7134	11170.00	19.84	11352.41	180.69
348.50	0.7309	11180.00	20.35	11372.65	179.47
350.50	0.6999	11200.00	19.44	11392.86	177.82
352.50	0.6876	11220.00	19.08	11413.03	175.75
354.50	0.6705	11230.00	18.57	11433.15	173.23
356.50	0.6665	11250.00	18.46	11453.21	170.24
358.50	0.6776	11270.00	18.78	11473.22	166.75
360.50	0.6881	11290.00	19.09	11493.14	162.74
362.50	0.6899	11300.00	19.15	11512.97	158.16
364.50	0.6944	11320.00	19.28	11532.64	152.96
366.50	0.7199	11340.00	20.03	11552.06	147.05
368.50	0.7063	11350.00	19.63	11570.40	140.31
370.50	0.7066	11400.00	19.63	11592.02	151.60
372.50	0.7308	11470.00	20.35	11611.66	164.57
376.50	0.7267	11590.00	20.23	11651.53	188.75
378.50	0.7099	11650.00	19.73	11671.59	200.04
380.50	0.7307	11710.00	20.34	11691.69	210.88
384.50	0.6736	11840.00	18.66	11732.00	231.44
385.50	0.7021	11870.00	19.50	11742.09	236.38
386.50	0.6565	11900.00	18.16	11752.19	241.25
