#
# GeoB 6518-1
# 57	GeoB 6518-1	UK’37	Muller et al., 1998 (3)	-5.6	11.2	-962	180	Annual*	Schefu? et al., 2005 (52)
#
Depth	Proxy	Age_Pub	Temp_Pub	Age_Marine09	Age_error
3.00	0.8800	30.00	25.20	-1.97	10.97
8.00	0.8700	90.00	25.10	-0.18	9.49
28.00	0.9000	331.00	25.80	281.83	160.84
33.00	0.8700	392.00	24.90	357.60	166.64
48.00	0.8700	572.00	25.00	581.94	140.57
73.00	0.8500	1759.00	24.60	1806.11	337.58
83.00	0.8600	2470.00	24.60	2514.86	368.09
93.00	0.8400	3181.00	24.10	3219.67	339.05
98.00	0.8500	3536.00	24.50	3570.30	298.18
108.00	0.8500	4247.00	24.60	4258.13	74.44
113.00	0.8400	4454.00	24.00	4476.47	180.39
123.00	0.8500	4868.00	24.50	4897.17	261.82
128.00	0.8700	5075.00	24.90	5105.80	278.17
133.00	0.8600	5282.00	24.60	5313.65	282.98
138.00	0.8500	5489.00	24.50	5520.77	276.88
143.00	0.8500	5696.00	24.50	5727.11	259.11
148.00	0.8500	5903.00	24.60	5932.48	226.95
153.00	0.8600	6110.00	24.70	6136.35	172.66
158.00	0.8500	6317.00	24.50	6332.98	48.57
163.00	0.8400	6398.00	24.10	6417.88	110.75
168.00	0.8600	6479.00	24.60	6498.26	142.23
178.00	0.8500	6640.00	24.40	6656.54	172.26
183.00	0.8400	6721.00	24.30	6734.90	176.39
188.00	0.8500	6802.00	24.30	6812.79	174.23
193.00	0.8500	6883.00	24.40	6890.21	165.50
198.00	0.8500	6963.00	24.30	6967.02	149.03
203.00	0.8400	7044.00	24.10	7042.89	121.70
208.00	0.8400	7125.00	24.30	7114.24	71.95
213.00	0.8300	7267.00	23.90	7269.07	154.53
218.00	0.8400	7410.00	24.20	7417.79	195.42
228.00	0.8300	7695.00	23.90	7711.80	231.27
233.00	0.8400	7837.00	24.10	7857.69	233.38
238.00	0.8400	7980.00	24.10	8002.91	225.82
243.00	0.8100	8122.00	23.30	8147.40	207.53
248.00	0.8500	8264.00	24.50	8290.88	175.19
253.00	0.8400	8407.00	24.20	8432.41	117.69
258.00	0.8300	8507.00	23.80	8543.92	96.09
263.00	0.8300	8564.00	23.90	8627.67	136.47
268.00	0.8300	8621.00	23.70	8709.96	160.73
273.00	0.8300	8678.00	23.90	8791.52	175.63
278.00	0.8400	8735.00	24.20	8872.55	183.43
283.00	0.8200	8793.00	23.40	8953.11	185.00
288.00	0.8300	8850.00	23.90	9033.19	180.48
293.00	0.8300	8907.00	23.80	9112.74	169.35
298.00	0.8400	8964.00	24.30	9191.56	150.06
303.00	0.8400	9021.00	24.00	9268.93	118.46
308.00	0.8500	9083.00	24.40	9336.98	110.18
313.00	0.8400	9149.00	24.00	9397.35	133.17
318.00	0.8600	9215.00	24.70	9456.63	148.53
323.00	0.8500	9281.00	24.50	9515.35	158.68
328.00	0.8600	9347.00	24.80	9573.67	164.69
333.00	0.8600	9413.00	24.80	9631.63	167.09
338.00	0.8600	9479.00	24.60	9689.24	166.10
343.00	0.8600	9545.00	24.80	9746.44	161.77
348.00	0.8400	9611.00	24.30	9803.09	153.98
353.00	0.8600	9677.00	24.60	9858.64	142.66
358.00	0.8700	9797.00	25.10	9979.19	168.68
363.00	0.8700	9970.00	25.00	10159.98	214.73
373.00	0.8500	10316.00	24.30	10516.25	261.84
378.00	0.8600	10489.00	24.80	10693.07	270.41
383.00	0.8600	10663.00	24.60	10869.21	270.55
388.00	0.8500	10836.00	24.40	11044.66	262.28
393.00	0.8600	11009.00	24.60	11219.32	244.76
398.00	0.8500	11182.00	24.60	11392.92	215.84
403.00	0.8500	11355.00	24.50	11564.41	170.26
408.00	0.8600	11524.00	24.70	11724.20	163.63
413.00	0.8600	11688.00	24.70	11873.10	201.55
418.00	0.8600	11852.00	24.60	12020.06	225.86
423.00	0.8500	12015.00	24.50	12166.03	240.34
428.00	0.8200	12179.00	23.60	12311.29	246.59
433.00	0.7900	12343.00	22.60	12455.92	245.18
438.00	0.7700	12507.00	22.10	12599.92	235.93
443.00	0.7700	12671.00	22.10	12743.19	217.83
448.00	0.7800	12834.00	22.40	12885.49	188.33
453.00	0.7800	12998.00	22.20	13025.85	140.58
458.00	0.7800	13138.00	22.40	13167.70	138.26
463.00	0.7700	13254.00	22.00	13311.72	185.36
468.00	0.7700	13370.00	21.90	13453.94	216.27
473.00	0.7900	13485.00	22.70	13595.25	237.30
478.00	0.7900	13601.00	22.70	13735.90	250.95
483.00	0.7900	13717.00	22.70	13875.96	258.44
488.00	0.8000	13833.00	22.80	14015.44	260.37
493.00	0.8000	13949.00	23.00	14154.25	256.94
498.00	0.8000	14064.00	22.90	14292.15	248.15
503.00	0.7800	14180.00	22.40	14428.25	234.02
508.00	0.7800	14389.00	22.40	14656.17	256.71
513.00	0.7800	14690.00	22.40	14970.77	305.84
