#
# Tsuolbmajavri Lake
# 59	Tsuolbmajavri Lake	Pollen MAT	Seppa et al., 2005 (53)	68.7	22.1	526	70	Summer	Seppa and Birk, 2001; Seppa et al 1999 (54, 55)
#
Depth	Proxy	Age_Pub	Temp_Pub	Age_Marine09	Age_error
1.00	11.4180	-45.48	11.42	66.64	96.76
3.00	11.5618	29.12	11.56	196.06	158.64
5.00	11.3979	128.44	11.40	324.65	192.54
7.00	11.3006	227.42	11.30	452.83	212.33
9.00	11.0514	325.88	11.05	580.70	221.81
11.00	11.1068	423.60	11.11	708.31	222.31
13.00	11.1108	520.41	11.11	835.66	213.89
15.00	11.1304	616.11	11.13	962.70	195.43
17.00	11.1343	710.49	11.13	1089.32	163.55
19.00	11.3673	803.38	11.37	1215.13	106.96
21.00	11.9518	894.57	11.95	1320.03	90.42
23.00	11.1925	983.89	11.19	1404.54	134.90
25.00	11.8817	1071.28	11.88	1488.34	161.17
27.00	11.6459	1156.76	11.65	1571.79	177.40
29.00	12.2264	1240.35	12.23	1654.97	186.18
31.00	11.1616	1322.08	11.16	1737.93	188.53
33.00	12.3543	1401.95	12.35	1820.65	184.63
35.00	12.0046	1479.99	12.00	1903.11	174.03
37.00	12.5695	1556.21	12.57	1985.22	155.25
39.00	12.6971	1630.64	12.70	2066.62	124.33
41.00	11.4845	1703.28	11.48	2126.24	110.02
43.00	12.5439	1774.17	12.54	2165.46	123.96
45.00	11.4007	1843.36	11.40	2204.26	132.84
47.00	11.2122	1910.94	11.21	2242.86	137.80
49.00	12.0469	1976.98	12.05	2281.31	139.31
51.00	12.7416	2041.56	12.74	2319.62	137.52
53.00	12.5765	2104.77	12.58	2357.79	132.32
55.00	11.8010	2166.68	11.80	2395.82	123.29
57.00	12.9347	2227.38	12.93	2433.63	109.53
59.00	12.4054	2286.95	12.41	2471.04	88.87
61.00	11.9733	2345.46	11.97	2495.24	78.04
63.00	11.9859	2403.01	11.99	2507.02	84.46
65.00	12.2569	2459.66	12.26	2518.56	89.26
67.00	12.5550	2515.52	12.56	2529.98	92.65
69.00	11.9291	2570.67	11.93	2541.30	94.73
71.00	12.4861	2625.20	12.49	2552.55	95.56
73.00	11.9481	2679.20	11.95	2563.71	95.14
75.00	12.1270	2732.76	12.13	2574.79	93.39
77.00	11.8778	2785.97	11.88	2585.74	90.15
79.00	12.0119	2838.92	12.01	2596.44	84.98
81.00	11.1248	2891.70	11.12	2635.12	103.93
83.00	12.8034	2944.38	12.80	2700.31	133.23
85.00	11.9703	2997.02	11.97	2764.95	151.35
87.00	12.1975	3049.64	12.20	2829.31	162.23
89.00	12.5701	3102.25	12.57	2893.46	167.31
91.00	13.3510	3154.88	13.35	2957.43	167.16
93.00	12.4895	3207.54	12.49	3021.22	161.77
95.00	12.7552	3260.27	12.76	3084.80	150.59
97.00	12.2188	3313.07	12.22	3148.11	132.16
99.00	12.5795	3365.97	12.58	3210.85	102.59
101.00	12.9239	3419.00	12.92	3281.33	107.04
103.00	12.1631	3472.17	12.16	3359.35	141.59
105.00	12.1318	3525.48	12.13	3436.76	163.16
107.00	11.9824	3578.96	11.98	3513.87	176.62
109.00	13.4426	3632.60	13.44	3590.76	183.81
111.00	11.8649	3686.42	11.86	3667.46	185.47
113.00	11.5890	3740.41	11.59	3743.96	181.76
115.00	11.4892	3794.58	11.49	3820.24	172.38
117.00	12.2585	3848.95	12.26	3896.22	156.34
119.00	11.6686	3903.51	11.67	3971.59	131.36
121.00	11.9885	3958.28	11.99	4041.32	127.35
123.00	12.1276	4013.26	12.13	4105.52	147.76
125.00	12.1773	4068.45	12.18	4169.15	161.25
127.00	12.4387	4123.87	12.44	4232.49	169.37
129.00	11.5894	4179.52	11.59	4295.62	172.83
131.00	12.1714	4235.40	12.17	4358.56	171.90
133.00	11.6661	4291.53	11.67	4421.31	166.49
135.00	12.0234	4347.92	12.02	4483.86	156.17
137.00	12.1012	4404.56	12.10	4546.11	139.87
139.00	12.1432	4461.47	12.14	4607.79	115.25
141.00	12.7489	4518.66	12.75	4665.03	111.38
143.00	12.1477	4576.12	12.15	4718.41	131.82
145.00	12.4457	4633.88	12.45	4771.33	146.25
147.00	11.8681	4691.94	11.87	4824.03	156.21
149.00	11.7855	4750.32	11.79	4876.56	162.50
151.00	12.3414	4809.02	12.34	4928.95	165.53
153.00	13.6501	4868.06	13.65	4981.18	165.51
155.00	12.2603	4927.44	12.26	5033.25	162.46
157.00	11.8936	4987.19	11.89	5085.09	156.28
159.00	12.4981	5047.31	12.50	5136.49	146.85
161.00	11.3824	5107.81	11.38	5189.25	145.47
163.00	11.4099	5168.70	11.41	5242.86	154.18
165.00	12.3574	5230.00	12.36	5295.92	160.36
167.00	11.4537	5291.72	11.45	5348.69	163.86
169.00	11.9015	5353.88	11.90	5401.25	164.67
171.00	11.7799	5416.47	11.78	5453.63	162.75
173.00	12.8840	5479.53	12.88	5505.83	157.92
175.00	12.6794	5543.06	12.68	5557.82	149.82
177.00	12.2208	5607.08	12.22	5609.53	137.82
179.00	11.6198	5671.59	11.62	5660.67	120.61
181.00	12.2291	5736.61	12.23	5708.05	116.92
183.00	12.2707	5802.15	12.27	5751.99	129.77
185.00	12.2418	5868.23	12.24	5795.45	138.51
187.00	12.1766	5934.85	12.18	5838.66	143.74
189.00	12.7978	6002.02	12.80	5881.68	145.77
191.00	12.8246	6069.75	12.82	5924.55	144.70
193.00	12.4658	6138.05	12.47	5967.26	140.44
195.00	13.1812	6206.92	13.18	6009.79	132.63
197.00	12.1248	6276.37	12.12	6052.07	120.55
199.00	12.8786	6346.41	12.88	6093.87	102.61
201.00	12.2982	6417.06	12.30	6164.16	121.23
203.00	12.6547	6488.31	12.65	6261.85	163.00
205.00	12.9422	6560.15	12.94	6358.87	191.33
207.00	12.1301	6632.57	12.13	6455.57	211.65
209.00	12.6102	6705.54	12.61	6552.06	226.12
211.00	13.2447	6779.03	13.24	6648.39	235.79
213.00	13.1173	6853.03	13.12	6744.57	241.23
215.00	13.2570	6927.52	13.26	6840.62	242.73
217.00	13.8905	7002.47	13.89	6936.55	240.35
219.00	12.7816	7077.86	12.78	7032.34	233.96
221.00	13.2036	7153.68	13.20	7127.99	223.21
223.00	13.3358	7229.89	13.34	7223.48	207.39
225.00	14.0210	7306.48	14.02	7318.76	185.20
227.00	12.6491	7383.42	12.65	7413.72	153.84
229.00	12.8553	7460.69	12.86	7507.99	105.16
231.00	12.9006	7538.28	12.90	7625.80	119.04
233.00	13.5579	7616.16	13.56	7766.35	177.43
235.00	13.0371	7694.30	13.04	7906.02	211.80
237.00	12.5236	7772.68	12.52	8045.24	233.12
239.00	12.4957	7851.29	12.50	8184.13	244.83
241.00	13.1996	7930.08	13.20	8322.74	248.28
243.00	12.5874	8009.04	12.59	8461.06	243.80
245.00	12.8628	8088.15	12.86	8599.05	230.88
247.00	12.4533	8167.37	12.45	8736.60	207.83
249.00	11.9892	8246.69	11.99	8873.26	170.19
251.00	12.4140	8365.79	12.41	8955.99	143.42
253.00	12.6267	8405.51	12.63	8987.84	145.89
