#
# MD98-2176
# 62	MD98-2176	Mg/Ca (G.ruber)	Anand et al., 2003 (8)	-5	133.4	-2382	60	Annual*	Stott et al., 2007 (58)
#
Depth	Proxy	Age_Pub	Temp_Pub	Age_Marine09	Age_error
1.00	4.8800	125.74	28.36	11.96	44.33
3.00	4.9700	147.24	28.57	38.52	75.27
5.00	5.2800	168.74	29.24	65.59	95.46
7.00	5.0400	190.23	28.72	92.90	110.94
9.00	5.0300	211.73	28.70	120.37	123.49
11.00	4.9600	233.23	28.54	147.95	133.95
13.00	4.6800	254.73	27.90	175.63	142.79
15.00	4.7700	276.23	28.11	203.39	150.30
17.00	4.8700	297.72	28.34	231.23	156.66
19.00	4.7100	319.22	27.97	259.15	162.03
21.00	4.9300	340.72	28.48	287.14	166.50
23.00	5.2300	362.22	29.13	315.22	170.15
25.00	5.0800	383.71	28.81	343.37	173.04
27.00	4.9000	405.21	28.41	371.62	175.20
31.00	4.8200	448.21	28.23	428.51	177.55
33.00	4.9200	469.71	28.45	457.27	177.80
35.00	5.0200	491.20	28.68	486.55	177.59
36.00	5.4400	501.95	29.57	502.50	177.74
37.00	4.8600	512.70	28.32	511.39	179.76
39.00	5.0500	534.20	28.74	531.73	183.38
43.00	5.1500	577.20	28.96	573.58	189.66
47.00	4.7500	620.19	28.06	615.98	194.86
51.00	4.9400	663.19	28.50	658.67	199.11
55.00	5.1300	706.18	28.92	701.56	202.50
59.00	5.0800	749.18	28.81	744.59	205.09
61.00	4.9900	770.68	28.61	766.16	206.10
63.00	4.9100	792.18	28.43	787.75	206.92
67.00	4.8900	835.17	28.39	831.02	208.04
71.00	5.6200	878.17	29.93	874.40	208.47
75.00	5.2300	921.16	29.13	917.88	208.22
79.00	5.1400	964.16	28.94	961.45	207.31
83.00	4.7800	1007.20	28.13	1005.13	205.74
86.00	5.3800	1039.40	29.45	1037.95	204.14
87.00	5.0300	1050.20	28.70	1048.91	203.53
91.00	5.0100	1093.10	28.66	1092.82	200.68
95.00	5.2500	1136.10	29.18	1136.87	197.19
99.00	5.0000	1179.10	28.63	1181.10	193.08
103.00	5.1000	1222.10	28.85	1225.59	188.43
107.00	5.4000	1265.10	29.49	1270.53	183.42
111.00	4.8400	1308.10	28.27	1317.89	180.22
115.00	4.9900	1351.10	28.61	1357.34	189.17
119.00	5.1100	1394.10	28.88	1398.81	199.13
123.00	4.9500	1437.10	28.52	1440.62	208.44
127.00	4.7500	1480.10	28.06	1482.62	217.01
131.00	4.7000	1523.10	27.95	1524.75	224.89
135.00	5.0100	1566.10	28.66	1566.96	232.11
136.00	5.1200	1576.90	28.90	1577.53	233.82
139.00	5.2600	1609.10	29.20	1609.25	238.71
143.00	5.1100	1652.10	28.88	1651.60	244.73
147.00	5.2400	1695.10	29.16	1694.00	250.20
151.00	4.9300	1738.10	28.48	1736.44	255.15
155.00	5.0300	1781.10	28.70	1778.93	259.61
159.00	4.9500	1824.10	28.52	1821.45	263.59
161.00	5.1700	1845.60	29.01	1842.72	265.41
163.00	5.2500	1867.10	29.18	1864.00	267.12
167.00	5.1800	1910.10	29.03	1906.58	270.21
