#
# GeoB6518-1
# 68	GeoB6518-1	MBT	±0.2 C uncertainty	-5.6	11.2	-962	140	Annual	Weijers et al., 2007 (64)
#
Depth	Proxy	Age_Pub	Temp_Pub	Age_Marine09	Age_error
3.000	24.620	30.00	24.62	-3.12	11.09
8.000	24.390	90.00	24.39	-1.07	9.55
13.000	24.560	150.00	24.56	41.42	77.62
18.000	24.480	210.00	24.48	114.66	119.72
23.000	24.660	270.00	24.66	188.81	143.11
28.000	24.140	330.00	24.14	263.44	156.44
33.000	24.100	390.00	24.10	338.45	162.20
38.000	24.400	450.00	24.40	413.80	161.22
43.000	24.020	510.00	24.02	489.50	153.37
48.000	24.460	570.00	24.46	565.63	137.50
53.000	24.150	630.00	24.15	642.42	110.24
58.000	24.970	690.00	24.97	722.37	57.56
63.000	24.820	1050.00	24.82	1065.93	219.22
68.000	24.930	1400.00	24.93	1416.21	288.19
73.000	24.940	1760.00	24.94	1767.91	328.90
78.000	24.810	2110.00	24.81	2120.49	351.28
83.000	25.030	2470.00	25.03	2473.80	358.73
88.000	24.810	2830.00	24.81	2827.79	352.19
93.000	24.740	3180.00	24.74	3182.51	330.79
98.000	24.860	3540.00	24.86	3538.12	291.21
103.000	25.000	3890.00	25.00	3895.13	223.87
108.000	24.920	4250.00	24.92	4258.87	69.76
113.000	24.660	4450.00	24.66	4458.42	176.52
118.000	24.610	4660.00	24.61	4663.20	226.30
123.000	24.870	4870.00	24.87	4869.08	255.73
128.000	24.880	5080.00	24.88	5075.64	271.59
133.000	24.820	5280.00	24.82	5282.77	276.27
138.000	25.030	5490.00	25.03	5490.43	270.36
143.000	24.560	5700.00	24.56	5698.65	253.16
148.000	24.640	5900.00	24.64	5907.57	222.05
153.000	24.800	6110.00	24.80	6117.58	169.55
158.000	24.750	6320.00	24.75	6332.82	48.48
163.000	24.500	6400.00	24.50	6405.87	109.84
168.000	24.720	6480.00	24.72	6482.19	140.02
173.000	24.650	6560.00	24.65	6559.18	158.27
178.000	24.460	6640.00	24.46	6636.61	168.56
183.000	24.230	6720.00	24.23	6714.39	172.34
188.000	24.600	6800.00	24.60	6792.50	170.07
193.000	24.350	6880.00	24.35	6870.96	161.53
198.000	24.490	6960.00	24.49	6949.86	145.65
203.000	24.360	7040.00	24.36	7029.43	119.64
208.000	24.330	7130.00	24.33	7112.26	74.43
213.000	24.550	7270.00	24.55	7251.93	150.76
218.000	24.230	7410.00	24.23	7395.95	189.74
223.000	24.120	7550.00	24.12	7540.90	212.48
228.000	24.460	7690.00	24.46	7686.44	223.95
233.000	24.520	7840.00	24.52	7832.47	225.85
238.000	24.220	7980.00	24.22	7978.98	218.40
243.000	24.090	8120.00	24.09	8126.02	200.57
248.000	24.010	8260.00	24.01	8273.77	169.11
253.000	24.490	8410.00	24.49	8422.90	113.24
258.000	24.240	8510.00	24.24	8537.41	92.56
263.000	24.070	8560.00	24.07	8615.49	131.76
268.000	24.470	8620.00	24.47	8694.57	155.29
273.000	24.360	8680.00	24.36	8774.15	169.75
278.000	24.240	8740.00	24.24	8854.10	177.35
283.000	24.410	8790.00	24.41	8934.37	178.97
288.000	24.130	8850.00	24.13	9014.96	174.76
293.000	24.420	8910.00	24.42	9095.92	164.26
298.000	24.370	8960.00	24.37	9177.38	146.12
303.000	24.130	9020.00	24.13	9259.84	116.76
308.000	23.640	9080.00	23.64	9329.79	110.59
313.000	23.950	9150.00	23.95	9386.01	132.98
318.000	23.830	9220.00	23.83	9442.95	148.45
323.000	23.690	9280.00	23.69	9500.27	159.08
328.000	23.570	9350.00	23.57	9557.86	165.77
333.000	23.840	9410.00	23.84	9615.68	168.95
338.000	23.670	9480.00	23.67	9673.74	168.77
343.000	23.630	9550.00	23.63	9732.07	165.13
348.000	23.400	9610.00	23.40	9790.77	157.62
353.000	23.880	9680.00	23.88	9850.20	145.12
358.000	23.250	9800.00	23.25	9964.83	173.82
363.000	23.140	9970.00	23.14	10138.53	220.30
368.000	23.540	10140.00	23.54	10313.80	248.92
373.000	23.730	10320.00	23.73	10489.85	266.13
378.000	23.510	10490.00	23.51	10666.48	274.26
383.000	23.520	10660.00	23.52	10843.61	274.22
388.000	23.260	10840.00	23.26	11021.25	266.07
393.000	23.160	11010.00	23.16	11199.47	249.05
398.000	23.020	11180.00	23.02	11378.48	221.14
403.000	22.650	11360.00	22.65	11559.04	177.10
408.000	22.710	11520.00	22.71	11720.37	170.19
413.000	22.620	11690.00	22.62	11861.51	205.43
418.000	22.740	11850.00	22.74	12004.02	227.54
423.000	22.680	12020.00	22.68	12147.21	240.39
428.000	22.570	12180.00	22.57	12290.91	245.51
433.000	22.340	12340.00	22.34	12435.04	243.38
438.000	22.560	12510.00	22.56	12579.62	233.81
443.000	22.530	12670.00	22.53	12724.70	215.79
448.000	22.720	12830.00	22.72	12870.47	186.81
453.000	22.670	13000.00	22.67	13017.59	139.81
458.000	22.610	13140.00	22.61	13160.01	140.17
463.000	22.640	13250.00	22.64	13297.09	189.38
468.000	22.640	13370.00	22.64	13435.39	221.76
473.000	22.350	13490.00	22.35	13574.31	244.17
478.000	22.150	13600.00	22.15	13713.68	259.15
483.000	22.030	13720.00	22.03	13853.45	267.87
488.000	22.400	13830.00	22.40	13993.61	270.81
493.000	21.960	13950.00	21.96	14134.23	267.97
498.000	21.980	14060.00	21.98	14275.46	258.83
503.000	22.010	14180.00	22.01	14417.92	241.56
508.000	22.130	14390.00	22.13	14638.36	266.66
513.000	21.910	14690.00	21.91	14941.23	315.16
