#
# MD03-2707
# 69	MD03-2707	Mg/Ca (G.ruber p.)	Dekens et al., 2002 (38)	2.5	9.4	-1295	40	Annual*	Weldeab et al., 2007 (65)
#
Depth	Proxy	Age_Pub	Temp_Pub	Age_Marine09	Age_error
14.500	3.430	360.000	25.260	236.26	57.85
16.500	3.530	400.000	25.560	295.14	91.96
18.500	3.680	430.000	26.020	357.15	110.46
20.500	3.680	470.000	26.030	418.75	113.13
22.500	3.290	510.000	24.790	479.99	101.26
24.500	3.380	540.000	25.080	540.65	66.78
26.500	3.450	580.000	25.310	592.07	59.38
28.500	3.550	610.000	25.630	634.59	95.45
30.500	3.650	650.000	25.950	676.74	118.61
32.500	3.460	680.000	25.360	718.72	135.84
34.500	3.430	720.000	25.230	760.61	149.22
36.500	3.550	750.000	25.630	802.42	159.72
38.500	3.230	790.000	24.570	844.17	167.88
40.500	3.690	820.000	26.070	885.87	174.02
42.500	3.590	860.000	25.760	927.52	178.35
44.500	3.500	890.000	25.470	969.13	181.00
46.500	3.690	930.000	26.060	1010.70	182.03
48.500	3.530	960.000	25.570	1052.23	181.48
50.500	3.510	1000.000	25.490	1093.72	179.32
52.500	3.610	1030.000	25.800	1135.17	175.48
54.500	3.540	1070.000	25.600	1176.57	169.86
56.500	3.450	1100.000	25.310	1217.91	162.25
58.500	3.680	1130.000	26.040	1259.20	152.35
60.500	3.450	1170.000	25.310	1300.42	139.65
62.500	3.630	1200.000	25.890	1341.53	123.27
64.500	3.620	1240.000	25.850	1382.49	101.32
66.500	3.740	1270.000	26.220	1423.07	67.99
68.500	3.450	1310.000	25.300	1455.92	58.79
70.500	3.520	1340.000	25.540	1481.49	82.64
72.500	3.620	1370.000	25.850	1506.78	98.84
74.500	3.780	1410.000	26.330	1531.96	111.03
76.500	3.880	1440.000	26.620	1557.06	120.48
78.500	3.730	1470.000	26.190	1582.11	127.81
80.500	3.820	1510.000	26.430	1607.11	133.39
82.500	4.090	1540.000	27.200	1632.08	137.44
84.500	3.440	1580.000	25.270	1657.01	140.08
86.500	3.950	1610.000	26.820	1681.91	141.41
88.500	3.880	1640.000	26.620	1706.77	141.45
90.500	3.810	1680.000	26.410	1731.61	140.21
94.500	3.680	1740.000	26.020	1781.18	133.71
96.500	3.640	1780.000	25.910	1805.90	128.23
98.500	3.720	1810.000	26.150	1830.59	121.00
100.500	3.720	1840.000	26.160	1855.22	111.69
102.500	3.910	1880.000	26.710	1879.77	99.66
104.500	3.750	1910.000	26.240	1904.21	83.70
106.500	3.600	1940.000	25.790	1928.37	60.32
108.500	3.680	1980.000	26.030	1959.65	67.25
110.500	3.780	2010.000	26.340	1997.90	98.38
112.500	3.980	2040.000	26.900	2035.84	119.43
114.500	4.030	2080.000	27.030	2073.66	135.47
116.500	3.900	2110.000	26.670	2111.40	148.22
118.500	3.870	2140.000	26.580	2149.08	158.49
120.500	4.210	2180.000	27.520	2186.72	166.75
122.500	3.910	2210.000	26.710	2224.32	173.30
124.500	3.820	2240.000	26.450	2261.88	178.34
126.500	3.940	2280.000	26.780	2299.41	181.99
128.500	3.740	2310.000	26.200	2336.92	184.35
130.500	4.010	2340.000	26.990	2374.40	185.46
132.500	3.390	2380.000	25.120	2411.85	185.35
134.500	3.560	2410.000	25.670	2449.27	184.02
136.500	3.770	2440.000	26.290	2486.67	181.44
138.500	3.710	2470.000	26.130	2524.03	177.57
140.500	3.530	2510.000	25.570	2561.37	172.33
142.500	3.790	2540.000	26.360	2598.67	165.57
144.500	3.770	2570.000	26.300	2635.94	157.12
146.500	3.690	2610.000	26.070	2673.15	146.68
148.500	4.280	2640.000	27.700	2710.32	133.80
150.500	4.250	2670.000	27.630	2747.40	117.68
152.500	3.470	2710.000	25.380	2784.35	96.73
154.500	3.620	2740.000	25.860	2821.01	66.46
156.500	3.290	2770.000	24.770	2853.58	61.59
158.500	3.840	2800.000	26.490	2882.16	86.74
160.500	3.810	2840.000	26.410	2910.46	105.00
162.500	3.810	2870.000	26.430	2938.65	119.58
164.500	4.330	2900.000	27.820	2966.76	131.69
166.500	3.880	2940.000	26.620	2994.83	141.97
168.500	3.830	2970.000	26.460	3022.85	150.80
170.500	3.560	3000.000	25.670	3050.85	158.40
172.500	3.820	3040.000	26.450	3078.82	164.96
174.500	3.810	3070.000	26.420	3106.76	170.60
176.500	3.600	3100.000	25.770	3134.69	175.39
178.500	3.670	3140.000	25.990	3162.60	179.41
180.500	3.750	3170.000	26.240	3190.48	182.71
182.500	3.870	3200.000	26.580	3218.35	185.33
184.500	3.830	3240.000	26.470	3246.21	187.29
186.500	3.650	3270.000	25.940	3274.05	188.61
188.500	3.870	3300.000	26.580	3301.87	189.32
190.500	3.790	3340.000	26.350	3329.68	189.41
192.500	3.620	3370.000	25.850	3357.48	188.88
194.500	3.730	3400.000	26.180	3385.25	187.74
196.500	3.670	3440.000	26.010	3413.02	185.97
198.500	3.720	3470.000	26.130	3440.76	183.54
200.500	3.860	3500.000	26.540	3468.49	180.44
202.500	3.950	3540.000	26.830	3496.20	176.64
204.500	4.140	3570.000	27.330	3523.90	172.07
206.500	4.190	3600.000	27.470	3551.57	166.68
208.500	3.940	3640.000	26.800	3579.22	160.39
210.500	3.800	3670.000	26.380	3606.84	153.09
212.500	4.000	3700.000	26.960	3634.43	144.62
214.500	3.570	3740.000	25.680	3661.98	134.77
216.500	3.600	3770.000	25.790	3689.49	123.20
218.500	3.930	3810.000	26.760	3716.92	109.37
220.500	3.950	3840.000	26.810	3744.24	92.27
222.300	3.340	3870.000	24.960	3768.60	72.23
224.500	3.650	3910.000	25.950	3801.60	71.83
226.500	3.220	3940.000	24.550	3835.08	97.39
228.500	4.030	3980.000	27.030	3868.25	116.22
230.500	3.810	4010.000	26.420	3901.30	131.27
232.500	3.730	4050.000	26.180	3934.27	143.72
234.500	3.780	4080.000	26.310	3967.18	154.20
236.500	4.080	4110.000	27.180	4000.06	163.10
238.500	4.160	4150.000	27.380	4032.89	170.66
240.500	4.160	4180.000	27.400	4065.70	177.05
242.500	3.840	4220.000	26.500	4098.48	182.39
244.500	3.840	4250.000	26.510	4131.23	186.78
246.500	4.000	4290.000	26.960	4163.96	190.27
248.500	3.760	4320.000	26.280	4196.67	192.93
250.500	4.390	4360.000	27.990	4229.36	194.77
252.500	3.440	4390.000	25.280	4262.03	195.83
254.500	3.980	4430.000	26.900	4294.68	196.11
256.500	3.830	4460.000	26.480	4327.31	195.62
258.500	3.970	4500.000	26.880	4359.92	194.36
260.500	3.960	4530.000	26.850	4392.52	192.30
262.500	4.170	4570.000	27.430	4425.09	189.43
264.500	3.690	4600.000	26.070	4457.63	185.69
266.500	3.790	4640.000	26.360	4490.16	181.05
268.500	3.890	4670.000	26.640	4522.66	175.42
270.500	3.700	4710.000	26.080	4555.13	168.72
272.500	3.690	4740.000	26.060	4587.57	160.79
274.500	3.710	4780.000	26.110	4619.97	151.45
276.500	3.950	4820.000	26.820	4652.32	140.42
278.500	3.880	4850.000	26.620	4684.60	127.26
280.500	3.740	4890.000	26.220	4716.79	111.19
282.500	3.670	4920.000	25.990	4748.80	90.66
284.500	4.230	4960.000	27.580	4782.39	72.12
286.500	3.980	5000.000	26.910	4827.58	100.23
288.500	3.570	5030.000	25.690	4874.16	126.15
290.500	4.360	5070.000	27.910	4920.54	146.01
292.500	4.260	5110.000	27.650	4966.80	162.06
294.500	4.080	5140.000	27.180	5012.98	175.36
296.500	4.020	5180.000	27.010	5059.10	186.50
298.500	4.270	5220.000	27.690	5105.18	195.86
302.500	4.070	5290.000	27.150	5197.21	210.12
304.500	3.990	5330.000	26.910	5243.18	215.32
