#
# MD01-2378
# 72	MD01-2378	Mg/Ca (G.ruber w. s.s)	Anand et al., 2003 (8)	13.1	121.8	-1783	130	Annual*	Xu et al., 2008 (68)
#
Depth	Proxy	Age_Pub	Temp_Pub	Age_Marine09	Age_error
0.500	4.987	732.250	28.60	597.92	37.98
4.500	4.502	933.450	27.47	1356.27	147.91
8.500	4.665	1134.650	27.86	1541.63	163.08
10.500	4.992	1235.250	28.62	1634.78	151.27
12.500	4.600	1335.850	27.71	1728.38	122.46
14.500	4.556	1436.450	27.60	1820.61	79.69
20.500	5.075	1738.250	28.80	2058.03	168.68
22.500	4.318	1838.850	27.00	2137.36	178.78
24.500	4.273	1939.450	26.89	2216.92	181.83
28.500	4.537	2140.650	27.55	2376.66	167.68
30.500	4.762	2241.250	28.09	2456.92	148.70
32.500	4.445	2341.850	27.33	2537.62	117.33
34.500	4.527	2442.450	27.53	2620.49	80.82
38.500	4.772	2643.650	28.12	2802.81	157.51
40.500	4.861	2744.250	28.32	2895.31	176.33
42.500	4.370	2844.850	27.14	2988.07	185.15
44.500	4.466	2945.450	27.38	3081.04	185.31
48.500	4.764	3146.650	28.10	3267.66	157.90
50.500	4.773	3247.250	28.12	3361.49	123.66
52.500	4.395	3347.850	27.20	3457.54	80.12
54.500	4.493	3448.450	27.45	3562.98	133.93
58.500	4.474	3649.650	27.40	3779.52	196.96
60.500	4.769	3750.250	28.11	3888.31	209.86
62.500	4.731	3850.850	28.02	3997.33	214.24
64.500	4.771	3951.450	28.11	4106.57	210.65
68.500	4.707	4152.650	27.96	4325.80	176.38
70.500	4.433	4253.250	27.30	4436.02	138.75
72.500	4.597	4353.850	27.70	4543.42	88.40
74.500	4.748	4454.450	28.06	4628.08	127.42
78.500	4.613	4655.650	27.74	4791.77	188.27
80.500	4.779	4756.250	28.13	4874.03	206.15
82.500	4.610	4856.850	27.73	4956.44	218.90
84.500	4.566	4957.450	27.63	5038.98	227.41
88.500	4.756	5158.650	28.08	5204.37	233.45
90.500	4.447	5259.250	27.33	5287.22	231.31
92.500	4.686	5359.850	27.91	5370.18	225.66
94.500	4.592	5460.450	27.69	5453.24	216.24
98.500	4.686	5661.650	27.91	5619.78	183.63
100.500	4.936	5762.250	28.49	5703.34	157.64
102.500	4.792	5862.850	28.16	5787.29	119.99
104.500	4.579	5963.450	27.66	5874.88	79.15
108.500	4.726	6164.650	28.01	6088.53	165.53
110.500	4.797	6265.250	28.17	6197.83	183.40
112.500	5.060	6365.850	28.77	6307.47	188.91
114.500	4.539	6466.450	27.56	6417.43	183.22
118.500	4.954	6667.650	28.53	6638.55	129.53
120.500	4.838	6768.250	28.27	6747.41	78.95
122.500	5.064	6868.850	28.77	6838.19	122.37
124.500	5.010	6969.450	28.66	6926.68	160.75
128.500	4.540	7170.650	27.56	7104.63	204.62
130.500	5.051	7271.250	28.75	7193.87	216.93
132.500	4.581	7371.850	27.66	7283.25	224.43
134.500	4.992	7472.450	28.62	7372.74	227.60
138.500	5.023	7673.650	28.68	7552.06	221.37
140.500	4.876	7774.250	28.36	7641.90	211.61
142.500	4.777	7874.850	28.13	7731.88	196.63
144.500	4.747	7975.450	28.06	7822.04	175.08
147.500	5.078	8126.350	28.81	7957.88	122.57
149.500	4.996	8226.950	28.62	8055.53	82.78
151.500	4.707	8327.550	27.96	8191.12	148.07
155.500	4.854	8528.750	28.30	8477.88	216.79
157.500	5.050	8629.350	28.74	8621.88	228.16
159.500	4.803	8729.950	28.19	8766.18	228.37
161.500	4.972	8830.550	28.57	8910.77	217.42
165.500	4.856	9031.750	28.31	9201.19	149.52
167.500	4.803	9132.350	28.19	9338.72	82.58
169.500	4.679	9232.950	27.90	9421.34	116.44
171.500	4.688	9333.550	27.92	9495.44	152.24
175.500	4.720	9534.750	27.99	9644.55	195.13
177.500	5.021	9635.350	28.68	9719.36	208.42
179.500	4.960	9735.950	28.54	9794.28	217.78
181.500	5.551	9836.550	29.79	9869.30	223.72
185.500	4.870	10037.750	28.34	10019.60	226.32
187.500	5.076	10138.350	28.80	10094.88	223.10
189.500	4.807	10238.950	28.20	10170.26	216.76
191.500	5.081	10339.550	28.81	10245.73	207.01
195.500	5.188	10540.750	29.04	10397.05	174.91
197.500	4.679	10641.350	27.90	10472.99	149.92
199.500	4.946	10741.950	28.51	10549.28	114.22
201.500	4.955	10842.550	28.53	10625.90	73.33
205.500	5.024	11043.750	28.69	10773.53	146.66
207.500	4.960	11144.350	28.54	10847.82	169.70
211.500	5.378	11345.550	29.44	10996.96	196.90
215.500	4.477	11546.750	27.40	11146.63	206.39
217.500	4.820	11647.350	28.23	11221.65	205.43
219.500	5.039	11747.950	28.72	11296.81	200.69
221.500	4.931	11848.550	28.48	11372.12	191.90
227.500	4.478	12150.350	27.41	11604.27	143.11
229.500	4.809	12250.950	28.20	11710.68	175.27
231.500	4.701	12351.550	27.95	11822.44	203.57
235.500	4.737	12552.750	28.03	12047.13	234.91
237.500	4.833	12653.350	28.26	12159.81	241.26
239.500	4.325	12753.950	27.02	12272.68	242.21
241.500	4.585	12854.550	27.67	12385.71	237.83
245.500	4.436	13055.750	27.30	12612.35	211.47
247.500	4.400	13156.350	27.21	12726.04	187.08
249.500	4.434	13256.950	27.30	12840.18	150.95
251.500	4.852	13357.550	28.30	12956.85	112.69
255.500	4.377	13558.750	27.16	13212.17	199.01
257.500	4.496	13659.350	27.45	13341.63	226.83
259.500	4.283	13759.950	26.91	13471.37	246.36
261.500	4.559	13860.550	27.61	13601.33	259.46
265.500	4.575	14061.750	27.65	13861.80	269.73
267.500	4.280	14162.350	26.90	13992.31	267.52
269.500	4.245	14262.950	26.81	14123.04	260.38
271.500	4.544	14363.550	27.57	14254.06	247.92
275.500	4.276	14564.750	26.89	14511.01	208.73
279.500	4.500	14765.950	27.46	14667.14	212.52
281.500	4.710	14866.550	27.97	14741.97	213.95
285.500	4.322	15067.750	27.01	14892.21	211.89
287.500	4.660	15168.350	27.85	14967.62	208.33
