#
# Deuterium excess measured in the Law Dome ice core, 67 S–113 E as used in
# Goosse H., V. Masson-Delmotte, H. Renssen, M. Delmotte, T. Fichefet, V. Morgan, 
# T. van Ommen, B.K. Khim and B. Stenni, 2004. A late medieval warm period in the 
# Southern Ocean as delayed response to external forcing ? Geophysical Research 
# Letters 31(6) L06203 doi:10.1029/2003GL019140.
#
Year Deuterium_excess
888.91 2.75
890.4 2.82
891.91 2.87
893.4 2.92
894.88 3.76
896.3 3.66
897.74 3.74
899.22 1.84
900.7 3.57
903.73 3.54
905.27 3.55
906.77 3.67
909.73 3.92
911.2 3.67
912.66 3.75
914.13 3.74
916.99 4.57
918.45 3.79
921.42 3.78
922.91 3.33
924.39 2.98
925.87 2.73
927.35 1.54
928.8 1.76
930.28 2.87
931.76 3.57
933.23 3.3
934.67 2.66
936.15 2.99
937.59 3.24
939.06 2.54
940.53 2.91
941.96 2.6
943.43 3.28
944.89 3.32
946.35 3.31
947.82 3.33
949.25 2.26
950.7 3.58
952.13 3.16
953.59 4.44
955.04 3.28
956.47 3.69
957.83 3.37
959.22 2.14
960.67 3.21
962.12 2.56
963.56 2.02
965.01 1.93
966.45 2.82
967.9 3.01
969.31 2.59
970.72 2.65
972.19 2.35
973.62 2.08
975.06 1.04
976.49 1.84
977.93 0.25
979.3 2.52
980.58 2.31
981.96 1.62
983.35 1.64
984.75 1.95
986.18 1.89
987.6 1.81
989 0.81
990.42 2.29
991.84 0.79
993.26 -1.14
994.7 1.5
996.12 1.17
997.51 -1.66
998.92 5.14
1000.33 1.23
1001.74 2.15
1003.15 0.7
1004.56 2.78
1005.94 1.16
1007.35 3.05
1008.72 1.21
1010.13 2.76
1011.5 4.82
1012.9 3.54
1014.27 4.56
1015.67 4.46
1017.07 4.61
1018.47 2.7
1019.86 4.57
1021.25 3.51
1022.65 4.62
1024.04 4.05
1025.46 3.74
1026.85 3.38
1028.2 3.44
1029.59 4.28
1030.95 5.35
1032.3 4.34
1033.66 5.8
1035.07 4
1036.47 3.24
1037.85 3.53
1039.2 3.89
1040.58 4.55
1041.93 5.29
1043.3 4.2
1044.67 4.61
1046.04 4.17
1047.41 4.69
1048.78 2.29
1050.12 2.8
1051.46 4.36
1052.83 4.67
1054.19 4.6
1055.56 3.4
1056.92 3.39
1058.31 4.16
1059.67 4.1
1061.02 4.59
1062.35 4.48
1063.65 3.19
1064.98 3.72
1066.31 4.84
1067.66 4.25
1068.98 3.6
1070.33 3.94
1071.71 4.68
1073.06 3.48
1074.43 2.68
1075.81 4.51
1077.18 3.53
1078.55 4.02
1079.92 4.43
1081.26 4.22
1082.57 3.37
1083.88 3.99
1085.25 5.8
1086.58 5.82
1087.89 4.41
1089.25 4.98
1090.61 3.56
1091.94 5.44
1093.27 4.52
1094.63 4.73
1095.98 5.19
1097.28 4.74
1098.53 4.38
1099.83 4.75
1101.18 3.93
1102.47 2.88
1103.71 3.35
1105.01 4.52
1106.35 4.74
1107.67 3.32
1108.99 3.41
1110.22 5.88
1111.4 4.24
1112.61 3.87
1113.84 4.82
1115.1 3.25
1116.41 3
1117.72 4.05
1119.03 4.73
1120.34 3.45
1121.64 3.64
1122.95 4.19
1124.25 3.25
1125.55 3.39
1126.86 3.83
1128.18 4.02
1129.51 4.52
1130.81 4.67
1132.11 3.69
1133.4 4.16
1134.7 4.18
1135.99 4.52
1137.26 3.08
1138.47 4.16
1139.6 4.06
1140.76 4.63
1141.92 4.01
1143.13 2.54
1144.44 3
1145.76 3.96
1147.07 3.12
1148.38 6.08
1149.63 3.86
1150.89 4.09
1152.14 5.38
1153.42 3.29
1154.68 5.17
1155.95 3.6
1157.2 3.17
1158.48 4.57
1159.78 4.29
1161.03 3.31
1162.25 4.14
1163.49 3.88
1164.74 3.79
1166.01 3.74
1167.25 2.52
1168.47 2.48
1169.71 3.11
1171.02 2.83
1172.24 4.11
1173.47 2.67
1174.74 3.69
1176.02 4.12
1177.31 3.65
1178.57 3.14
1179.85 4.34
1181.11 4.93
1182.39 3.65
1183.62 4.6
1184.8 2.73
1185.92 3.9
1187 3.97
1188.14 3.13
1189.37 3.58
1190.59 3.88
1191.87 4.25
1193.11 3.97
1194.39 2.8
1195.63 4.04
1196.9 3.69
1198.14 3.08
1199.41 4.26
1200.65 3.77
1201.89 3.75
1203.13 4.34
1204.4 3.16
1205.56 3.44
1206.67 2.76
1207.83 3.52
1209.09 4.09
1210.32 3.53
1211.53 4.09
1212.76 3.75
1214.02 3.5
1215.25 3.69
1216.5 4.01
1217.75 3.43
1219 4.3
1220.23 1.31
1221.48 3.7
1222.7 4.2
1223.9 3.75
1225.12 3.47
1226.32 3.4
1227.51 4.22
1228.66 2.72
1229.85 4.08
1231.04 3.48
1232.19 4.29
1233.28 4.49
1234.39 5.19
1235.58 2.59
1236.72 4.29
1237.76 5.07
1238.87 4.41
1240.06 3.09
1241.27 4.13
1242.45 4.86
1243.66 3.91
1244.84 4.3
1246.02 3.88
1247.2 3.51
1248.4 2.89
1249.58 3.4
1250.85 4.69
1251.96 4.42
1253.31 3.8
1254.64 4.1
1255.7 2.97
1256.69 3.74
1258.14 4.26
1259 3.74
1260.12 3.24
1261.28 4.67
1262.56 4.3
1263.94 5.27
1264.89 3.82
1266.28 3.28
1267.56 3.39
1268.8 3.49
1270.14 2.26
1271.29 3.01
1272.16 4.13
1273.27 3.62
1274.56 4.66
1275.79 3.96
1276.91 3.85
1277.77 4.17
1278.77 5.09
1279.87 4.48
1280.95 3.72
1282.03 3.6
1283.06 3.6
1284.05 2.73
1285.63 3.49
1287.26 4.14
1288.36 5.03
1289.42 3.46
1290.43 4.84
1291.44 4.01
1292.45 2.69
1293.51 3.07
1294.59 4.03
1295.66 3.38
1296.74 3.79
1297.82 2.74
1298.9 3.78
1299.97 3.36
1301.05 2.98
1302.13 3.55
1303.19 3.6
1304.25 3.75
1305.28 3.82
1306.36 4.96
1307.58 4.13
1308.59 4.14
1309.89 3.98
1311.15 3.78
1312.11 4.05
1313.17 4.32
1314.28 4.84
1315.68 3.74
1316.84 4.09
1317.81 2.77
1318.63 3.29
1319.45 3.7
1320.42 4.47
1321.37 5.48
1322.25 5.58
1323.38 4.74
1324.3 5.6
1325.12 5.5
1326.04 4.35
1327.03 4.36
1327.81 3.5
1328.73 4.96
1329.85 3.93
1331.41 4.8
1332.75 5.32
1333.86 4.71
1334.88 4.45
1335.66 5.19
1336.64 4.21
1337.56 4.17
1338.42 5.23
1339.5 4.75
1340.73 5.11
1341.79 5.43
1343.23 3.84
1344.25 4.31
1345.14 3.81
1345.97 5.17
1347.17 4.26
1347.97 4.51
1349 3.87
1349.94 5.06
1351.12 3.29
1352.14 4.45
1353.24 3.76
1354.27 5.32
1355.44 4.56
1356.83 4.35
1358 4.29
1359.22 4.28
1360.41 3.81
1361.46 4.38
1362.43 5
1363.41 5.03
1364.46 4.27
1365.55 3.86
1366.8 3.82
1367.8 4.45
1368.86 5
1369.81 4.31
1370.83 4.8
1372.42 3.9
1373.41 5.11
1374.55 4.78
1375.67 5.44
1376.78 4.02
1378.33 4.28
1379.54 3.49
1380.51 4.74
1381.43 4.39
1382.5 3.96
1383.75 4.8
1384.77 4.13
1385.68 3.42
1386.5 3.43
1387.35 4.29
1388.4 4.02
1389.46 4.65
1390.45 3.62
1391.72 3.76
1392.79 4.07
1393.64 5.53
1394.81 4.04
1396 4.54
1397.03 4.15
1397.84 4.85
1399.08 4.79
1400.05 3.53
1401.3 3.67
1402.49 1.93
1403.72 5.47
1404.59 4.29
1405.5 4.14
1406.49 3.4
1407.79 4.04
1409.12 4.2
1410.17 4.04
1411.15 4.29
1411.85 3.26
1412.86 3.34
1414.09 2.93
1415.21 3.46
1416.25 5.25
1417.45 5.33
1418.5 5.64
1419.56 3.49
1420.78 4.84
1421.75 4.2
1422.58 3.91
1423.42 5.63
1424.39 4.6
1425.48 4.53
1426.69 4.92
1427.69 4.12
1428.59 4.82
1429.56 5.09
1430.66 4.53
1431.65 4.02
1432.62 5.42
1433.97 5.45
1435.32 5.75
1436.81 4.58
1437.85 4.83
1439.07 4.76
1440.21 4.57
1441.36 4.33
1442.44 5.29
1443.48 4.84
1444.52 4.06
1445.68 5.52
1446.68 4.79
1447.52 4.99
1448.53 4.97
1449.65 5.1
1450.82 5.39
1451.98 4.38
1452.94 5.1
1453.94 5.73
1454.88 3.93
1455.89 5.2
1457.11 5.77
1457.88 4.83
1458.86 3.83
1459.9 4.19
1461.03 4.45
1462.44 4.78
1463.6 4.55
1464.86 5.23
1465.94 3.9
1466.96 3.64
1467.94 3.79
1468.84 4.06
1469.68 3.84
1470.64 5.11
1471.92 4.15
1472.98 4.85
1473.82 4.56
1474.7 5.01
1475.55 5.56
1476.44 6.22
1477.38 5.97
1478.34 5.91
1479.58 6.13
1480.88 5.13
1481.94 6.25
1482.96 5.26
1483.8 5.68
1484.69 5.28
1485.82 5.66
1486.79 5.86
1487.95 5.62
1488.87 5.19
1490.14 4.36
1490.93 4.52
1491.8 4.57
1492.69 5
1493.66 4.01
1494.74 4.24
1495.69 4.2
1496.66 5.53
1497.66 4.85
1498.86 4.13
1499.86 4.97
1500.78 4.09
1501.76 4.28
1502.69 4.44
1503.6 4.68
1504.56 4.63
1505.4 4.37
1506.16 4.06
1507.15 5.41
1508.07 4.89
1509.23 4.97
1510.58 4.98
1511.47 4.06
1512.24 4.66
1513.18 4.49
1514.26 3.84
1515.26 5.02
1516.29 5.25
1517.45 4.57
1518.69 5.42
1519.69 4.96
1520.73 6.24
1522.04 5.88
1522.76 4.81
1523.73 4.69
1524.58 4.47
1525.46 5.19
1526.4 3.75
1527.3 3.84
1528.16 4.06
1529.18 5.12
1530.24 4.58
1531.18 3.8
1532.24 3.71
1533.16 4.29
1534.15 3.49
1535.05 4.29
1535.88 4.33
1536.72 3.28
1537.55 3.87
1538.51 4.83
1539.62 5.68
1540.6 4.18
1541.46 4.67
1542.36 4.52
1543.33 3.62
1544.37 4.15
1545.55 4.29
1546.56 5.28
1547.56 4.57
1548.47 4.04
1549.33 3.36
1550.33 2.89
1551.24 4.32
1552.15 3.93
1553.07 5.48
1553.96 5.15
1554.87 4.11
1555.66 3.03
1556.55 5.42
1557.51 4.23
1558.46 4.62
1559.46 4.75
1560.42 4.14
1561.33 4.48
1562.29 4.39
1563.45 4.09
1564.5 4.9
1565.33 4.87
1566.05 4.17
1566.96 4.1
1567.69 3.68
1568.8 4.83
1569.96 4.35
1570.8 2.68
1571.95 3.77
1572.8 3.58
1573.63 5.14
1574.62 4.78
1575.82 5.02
1577.15 5.89
1578.07 5.01
1579.16 5.71
1580.18 4.38
1581.24 4.52
1582.18 5.13
1583.32 2.46
1584.5 5.45
1585.4 4.66
1586.27 4.63
1587.56 4.88
1588.55 3.74
1589.51 3.21
1590.51 5.29
1591.7 5.17
1592.58 5.51
1593.46 4.87
1594.38 4.68
1595.23 5
1596.09 4.25
1597.23 5.91
1598.35 3.61
1599.14 5.01
1599.98 4.12
1600.96 3.76
1602.05 3.3
1602.88 5.55
1603.79 5
1604.63 3.46
1605.47 5.19
1606.33 5.36
1607.22 4.78
1608.06 4.02
1609.05 1.12
1609.82 3.49
1610.68 3.28
1611.44 5.18
1612.13 5.04
1612.97 3.95
1613.61 5.35
1614.3 5.21
1615.18 4.28
1616.27 4.78
1617.23 4.77
1618.06 3.77
1619.09 4.08
1620.29 5.55
1621.07 3.88
1621.96 2.84
1622.8 3.29
1623.76 4.53
1624.63 3.25
1625.62 3.98
1626.66 4.42
1627.49 3.7
1628.28 3.93
1629.24 3.88
1630.13 3.35
1630.97 5.25
1631.57 3.68
1632.29 3.88
1633.3 4.28
1634.21 3.98
1635.32 3.95
1636.22 4.71
1637.07 4.39
1638.15 5.17
1639.06 4.02
1640.06 3.83
1641.07 4.52
1642.16 4.56
1643.09 4.29
1643.96 3.11
1645.24 3.78
1646.12 6.57
1646.8 4.47
1647.83 4.4
1648.78 4.96
1649.55 1.41
1650.34 3.92
