#
# Combined set of Law Dome core
# https://www1.ncdc.noaa.gov/pub/data/paleo/icecore/antarctica/law/law2012d18o.txt
# Central England Temperature set:
# 1659-1973 MANLEY (Q.J.R.METEOROL.SOC.,1974)
# 1974 ON PARKER ET AL. (INT.J.CLIM., 1992)
# PARKER AND HORTON (INT.J.CLIM.,2005)
# and Casey weather station 133.9 km from the Law Dome wellhead
# http://berkeleyearth.lbl.gov/stations/151566
# Note that Law Dome Summit record (31.2 km away) starts only in Apr 1986 and thus
# cannot be used for correlations
#
Year	LD_d18O	CE_Year_Average	Casey_Year_Average
2018	-999	10.68	-999
2017	-999	10.58	-999
2016	-999	10.34	-999
2015	-999	10.31	-999
2014	-999	10.95	-999
2013	-999	9.61	-999
2012	-999	9.72	-9.71
2011	-999	10.72	-9.38
2010	-999	8.86	-9.70
2009	-999	10.14	-7.81
2008	-999	9.97	-9.10
2007	-999	10.5	-7.96
2006	-999	10.87	-9.22
2005	-999	10.48	-9.29
2004	-999	10.5	-9.03
2003	-999	10.54	-9.73
2002	-999	10.63	-8.19
2001	-999	9.97	-8.73
2000	-999	10.32	-9.27
1999	-999	10.65	-11.34
1998	-999	10.35	-9.80
1997	-999	10.56	-9.57
1996	-999	9.22	-8.38
1995	-21.5599	10.55	-9.56
1994	-22.8213	10.29	-9.60
1993	-23.256	9.52	-10.30
1992	-21.6846	9.87	-9.31
1991	-22.2671	9.58	-7.51
1990	-23.2596	10.65	-9.37
1989	-22.0303	10.54	-8.87
1988	-21.4405	9.8	-9.21
1987	-23.1244	9.08	-8.49
1986	-23.1415	8.81	-8.25
1985	-22.7624	8.9	-9.17
1984	-21.0634	9.75	-7.92
1983	-21.8824	10.1	-9.07
1982	-21.8581	9.86	-10.25
1981	-21.5915	9.28	-7.32
1980	-22.0825	9.42	-6.58
1979	-22.6951	8.85	-8.92
1978	-23.0347	9.47	-9.13
1977	-21.2044	9.51	-8.69
1976	-22.7876	10.1	-9.34
1975	-20.6479	10.04	-9.24
1974	-21.5058	9.64	-8.77
1973	-23.3331	9.57	-8.52
1972	-22.0923	9.22	-9.11
1971	-21.9223	9.72	-8.46
1970	-22.6167	9.6	-10.27
1969	-22.9148	9.32	-11.25
1968	-22.5017	9.32	-9.20
1967	-22.0465	9.64	-8.70
1966	-23.9	9.47	-9.56
1965	-22.2701	8.99	-10.06
1964	-22.221	9.48	-10.78
1963	-22.1518	8.52	-10.70
1962	-22.592	8.61	-9.74
1961	-22.7673	9.95	-8.32
1960	-22.9944	9.75	-10.50
1959	-23.1659	10.52	-9.88
1958	-21.5289	9.45	-9.72
1957	-23.0646	10.06	-999
1956	-21.8099	8.87	-999
1955	-22.309	9.33	-999
1954	-21.9265	9.26	-999
1953	-21.5128	9.87	-999
1952	-22.9906	9.12	-999
1951	-22.1041	9.3	-999
1950	-21.3597	9.43	-999
1949	-22.252	10.64	-999
1948	-21.8949	10.03	-999
1947	-22.6933	9.65	-999
1946	-23.2407	9.46	-999
1945	-22.8317	10.29	-999
1944	-22.7046	9.59	-999
1943	-22.0262	10.05	-999
1942	-21.6228	9.11	-999
1941	-22.3035	9.12	-999
1940	-22.9746	9.06	-999
1939	-21.7469	9.7	-999
1938	-23.1844	10.21	-999
1937	-21.946	9.59	-999
1936	-23.3035	9.35	-999
1935	-22.5538	9.74	-999
1934	-23.0833	10.03	-999
1933	-22.5867	9.86	-999
1932	-21.6193	9.41	-999
1931	-21.1342	9.02	-999
1930	-22.4982	9.47	-999
1929	-22.5082	9.06	-999
1928	-21.5651	9.59	-999
1927	-22.8367	9.24	-999
1926	-22.2605	9.74	-999
1925	-22.8908	9.2	-999
1924	-22.6067	9.29	-999
1923	-22.2861	9.11	-999
1922	-22.2194	8.7	-999
1921	-23.0225	10.51	-999
1920	-22.5877	9.58	-999
1919	-21.8157	8.53	-999
1918	-22.2586	9.53	-999
1917	-21.079	8.55	-999
1916	-23.1988	9.2	-999
1915	-21.5641	8.96	-999
1914	-22.5154	9.9	-999
1913	-22.4841	9.83	-999
1912	-22.3485	9.37	-999
1911	-22.2058	10.09	-999
1910	-22.2982	9.2	-999
1909	-21.782	8.59	-999
1908	-22.4768	9.28	-999
1907	-22.1144	8.88	-999
1906	-22.4874	9.47	-999
1905	-21.9123	9.16	-999
1904	-23.4252	9.02	-999
1903	-22.842	9.33	-999
1902	-21.1678	8.88	-999
1901	-22.55	9.15	-999
1900	-21.4715	9.6	-999
1899	-22.1229	9.71	-999
1898	-20.6451	10.1	-999
1897	-22.9053	9.44	-999
1896	-23.2721	9.34	-999
1895	-21.895	8.7	-999
1894	-21.1925	9.32	-999
1893	-21.768	10.01	-999
1892	-23.0523	8.18	-999
1891	-22.2806	8.51	-999
1890	-23.2764	8.76	-999
1889	-22.8712	9.02	-999
1888	-22.7319	8.24	-999
1887	-23.0483	8.3	-999
1886	-22.4451	8.74	-999
1885	-21.9785	8.58	-999
1884	-21.5824	9.85	-999
1883	-23.8538	9.04	-999
1882	-22.153	9.47	-999
1881	-23.7111	8.58	-999
1880	-21.6596	9.1	-999
1879	-21.8918	7.44	-999
1878	-22.2973	9.26	-999
1877	-23.2624	9.19	-999
1876	-22.2756	9.53	-999
1875	-23.4602	9.48	-999
1874	-22.8618	9.33	-999
1873	-23.2182	9.03	-999
1872	-23.6717	9.76	-999
1871	-21.1403	9.07	-999
1870	-22.0641	9.02	-999
1869	-22.8523	9.62	-999
1868	-21.7032	10.4	-999
1867	-22.186	9.03	-999
1866	-21.4544	9.68	-999
1865	-23.916	9.72	-999
1864	-22.4108	8.87	-999
1863	-22.2642	9.69	-999
1862	-22.6739	9.21	-999
1861	-20.652	9.15	-999
1860	-22.7527	7.92	-999
1859	-21.5226	9.64	-999
1858	-21.9672	9.16	-999
1857	-22.0636	10.11	-999
1856	-22.1562	9.1	-999
1855	-22.5706	8.09	-999
1854	-21.8733	9.34	-999
1853	-22.2118	8.41	-999
1852	-22.0688	9.82	-999
1851	-21.0122	9.18	-999
1850	-22.9017	9.1	-999
1849	-21.9661	9.32	-999
1848	-20.6483	9.42	-999
1847	-21.1923	9.26	-999
1846	-22.3591	10.16	-999
1845	-22.3536	8.3	-999
1844	-21.0635	8.6	-999
1843	-21.3967	9.1	-999
1842	-23.16	9.25	-999
1841	-24.1516	8.75	-999
1840	-23.0127	8.52	-999
1839	-22.6621	8.71	-999
1838	-22.9353	8.1	-999
1837	-22.7448	8.85	-999
1836	-22.9508	8.88	-999
1835	-22.8067	9.57	-999
1834	-22.0054	10.51	-999
1833	-21.7471	9.52	-999
1832	-21.7977	9.49	-999
1831	-21.2227	10.13	-999
1830	-22.9891	8.72	-999
1829	-21.3249	8.18	-999
1828	-21.3867	10.32	-999
1827	-22.3748	9.51	-999
1826	-22.1097	10.09	-999
1825	-22.4445	9.76	-999
1824	-21.8293	9.32	-999
1823	-22.4608	8.4	-999
1822	-23.5871	10.06	-999
1821	-21.959	9.55	-999
1820	-23.0764	8.56	-999
1819	-21.7889	9.27	-999
1818	-22.6009	9.88	-999
1817	-23.3844	8.89	-999
1816	-23.4339	7.89	-999
1815	-22.461	9.07	-999
1814	-22.7298	7.78	-999
1813	-21.7963	8.72	-999
1812	-22.0985	8.21	-999
1811	-21.7683	9.69	-999
1810	-23.0832	8.78	-999
1809	-21.8229	8.96	-999
1808	-22.7333	8.86	-999
1807	-23.8195	8.69	-999
1806	-23.0126	9.84	-999
1805	-22.2517	9	-999
1804	-22.7127	9.59	-999
1803	-24.551	9.09	-999
1802	-22.2186	8.98	-999
1801	-22.5676	9.63	-999
1800	-21.9867	9.28	-999
1799	-21.9691	7.92	-999
1798	-22.7462	9.63	-999
1797	-23.3573	9.03	-999
1796	-21.8502	9.02	-999
1795	-22.7258	8.71	-999
1794	-22.1825	9.9	-999
1793	-22.4667	9.13	-999
1792	-22.5466	9.2	-999
1791	-21.5231	9.29	-999
1790	-22.0831	9.46	-999
1789	-21.8122	8.93	-999
1788	-22.5327	9.22	-999
1787	-23.0538	9.31	-999
1786	-22.9285	8.27	-999
1785	-22.2783	8.58	-999
1784	-23.4693	7.85	-999
1783	-21.1532	9.31	-999
1782	-21.5947	8.05	-999
1781	-23.0051	10.23	-999
1780	-22.2875	9.12	-999
1779	-21.9953	10.41	-999
1778	-22.0808	9.23	-999
1777	-22.1253	9.12	-999
1776	-22.1435	9.02	-999
1775	-21.6144	10.11	-999
1774	-20.5411	9.09	-999
1773	-22.764	9.29	-999
1772	-22.1208	9.17	-999
1771	-21.9968	8.58	-999
1770	-21.8483	8.53	-999
1769	-21.6906	8.81	-999
1768	-21.5046	8.95	-999
1767	-21.8568	8.7	-999
1766	-21.3837	8.66	-999
1765	-22.5587	8.55	-999
1764	-21.7092	8.73	-999
1763	-21.822	8.95	-999
1762	-22.1144	9.61	-999
1761	-24.2288	10.02	-999
1760	-22.6028	9.85	-999
1759	-22.9308	10.03	-999
1758	-23.3408	8.98	-999
1757	-22.2255	8.97	-999
1756	-21.9125	8.78	-999
1755	-22.3586	8.58	-999
1754	-22.6438	8.87	-999
1753	-21.0986	9.12	-999
1752	-21.9159	9.21	-999
1751	-21.1342	8.47	-999
1750	-22.7713	9.71	-999
1749	-22.6628	9.49	-999
1748	-21.436	8.79	-999
1747	-22.3033	9.84	-999
1746	-22.0888	8.66	-999
1745	-21.5322	8.85	-999
1744	-22.8979	8.8	-999
1743	-22.4581	9.83	-999
1742	-22.6523	8.38	-999
1741	-21.9134	9.32	-999
1740	-22.7785	6.86	-999
1739	-22.0073	9.21	-999
1738	-22.7939	9.84	-999
1737	-22.0167	9.95	-999
1736	-22.0578	10.33	-999
1735	-23.2442	9.57	-999
1734	-21.9792	9.82	-999
1733	-21.5152	10.5	-999
1732	-21.3151	9.69	-999
1731	-22.0846	9.9	-999
1730	-22.7016	10.07	-999
1729	-22.8688	9.29	-999
1728	-21.1678	9.54	-999
1727	-22.7025	9.97	-999
1726	-22.3944	9.36	-999
1725	-21.6007	8.69	-999
1724	-23.7166	9.28	-999
1723	-21.0835	9.8	-999
1722	-20.9171	9.37	-999
1721	-22.7009	8.91	-999
1720	-20.8641	9.1	-999
1719	-20.7961	9.49	-999
1718	-22.0547	9.29	-999
1717	-22.1308	9.04	-999
1716	-20.5039	8.38	-999
1715	-22.5813	9.44	-999
1714	-21.1649	9.44	-999
1713	-21.668	8.64	-999
1712	-22.3069	9.14	-999
1711	-22.3415	9.42	-999
1710	-21.0786	9.49	-999
1709	-22.0308	8.74	-999
1708	-20.9726	9.68	-999
1707	-20.7537	9.41	-999
1706	-22.189	9.82	-999
1705	-22.6008	8.75	-999
1704	-21.5441	9.07	-999
1703	-22.4884	9.09	-999
1702	-23.2754	9.31	-999
1701	-22.2264	8.75	-999
1700	-23.4048	8.6	-999
1699	-23.8563	8.83	-999
1698	-22.6839	7.67	-999
1697	-22.8267	8.05	-999
1696	-22.7313	8.52	-999
1695	-23.0739	7.29	-999
1694	-22.4759	7.67	-999
1693	-22.1212	8.47	-999
1692	-22.5097	7.73	-999
1691	-22.8386	8.17	-999
1690	-22.4212	8.94	-999
1689	-21.8057	8.56	-999
1688	-22.4511	7.86	-999
1687	-23.0403	8.99	-999
1686	-21.8228	10.15	-999
1685	-21.5714	9.16	-999
1684	-22.039	7.95	-999
1683	-22.0813	8.49	-999
1682	-22.6622	9.05	-999
1681	-21.7727	8.75	-999
1680	-20.933	8.89	-999
1679	-22.1854	8.76	-999
1678	-22.0158	8.45	-999
1677	-22.1337	8.78	-999
1676	-21.117	8.84	-999
1675	-22.6111	7.88	-999
1674	-21.3149	8.12	-999
