#
# UK population [mln] and energy production [mln toe per year]
# historical merged with BP World Energy Report, 2017
# Nuclear and renewables recomputed into toe based on 30% thermal station efficiency
#
Year,population,oil_prod,oil_cons,gas_prod,gas_cons,coal_prod,coal_cons,nuclear,hydro,other_renew
1830,-999.25,-999.25,-999.25,-999.25,-999.25,18.300,18.300,-999.25,-999.25,-999.25
1831,24.132,-999.25,-999.25,-999.25,-999.25,18.300,18.300,-999.25,-999.25,-999.25
1832,-999.25,-999.25,-999.25,-999.25,-999.25,18.300,18.300,-999.25,-999.25,-999.25
1833,-999.25,-999.25,-999.25,-999.25,-999.25,18.300,18.300,-999.25,-999.25,-999.25
1834,-999.25,-999.25,-999.25,-999.25,-999.25,18.300,18.300,-999.25,-999.25,-999.25
1835,-999.25,-999.25,-999.25,-999.25,-999.25,18.300,18.300,-999.25,-999.25,-999.25
1836,-999.25,-999.25,-999.25,-999.25,-999.25,18.300,18.300,-999.25,-999.25,-999.25
1837,-999.25,-999.25,-999.25,-999.25,-999.25,18.300,18.300,-999.25,-999.25,-999.25
1838,-999.25,-999.25,-999.25,-999.25,-999.25,18.300,18.300,-999.25,-999.25,-999.25
1839,-999.25,-999.25,-999.25,-999.25,-999.25,18.300,18.300,-999.25,-999.25,-999.25
1840,-999.25,-999.25,-999.25,-999.25,-999.25,18.300,18.300,-999.25,-999.25,-999.25
1841,26.855,-999.25,-999.25,-999.25,-999.25,18.300,18.300,-999.25,-999.25,-999.25
1842,-999.25,-999.25,-999.25,-999.25,-999.25,18.300,18.300,-999.25,-999.25,-999.25
1843,-999.25,-999.25,-999.25,-999.25,-999.25,18.300,18.300,-999.25,-999.25,-999.25
1844,-999.25,-999.25,-999.25,-999.25,-999.25,18.300,18.300,-999.25,-999.25,-999.25
1845,-999.25,-999.25,-999.25,-999.25,-999.25,18.300,18.300,-999.25,-999.25,-999.25
1846,-999.25,-999.25,-999.25,-999.25,-999.25,18.300,18.300,-999.25,-999.25,-999.25
1847,-999.25,-999.25,-999.25,-999.25,-999.25,18.300,18.300,-999.25,-999.25,-999.25
1848,-999.25,-999.25,-999.25,-999.25,-999.25,18.300,18.300,-999.25,-999.25,-999.25
1849,-999.25,-999.25,-999.25,-999.25,-999.25,18.300,18.300,-999.25,-999.25,-999.25
1850,-999.25,-999.25,-999.25,-999.25,-999.25,18.300,18.300,-999.25,-999.25,-999.25
1851,27.534,-999.25,-999.25,-999.25,-999.25,18.300,18.300,-999.25,-999.25,-999.25
1852,-999.25,-999.25,-999.25,-999.25,-999.25,18.300,18.300,-999.25,-999.25,-999.25
1853,-999.25,-999.25,-999.25,-999.25,-999.25,43.615,43.615,-999.25,-999.25,-999.25
1854,-999.25,-999.25,-999.25,-999.25,-999.25,43.615,43.615,-999.25,-999.25,-999.25
1855,-999.25,-999.25,-999.25,-999.25,-999.25,43.615,43.615,-999.25,-999.25,-999.25
1856,-999.25,-999.25,-999.25,-999.25,-999.25,43.615,43.615,-999.25,-999.25,-999.25
1857,-999.25,-999.25,-999.25,-999.25,-999.25,43.615,43.615,-999.25,-999.25,-999.25
1858,-999.25,-999.25,-999.25,-999.25,-999.25,43.615,43.615,-999.25,-999.25,-999.25
1859,-999.25,-999.25,-999.25,-999.25,-999.25,43.615,43.615,-999.25,-999.25,-999.25
1860,-999.25,-999.25,-999.25,-999.25,-999.25,43.615,43.615,-999.25,-999.25,-999.25
1861,29.071,-999.25,-999.25,-999.25,-999.25,43.615,43.615,-999.25,-999.25,-999.25
1862,-999.25,-999.25,-999.25,-999.25,-999.25,43.615,43.615,-999.25,-999.25,-999.25
1863,-999.25,-999.25,-999.25,-999.25,-999.25,64.782,64.782,-999.25,-999.25,-999.25
