Year	FAR_BaU	FAR_B	FAR_C	FAR_D	IS92a	IS92b	IS92c	IS92d	IS92e	IS92f	WRE1000	WRE750	WRE650	WRE550	WRE450	SRES_A1F	SRES_A1B	SRES_A1T	SRES_A2	SRES_B1	SRES_B2
1985	6.0	6.0	6.0	6.0	-999.0	-999.0	-999.0	-999.0	-999.0	-999.0	-999.0	-999.0	-999.0	-999.0	-999.0	-999.0	-999.0	-999.0	-999.0	-999.0	-999.0
1990	6.6	5.9	5.9	5.9	7.3	7.3	7.3	7.3	7.3	7.3	-999.0	-999.0	-999.0	-999.0	-999.0	-999.0	-999.0	-999.0	-999.0	-999.0	-999.0
1995	7.1	5.6	5.6	5.6	8.0	8.0	7.3	7.4	8.1	8.1	-999.0	-999.0	-999.0	-999.0	-999.0	-999.0	-999.0	-999.0	-999.0	-999.0	-999.0
2000	7.8	5.6	5.6	5.6	8.4	8.3	7.4	7.6	8.8	8.7	8.9	8.9	8.7	8.7	8.8	6.984	6.984	6.984	6.984	6.984	7.034
2005	8.4	5.7	5.7	5.7	9.2	8.9	7.8	7.8	10.1	9.9	9.7	9.5	9.2	9.3	8.9	8.288	8.288	8.087	8.288	8.087	7.486
2010	9.0	5.6	5.6	5.6	9.9	9.6	8.1	8.3	11.2	10.8	10.2	10.1	9.7	9.7	9.1	9.642	10.043	8.639	8.789	8.639	8.138
2015	9.8	5.8	5.8	5.4	10.8	10.3	8.2	8.5	12.5	11.9	10.8	10.7	10.3	10.2	8.8	11.046	11.046	9.592	9.792	9.592	8.589
2020	10.5	6.1	6.1	5.3	11.5	10.9	8.4	8.9	13.6	13.2	11.2	11.1	10.8	10.5	8.6	12.249	12.099	10.244	11.046	10.244	9.191
2025	11.5	6.3	6.3	5.1	12.2	11.8	8.7	9.2	14.8	14.5	11.7	11.5	11.2	10.6	7.9	13.352	13.001	11.297	12.45	10.996	9.542
2030	12.2	6.6	6.6	4.7	12.6	12.3	8.7	9.3	15.9	15.1	12.1	11.9	11.5	10.6	7.5	14.957	13.804	12.299	13.503	11.397	10.093
2035	12.9	6.9	6.6	4.3	13.2	12.6	8.5	9.3	17.1	15.8	12.4	12.2	11.6	10.4	6.7	16.461	14.506	12.5	14.506	11.798	10.595
2040	13.7	7.1	6.7	3.9	13.6	13.0	8.1	9.2	18.1	16.1	12.8	12.4	11.7	10.2	6.0	18.617	15.057	12.6	15.057	12.149	10.795
2045	14.4	7.4	6.8	3.4	14.1	13.4	7.6	9.2	18.8	16.7	13.0	12.6	11.7	9.9	5.6	20.974	15.659	12.4	15.91	12.099	11.096
2050	15.1	7.6	7.1	3.0	14.5	13.8	7.5	9.1	20.1	17.2	13.3	12.6	11.6	9.5	5.0	23.13	16.01	12.249	16.562	11.648	11.347
2055	15.9	7.8	6.6	3.0	14.9	14.1	7.3	9.1	21.4	18.1	13.5	12.6	11.4	9.2	4.5	24.083	15.86	11.999	17.765	10.895	11.447
2060	16.6	8.1	6.3	3.0	15.3	14.4	6.8	9.1	22.7	18.8	13.7	12.6	11.2	8.6	4.1	25.236	15.759	11.447	18.567	10.294	11.648
2065	17.4	8.4	5.9	3.0	15.6	14.9	6.3	9.2	24.2	19.6	13.8	12.4	10.8	8.1	3.8	26.039	15.559	10.645	19.47	9.341	11.748
2070	18.1	8.6	5.5	3.1	15.9	15.2	6.1	9.2	25.4	20.5	13.9	12.3	10.5	7.7	3.6	27.042	15.358	9.842	20.724	8.639	11.948
2075	18.9	8.9	5.2	3.2	16.4	15.4	5.7	9.4	26.8	21.4	13.9	12.1	10.1	7.2	3.3	28.095	15.057	8.99	21.977	7.937	12.249
2080	19.6	9.2	4.9	3.1	17.2	16.3	5.4	9.6	28.6	22.2	14.0	11.8	9.8	6.7	3.0	28.847	14.756	8.087	23.03	7.335	12.45
2085	20.3	9.5	4.5	3.0	17.8	17.0	5.1	9.8	30.4	23.2	14.0	11.6	9.3	6.3	2.9	29.499	14.305	7.135	24.534	6.734	12.801
2090	21.0	9.8	4.2	2.9	18.8	17.8	5.2	10.0	32.3	24.5	13.9	11.3	8.9	5.9	2.7	29.699	13.804	6.082	26.139	6.082	13.152
2095	21.8	10.0	3.9	2.9	19.5	18.3	4.8	10.2	33.9	25.6	13.9	11.0	8.6	5.6	2.6	29.799	13.403	5.279	27.493	5.681	13.453
2100	22.4	10.3	3.7	2.9	20.3	19.3	4.7	10.4	35.7	26.7	13.7	10.7	8.2	5.2	2.5	29.799	12.901	4.527	28.997	5.179	13.804
