#,,,,,,,
# Oil production in Bone Spring,,,,,,,
# million barrels per day,,,,,,,
#,,,,,,,
Year,AEO2014,AEO2015,AEO2016,Hughes2014,Actual,Wells_Plan,Wells_Actual
2000,0.010,0.010,0.010,-999.250,0.010,-999,614
2001,0.011,0.011,0.011,-999.250,0.011,-999,647
2002,0.008,0.008,0.008,-999.250,0.008,-999,667
2003,0.010,0.010,0.010,-999.250,0.010,-999,686
2004,0.010,0.010,0.010,-999.250,0.010,-999,712
2005,0.009,0.009,0.009,-999.250,0.009,-999,732
2006,0.011,0.011,0.011,-999.250,0.011,-999,771
2007,0.012,0.012,0.012,-999.250,0.012,-999,843
2008,0.014,0.014,0.014,-999.250,0.014,-999,908
2009,0.015,0.015,0.015,-999.250,0.015,-999,1026
2010,0.022,0.022,0.022,-999.250,0.022,-999,1098
2011,0.037,0.037,0.037,-999.250,0.037,-999,1281
2012,0.072,0.072,0.072,-999.250,0.072,-999,1627
2013,0.062,0.125,0.121,-999.250,0.121,-999,2137
2014,0.066,0.191,0.189,-999.250,0.189,-999,2752
2015,0.069,0.205,0.267,-999.250,0.249,-999,3340
2016,0.069,0.216,0.308,-999.250,0.233,-999,3503
2017,0.068,0.224,0.324,-999.250,-999.250,-999,-999
2018,0.066,0.229,0.339,-999.250,-999.250,-999,-999
2019,0.064,0.235,0.368,-999.250,-999.250,-999,-999
2020,0.065,0.242,0.386,-999.250,-999.250,-999,-999
2021,0.064,0.246,0.403,-999.250,-999.250,-999,-999
2022,0.064,0.252,0.416,-999.250,-999.250,-999,-999
2023,0.064,0.256,0.427,-999.250,-999.250,-999,-999
2024,0.065,0.262,0.434,-999.250,-999.250,-999,-999
2025,0.064,0.267,0.412,-999.250,-999.250,-999,-999
2026,0.064,0.270,0.399,-999.250,-999.250,-999,-999
2027,0.066,0.274,0.390,-999.250,-999.250,-999,-999
2028,0.066,0.278,0.381,-999.250,-999.250,-999,-999
2029,0.064,0.285,0.373,-999.250,-999.250,-999,-999
2030,0.066,0.272,0.366,-999.250,-999.250,-999,-999
2031,0.066,0.263,0.347,-999.250,-999.250,-999,-999
2032,0.066,0.245,0.316,-999.250,-999.250,-999,-999
2033,0.064,0.227,0.304,-999.250,-999.250,-999,-999
2034,0.064,0.210,0.295,-999.250,-999.250,-999,-999
2035,0.064,0.198,0.287,-999.250,-999.250,-999,-999
2036,0.064,0.186,0.277,-999.250,-999.250,-999,-999
2037,0.062,0.177,0.267,-999.250,-999.250,-999,-999
2038,0.059,0.167,0.234,-999.250,-999.250,-999,-999
2039,0.055,0.158,0.224,-999.250,-999.250,-999,-999
2040,0.051,0.152,0.216,-999.250,-999.250,-999,-999
