#
# Estimation of atmospheric CO2 after
# GEOCARB III: A REVISED MODEL OF ATMOSPHERIC CO2 OVER PHANEROZOIC TIME
# by ROBERT A. BERNER and ZAVARETH KOTHAVALA
# American Journal of Science, Vol.301, February,2001,P.182–204
# Temperature reconstructions:
# Tropical, Delta_O18, Polar_Ice: Jan Veizer, Yves Godderis, & Louis M. Francois,
# Evidence for decoupling of atmospheric CO2 and global climate during the Phanerozoic eon,
# Nature, January 2001, v 408, p 698-701
# CO2Corr: Dana L. Royer, Robert A. Berner, Isabel P. Montanez, Neil J. Tabor, David J. Beerling,
# CO2 as a primary driver of Phanerozoic climate, GSA Today 14(3):3-7 March 2004
#
MYA	GEOCARB2	GEOCARB3	Tropical	CO2Corr	Delta_O18	Polar_Ice
-570	4095	3371	0.2	6.1	0.14	90.0
-560	4516	4685	0.2	6.1	0.01	90.0
-550	4662	5170	0.5	6.4	-0.14	90.0
-540	4743	4952	0.7	6.6	-0.30	90.0
-530	5002	7352	0.1	6.0	0.01	90.0
-520	4969	7540	0.7	6.6	-0.23	90.0
-510	4921	6450	1.7	7.4	-0.78	90.0
-500	4791	5441	1.1	6.9	-0.46	90.0
-490	4791	4981	0.9	6.5	-0.39	90.0
-480	4937	4978	0.3	5.9	-0.10	90.0
-470	5180	5105	-0.8	4.8	0.39	85.9
-460	5228	4455	-2.8	3.1	1.46	62.5
-450	5196	4566	-3.3	2.7	1.73	43.5
-440	4937	4806	-3.1	2.9	1.61	43.2
-430	4468	4895	-2.8	3.2	1.47	43.2
-420	4176	4004	-2.4	3.4	1.25	75.0
-410	3658	3179	-1.4	4.0	0.74	90.0
-400	3594	3261	-0.8	4.7	0.43	90.0
-390	3642	3875	-0.1	5.7	0.10	90.0
-380	3658	4407	0.4	5.9	-0.17	61.1
-370	3189	2316	-0.1	4.9	0.09	61.4
-360	2946	1768	-0.5	3.8	0.29	90.0
-350	2817	1249	-1.0	3.2	0.51	60.8
-340	1619	779	-1.5	2.1	0.78	60.5
-330	745	481	-1.5	1.4	0.77	49.7
-320	502	385	-2.0	0.2	1.00	49.4
-310	291	361	-2.6	-0.4	1.31	49.4
-300	340	360	-2.4	-0.4	1.22	32.4
-290	356	382	-2.1	-0.2	1.08	32.1
-280	388	362	-1.9	0.2	0.94	32.4
-270	340	415	-0.1	2.0	0.09	67.2
-260	550	539	2.2	3.4	-1.08	67.2
-250	923	1752	1.9	5.5	-0.89	90.0
-240	1279	2046	2.0	5.8	-1.00	90.0
-230	1392	1497	1.3	5.0	-0.64	90.0
-220	1489	1679	-0.3	3.2	0.16	90.0
-210	1392	1415	-1.3	2.3	0.68	90.0
-200	1295	1567	-1.4	2.4	0.69	72.2
-190	1149	1279	-1.4	2.1	0.71	72.5
-180	1133	1395	-2.4	1.6	1.22	60.5
-170	1408	2469	-1.8	2.7	0.88	60.8
-160	1424	2628	-1.7	3.1	0.82	90.0
-150	987	2189	-1.6	3.0	0.80	59.3
-140	1036	2361	-1.2	3.3	0.60	59.6
-130	1117	1902	-0.5	2.8	0.21	59.3
-120	1020	1756	-1.2	3.0	0.56	59.9
-110	987	1696	-0.7	3.2	0.37	59.9
-100	761	1527	0.8	4.7	-0.44	90.0
-90	599	1244	0.7	4.1	-0.36	90.0
-80	583	1205	0.1	3.6	-0.08	90.0
-70	486	922	0.5	3.5	-0.27	90.0
-60	615	807	0.3	3.2	-0.17	90.0
-50	712	915	-0.3	2.5	0.11	90.0
-40	534	595	-0.4	1.7	0.18	62.2
-30	421	408	-0.8	0.9	0.33	61.9
-20	259	333	-0.6	0.7	0.26	57.0
-10	259	285	-0.4	0.4	0.17	48.8
0	275	285	0.0	0.0	-1.38	48.8
