# EPICA Dome C Ice Cores Deuterium Data 
# -----------------------------------------------------------------------
#	World Data Center for Paleoclimatology, Boulder
#	and
#	NOAA Paleoclimatology Program
# -----------------------------------------------------------------------
# NOTE: PLEASE CITE CONTRIBUTORS WHEN USING THIS DATA!!!!!
# 
# 
# NAME OF DATA SET: EPICA Dome C Ice Cores Deuterium Data 
# LAST UPDATE: 7/2004 (Original receipt by WDC Paleo)
# 
# 
# CONTRIBUTOR: Jean Jouzel, Institut Pierre Simon Laplace/
# Laboratoire des Sciences du Climat et de l'Environnement, 
# UMR CEA-CNRS 1572, CE Saclay, Orme des Merisiers, 
# 91191Gif-Sur-Yvette, France.
# 
# 
# IGBP PAGES/WDCA CONTRIBUTION SERIES NUMBER: 2004-038
# 
# 
# SUGGESTED DATA CITATION: Jouzel, J., et al. 2004.
# EPICA Dome C Ice Cores Deuterium Data. 
# IGBP PAGES/World Data Center for Paleoclimatology 
# Data Contribution Series # 2004-038.
# NOAA/NGDC Paleoclimatology Program, Boulder CO, USA.
# 
# 
# ORIGINAL REFERENCE: EPICA community members. 2004. 
# Eight glacial cycles from an Antarctic ice core.
# Nature, Vol. 429, No 6992, pp.623-628, June 10, 2004.
# doi:10.1038/nature02599.
# 
# 
# ABSTRACT:
# The Antarctic Vostok ice core provided compelling evidence of the nature of climate, 
# and of climate feedbacks, over the past 420,000 years. Marine records suggest that 
# the amplitude of climate variability was smaller before that time, but such records 
# are often poorly resolved. Moreover, it is not possible to infer the abundance of 
# greenhouse gases in the atmosphere from marine records. Here we report the recovery 
# of a deepice core from Dome C, Antarctica, that provides a climate record for the 
# past 740,000 years. For the four most recent glacial cycles, the data agree well 
# with the record from Vostok. The earlier period, between 740,000 and 430,000 years 
# ago, was characterized by less pronounced warmth in interglacial periods in Antarctica, 
# but a higher proportion of each cycle was spent in the warm mode. The transition 
# from glacial to interglacial conditions about 430,000 years ago (Termination V) 
# resembles the transition into the present interglacial period in terms of the 
# magnitude of change in temperatures and greenhouse gases, but there are significant 
# differences in the patterns of change. The interglacial stage following Termination 
# V was exceptionally long-28,000 years compared to, for example, the 12,000 years 
# recorded so far in the present interglacial period. Given the similarities between 
# this earlier warm period and today, our results may imply that without human 
# intervention, a climate similar to the present one would extend well into the future.
# 
# 
# 
# GEOGRAPHIC REGION: Antarctica
# PERIOD OF RECORD:  0 - 741 kyr BP
# 
# 
# DESCRIPTION: 
# Deuterium data from EPICA Dome C ice cores, 6.6-3140.5 metres, 
# also presented as 3 kyr averages, 0-741 kyr.
# 
# dD was determined on meltwater from 55 cm long sections. 
# The current dataset was derived using a "quick" mode 
# (each sample is measured twice instead of four times), 
# leading to a typical accuracy of 1.5‰, whereas we aim 
# for a final precision of 0.5‰ over the entire core.  
# The data here correspond to values averaged across seven 
# successive samples (depth scale) or averaged across 
# 3000 year intervals. Ages are given on timescale EDC2 
# (EPICA Community Members, Eight glacial cycles from an 
# Antarctic ice core, Nature, 429 (6992), 623-628, 2004).
# 
# 
# 
# 
# DATA:  
# 1. Deuterium data from EPICA Dome C ice cores, 6.6-3140.5 metres.
# 
#Column 1: Depth (m) at top of averaging interval
#Column 2: Depth (m) at bottom of averaging interval
#Column 3: Age (years before 1950 on EDC2 timescale) at top of averaging interval
#Column 4: Age (years before 1950 on EDC2 timescale) at bottom of averaging interval
#Column 5: Mean age (EDC2 timescale, mean of columns 3 and 4) 
#Column 6: dD, permill
#
Depth/top	Depth/bot	Age/Top	Age/bot	Age/mean	deltaD
6.6	10.45	38	102	70	-391.2
10.45	14.3	102	175	138.5	-396.49
14.3	18.15	175	256	215.5	-398.19
18.15	22	256	333	294.5	-398.11
22	25.85	333	416.55	374.775	-400.07
25.85	29.7	416.55	504.1	460.325	-398.49
29.7	33.55	504.1	595.65	549.875	-397.83
33.55	37.4	595.65	683.6	639.625	-394.86
37.4	41.25	683.6	777.25	730.425	-400.54
41.25	45.1	777.25	866.4	821.825	-392.33
45.1	48.95	866.4	964.75	915.575	-398.81
48.95	52.8	964.75	1064.8	1014.775	-396.96
52.8	56.65	1064.8	1163.55	1114.175	-396.37
56.65	60.5	1163.55	1261.5	1212.525	-393.51
60.5	64.35	1261.5	1358.75	1310.125	-394.3
64.35	68.2	1358.75	1462.4	1410.575	-395.44
68.2	72.05	1462.4	1571.35	1516.875	-396.86
72.05	75.9	1571.35	1679.2	1625.275	-397.49
75.9	79.75	1679.2	1793.5	1736.35	-397.54
79.75	83.6	1793.5	1911.4	1852.45	-396.51
83.6	87.45	1911.4	2032.4	1971.9	-397.89
87.45	91.3	2032.4	2152.9	2092.65	-396.96
91.3	95.15	2152.9	2277.8	2215.35	-396.97
95.15	99	2277.8	2409	2343.4	-402.41
99	102.85	2409	2540.2	2474.6	-397.01
102.85	106.7	2540.2	2668.1	2604.15	-395.1
106.7	110.55	2668.1	2790.5	2729.3	-393.74
110.55	114.4	2790.5	2907.2	2848.85	-393.96
114.4	118.25	2907.2	3033.25	2970.225	-396.33
118.25	122.1	3033.25	3155.5	3094.375	-395.95
122.1	125.95	3155.5	3287.35	3221.425	-399.5
125.95	129.8	3287.35	3416.6	3351.975	-397.56
129.8	133.65	3416.6	3540.45	3478.525	-394.81
133.65	137.5	3540.45	3662	3601.225	-393.87
137.5	141.35	3662	3784.25	3723.125	-393.87
141.35	145.2	3784.25	3916	3850.125	-396.24
145.2	149.05	3916	4049.7	3982.85	-394.44
149.05	152.9	4049.7	4185.5	4117.6	-395.27
152.9	156.75	4185.5	4316.5	4251	-395.2
156.75	160.6	4316.5	4446.6	4381.55	-395
160.6	164.45	4446.6	4584.2	4515.4	-396.2
164.45	168.3	4584.2	4722.8	4653.5	-396.91
168.3	172.15	4722.8	4857.1	4789.95	-395.27
172.15	176	4857.1	4995	4926.05	-396.07
176	179.85	4995	5127.9	5061.45	-394.1
179.85	183.7	5127.9	5268.2	5198.05	-395.53
183.7	187.55	5268.2	5409.45	5338.825	-399.23
187.55	191.4	5409.45	5548.4	5478.925	-396.94
191.4	195.25	5548.4	5684.5	5616.45	-395.29
195.25	199.1	5684.5	5820.7	5752.6	-393.1
199.1	202.95	5820.7	5964.2	5892.45	-397.51
202.95	206.8	5964.2	6102	6033.1	-396.41
206.8	210.65	6102	6243.05	6172.525	-397.56
210.65	214.5	6243.05	6388	6315.525	-397.54
214.5	218.35	6388	6530.65	6459.325	-400.19
218.35	222.2	6530.65	6679.8	6605.225	-398.03
222.2	226.05	6679.8	6824.8	6752.3	-396.24
226.05	229.9	6824.8	6969.3	6897.05	-398.96
229.9	233.75	6969.3	7123.5	7046.4	-402.01
233.75	237.6	7123.5	7275.2	7199.35	-398.9
237.6	241.45	7275.2	7430	7352.6	-402.39
241.45	245.3	7430	7571.4	7500.7	-395.3
245.3	249.15	7571.4	7718.4	7644.9	-397.46
249.15	253	7718.4	7866	7792.2	-398.07
253	256.85	7866	8014.15	7940.075	-400.49
256.85	260.7	8014.15	8170.1	8092.125	-404.27
