Country	Population(1950)	Population(2015)	TFR(1950)	TFR(2015)	LEB(1950)	LEB(2015)	P(2015)/P(1950)
Africa	228.7	1194.4	6.6	4.6	36.4	61.5	5.22
Asia	1404.1	4419.9	6.0	2.2	41.2	72.4	3.15
Caribbean	17.1	43.3	5.4	2.2	50.7	73.0	2.54
Central America	38.1	172.6	6.7	2.3	47.2	76.3	4.54
Central Asia	17.4	68.7	4.6	2.6	53.8	70.3	3.94
Eastern Africa	66.8	399.5	7.1	4.7	36.1	62.9	5.98
Eastern Asia	677.6	1635.2	6.1	1.6	44.6	77.2	2.41
Eastern Europe	220.2	293.2	2.9	1.6	57.8	72.8	1.33
Europe	549.4	740.8	2.6	1.6	62.0	77.7	1.35
High-income countries	672.9	1180.1	2.9	1.7	64.3	80.8	1.75
Latin America and the Caribbean	168.9	632.4	5.9	2.1	50.0	75.2	3.74
Least developed countries	195.3	956.6	6.6	4.2	35.1	63.7	4.90
Less developed regions, excluding China	1157.2	4701.4	6.0	2.9	39.4	68.1	4.06
Less developed regions, excluding least developed countries	1526.2	5173.2	6.2	2.3	41.4	71.1	3.39
Less developed regions	1721.4	6129.8	6.2	2.6	40.5	69.8	3.56
Low-income countries	128.1	641.9	6.3	4.8	33.5	61.8	5.01
Lower-middle-income countries	778.3	2969.9	5.8	2.8	38.3	67.2	3.82
Middle Africa	26.5	153.7	6.1	5.7	36.3	58.6	5.81
Middle-income countries	1734.5	5558.3	5.8	2.4	42.2	70.6	3.20
More developed regions	814.9	1253.2	2.8	1.7	63.4	78.9	1.54
Northern Africa	49.0	225.1	6.8	3.2	40.7	71.7	4.59
Northern America	172.6	356.0	3.1	1.8	68.2	79.5	2.06
Northern Europe	78.0	103.1	2.3	1.9	68.0	81.0	1.32
Oceania	12.6	39.5	3.7	2.4	60.7	78.4	3.13
South America	113.8	416.4	5.7	2.0	51.0	75.1	3.66
South-Central Asia	510.8	1892.0	6.0	2.5	36.1	68.7	3.70
South-Eastern Asia	164.5	634.6	5.8	2.3	44.9	71.0	3.86
Southern Africa	15.5	63.4	6.1	2.6	46.5	61.8	4.08
Southern Asia	493.3	1823.3	6.0	2.4	35.7	68.6	3.70
Southern Europe	108.7	152.4	2.8	1.4	62.6	81.6	1.40
Sub-Saharan Africa	179.6	969.2	6.6	4.9	35.5	59.3	5.40
Upper-middle-income countries	956.2	2588.4	5.8	1.8	45.7	74.9	2.71
Western Africa	70.9	352.6	6.4	5.4	32.8	55.9	4.98
Western Asia	51.2	258.1	6.4	2.8	42.5	73.3	5.04
Western Europe	142.5	192.0	2.4	1.7	67.0	81.5	1.35
World	2536.3	7383.0	5.0	2.5	45.8	71.4	2.91
