Year	RCP_8_5	RCP_6	RCP_4_5	RCP_2_6
2000	6.834	7.034	7.335	7.135
2005	7.887	8.138	7.987	7.837
2010	8.99	8.539	8.589	8.739
2015	10.244	8.789	9.291	9.191
2020	11.648	8.99	9.893	9.441
2025	12.701	9.491	10.444	8.138
2030	13.804	9.993	10.946	7.085
2035	15.258	10.745	11.297	5.731
2040	16.662	11.497	11.196	4.527
2045	18.417	12.299	11.246	3.825
2050	20.172	13.052	10.996	3.123
2055	21.777	13.904	10.193	2.221
2060	23.582	14.807	9.291	1.418
2065	24.785	15.659	8.188	0.766
2070	26.039	16.461	6.984	0.115
2075	26.891	16.963	5.43	0
2080	27.443	17.163	4.226	0
2085	28.044	15.659	4.226	0
2090	28.446	14.355	4.226	0
2095	28.696	14.105	4.226	0
2100	28.746	13.653	4.176	0
2105	28.847	12.701	3.625	0
2110	28.797	11.648	3.073	0
2115	28.797	10.645	2.722	0
2120	28.797	9.592	2.321	0
2125	28.847	8.589	2.17	0
2130	28.797	7.536	2.02	0
2135	28.797	6.483	1.87	0
2140	28.847	5.48	1.719	0
2145	28.797	4.477	1.619	0
2150	28.746	3.524	1.569	0
2155	27.393	3.223	1.569	0
2160	25.938	2.973	1.519	0
2165	24.585	2.772	1.468	0
2170	23.431	2.622	1.418	0
2175	21.927	2.471	1.368	0
2180	20.673	2.321	1.318	0
2185	19.319	2.221	1.268	0
2190	17.865	2.12	1.218	0
2195	16.662	2.02	1.168	0
2200	15.208	1.92	1.168	0
