year,GPA_Indostan
1800,0.000
1801,0.000
1802,0.000
1803,0.000
1804,0.000
1805,0.000
1806,0.000
1807,0.000
1808,0.000
1809,0.000
1810,0.000
1811,0.000
1812,0.000
1813,0.000
1814,0.000
1815,0.000
1816,0.000
1817,0.000
1818,0.000
1819,0.000
1820,0.000
1821,0.000
1822,0.000
1823,0.000
1824,0.000
1825,0.000
1826,0.000
1827,0.000
1828,0.000
1829,0.000
1830,0.000
1831,0.000
1832,0.000
1833,0.000
1834,0.000
1835,0.000
1836,0.000
1837,0.000
1838,0.000
1839,0.000
1840,0.000
1841,0.000
1842,0.000
1843,0.000
1844,0.000
1845,0.000
1846,0.000
1847,0.000
1848,0.000
1849,0.000
1850,0.000
1851,0.000
1852,0.000
1853,0.000
1854,0.000
1855,0.000
1856,0.000
1857,0.000
1858,0.000
1859,0.000
1860,0.000
1861,0.000
1862,0.000
1863,0.000
1864,0.000
1865,0.000
1866,0.000
1867,0.000
1868,0.000
1869,0.000
1870,0.000
1871,0.000
1872,0.000
1873,0.000
1874,0.000
1875,0.000
1876,0.000
1877,0.000
1878,0.000
1879,0.000
1880,0.000
1881,0.000
1882,0.000
1883,0.000
1884,0.000
1885,0.000
1886,0.000
1887,0.000
1888,0.000
1889,0.000
1890,0.000
1891,0.000
1892,0.000
1893,0.000
1894,0.000
1895,0.000
1896,0.000
1897,0.000
1898,0.000
1899,0.000
1900,0.000
1901,0.000
1902,0.000
1903,0.000
1904,0.000
1905,0.000
1906,0.000
1907,0.000
1908,0.000
1909,0.000
1910,0.000
1911,0.000
1912,0.000
1913,0.000
1914,0.000
1915,0.000
1916,0.000
1917,0.000
1918,0.000
1919,0.000
1920,0.000
1921,0.000
1922,0.000
1923,0.000
1924,0.000
1925,0.000
1926,0.000
1927,0.000
1928,0.000
1929,0.000
1930,0.000
1931,0.000
1932,0.000
1933,0.000
1934,0.000
1935,0.000
1936,0.000
1937,0.000
1938,0.000
1939,0.000
1940,0.000
1941,0.000
1942,0.000
1943,0.000
1944,0.000
1945,0.000
1946,0.000
1947,0.000
1948,0.000
1949,0.000
1950,459.807
1951,467.108
1952,474.845
1953,483.018
1954,491.627
1955,500.673
1956,510.159
1957,520.086
1958,530.459
1959,541.281
1960,552.553
1961,564.277
1962,576.449
1963,589.065
1964,602.116
1965,615.595
1966,629.512
1967,643.867
1968,658.637
1969,673.793
1970,689.319
1971,705.204
1972,721.473
1973,738.189
1974,755.440
1975,773.287
1976,791.738
1977,810.775
1978,830.413
1979,850.662
1980,871.517
1981,892.974
1982,914.994
1983,937.488
1984,960.341
1985,983.455
1986,1006.797
1987,1030.345
1988,1054.032
1989,1077.785
1990,1101.554
1991,1125.282
1992,1148.967
1993,1172.674
1994,1196.503
1995,1220.520
1996,1244.733
1997,1269.088
1998,1293.515
1999,1317.918
2000,1342.218
2001,1366.387
2002,1390.416
2003,1414.268
2004,1437.907
2005,1461.303
2006,1484.437
2007,1507.300
2008,1529.888
2009,1552.204
2010,1574.253
2011,1596.022
2012,1617.515
2013,1638.771
2014,1659.843
2015,1680.768
2016,1701.553
2017,1722.179
2018,1742.628
2019,1762.870
2020,1782.878
2021,1802.641
2022,1822.145
2023,1841.352
2024,1860.216
2025,1878.700
2026,1896.779
2027,1914.443
2028,1931.676
2029,1948.467
2030,1964.805
2031,1980.680
2032,1996.079
2033,2010.988
2034,2025.394
2035,2039.286
2036,2052.657
2037,2065.507
2038,2077.850
2039,2089.706
2040,2101.089
2041,2112.004
2042,2122.447
2043,2132.422
2044,2141.930
2045,2150.971
2046,2159.548
2047,2167.662
2048,2175.313
2049,2182.497
2050,2189.214
2051,2195.466
2052,2201.252
2053,2206.570
2054,2211.413
2055,2215.779
2056,2219.668
2057,2223.085
2058,2226.035
2059,2228.524
2060,2230.559
2061,2232.146
2062,2233.292
2063,2233.999
2064,2234.272
2065,2234.117
2066,2233.540
2067,2232.555
2068,2231.178
2069,2229.430
2070,2227.329
2071,2224.888
2072,2222.119
2073,2219.031
2074,2215.636
2075,2211.944
2076,2207.969
2077,2203.722
2078,2199.217
2079,2194.469
2080,2189.490
2081,2184.292
2082,2178.886
2083,2173.285
2084,2167.500
2085,2161.543
2086,2155.426
2087,2149.159
2088,2142.746
2089,2136.190
2090,2129.494
2091,2122.669
2092,2115.725
2093,2108.679
2094,2101.545
2095,2094.338
2096,2087.071
2097,2079.756
2098,2072.404
2099,2065.023
2100,2057.621
