#
# COVID-19 Country file (official WHO count)
# Country = Afghanistan
# Latitude = 34.0
# Population = 34135.635
# Territory = 652864.0
# LEB = 64.8
# DPA = 239000
# DPA65 = 59750
# GDP = 551.0
# GDP_PPP = 2012.0
# COVID-19 Mortality = 103.3
# First_Case = 2020_02_25
# Last_Case = 2021_06_13
# First_Death = 2020_03_23
# Last_Death = 2021_06_13
# Status as of 2021_06_13 = Community transmission
# Vaccine type = Oxford/AstraZeneca
# Vaccine start = 2021_02_22
#
Date	Conf_Cases	Conf_Deaths	Daily_Cases	Daily_Deaths
2020_02_25	       1	       0	       1	       0
2020_02_26	       1	       0	       0	       0
2020_02_27	       1	       0	       0	       0
2020_02_28	       1	       0	       0	       0
2020_02_29	       1	       0	       0	       0
2020_03_01	       1	       0	       0	       0
2020_03_02	       1	       0	       0	       0
2020_03_03	       1	       0	       0	       0
2020_03_04	       1	       0	       0	       0
2020_03_05	       1	       0	       0	       0
2020_03_06	       1	       0	       0	       0
2020_03_07	       1	       0	       0	       0
2020_03_08	       4	       0	       3	       0
2020_03_09	       4	       0	       0	       0
2020_03_10	       4	       0	       0	       0
2020_03_11	       4	       0	       0	       0
2020_03_12	       7	       0	       3	       0
2020_03_13	       7	       0	       0	       0
2020_03_14	       7	       0	       0	       0
2020_03_15	      10	       0	       3	       0
2020_03_16	      16	       0	       6	       0
2020_03_17	      21	       0	       5	       0
2020_03_18	      22	       0	       1	       0
2020_03_19	      22	       0	       0	       0
2020_03_20	      22	       0	       0	       0
2020_03_21	      24	       0	       2	       0
2020_03_22	      24	       0	       0	       0
2020_03_23	      40	       1	      16	       1
2020_03_24	      42	       1	       2	       0
2020_03_25	      74	       1	      32	       0
2020_03_26	      80	       2	       6	       1
2020_03_27	      80	       2	       0	       0
2020_03_28	     106	       2	      26	       0
2020_03_29	     114	       4	       8	       2
2020_03_30	     114	       4	       0	       0
2020_03_31	     166	       4	      52	       0
2020_04_01	     192	       4	      26	       0
2020_04_02	     235	       4	      43	       0
2020_04_03	     269	       5	      34	       1
2020_04_04	     270	       5	       1	       0
2020_04_05	     299	       7	      29	       2
2020_04_06	     337	       7	      38	       0
2020_04_07	     367	      11	      30	       4
2020_04_08	     423	      14	      56	       3
2020_04_09	     444	      15	      21	       1
2020_04_10	     521	      15	      77	       0
2020_04_11	     521	      15	       0	       0
2020_04_12	     555	      18	      34	       3
2020_04_13	     607	      19	      52	       1
2020_04_14	     665	      22	      58	       3
2020_04_15	     770	      25	     105	       3
2020_04_16	     794	      29	      24	       4
2020_04_17	     845	      30	      51	       1
2020_04_18	     908	      30	      63	       0
2020_04_19	     933	      30	      25	       0
2020_04_20	     996	      33	      63	       3
2020_04_21	    1026	      36	      30	       3
2020_04_22	    1092	      36	      66	       0
2020_04_23	    1176	      40	      84	       4
2020_04_24	    1226	      40	      50	       0
2020_04_25	    1330	      43	     104	       3
2020_04_26	    1463	      49	     133	       6
2020_04_27	    1531	      50	      68	       1
2020_04_28	    1703	      60	     172	      10
2020_04_29	    1827	      60	     124	       0
2020_04_30	    1827	      60	       0	       0
2020_05_01	    2171	      64	     344	       4
2020_05_02	    2469	      72	     298	       8
2020_05_03	    2469	      72	       0	       0
2020_05_04	    2469	      72	       0	       0
2020_05_05	    2469	      72	       0	       0
2020_05_06	    3224	      95	     755	      23
2020_05_07	    3392	     104	     168	       9
2020_05_08	    3563	     105	     171	       1
2020_05_09	    3563	     105	       0	       0
2020_05_10	    4402	     119	     839	      14
2020_05_11	    4664	     120	     262	       1
2020_05_12	    4967	     127	     303	       7
2020_05_13	    4967	     127	       0	       0
2020_05_14	    5339	     136	     372	       9
2020_05_15	    6053	     153	     714	      17
2020_05_16	    6402	     168	     349	      15
2020_05_17	    6635	     169	     233	       1
2020_05_18	    7072	     173	     437	       4
2020_05_19	    7655	     177	     583	       4
2020_05_20	    8145	     187	     490	      10
2020_05_21	    8676	     193	     531	       6
2020_05_22	    9216	     205	     540	      12
2020_05_23	    9866	     211	     650	       6
2020_05_24	   10582	     218	     716	       7
2020_05_25	   11094	     219	     512	       1
2020_05_26	   11831	     220	     737	       1
2020_05_27	   12379	     226	     548	       6
2020_05_28	   13016	     235	     637	       9
2020_05_29	   13659	     246	     643	      11
2020_05_30	   14443	     248	     784	       2
2020_05_31	   15094	     250	     651	       2
2020_06_01	   15750	     265	     656	      15
2020_06_02	   16492	     270	     742	       5
2020_06_03	   17267	     294	     775	      24
2020_06_04	   17891	     299	     624	       5
2020_06_05	   18969	     309	    1078	      10
2020_06_06	   19551	     327	     582	      18
2020_06_07	   20342	     357	     791	      30
2020_06_08	   20917	     369	     575	      12
2020_06_09	   21222	     376	     305	       7
2020_06_10	   22142	     405	     920	      29
2020_06_11	   22890	     426	     748	      21
2020_06_12	   23546	     446	     656	      20
2020_06_13	   24102	     451	     556	       5
2020_06_14	   24766	     471	     664	      20
2020_06_15	   25527	     476	     761	       5
2020_06_16	   25633	     484	     106	       8
2020_06_17	   26874	     504	    1241	      20
2020_06_18	   27337	     546	     463	      42
2020_06_19	   27878	     548	     541	       2
2020_06_20	   28297	     548	     419	       0
2020_06_21	   28833	     581	     536	      33
2020_06_22	   29143	     598	     310	      17
2020_06_23	   29481	     618	     338	      20
2020_06_24	   29640	     639	     159	      21
2020_06_25	   30175	     675	     535	      36
2020_06_26	   30260	     680	      85	       5
2020_06_27	   30616	     703	     356	      23
2020_06_28	   30967	     729	     351	      26
2020_06_29	   31238	     733	     271	       4
2020_06_30	   31238	     733	       0	       0
2020_07_01	   31762	     774	     524	      41
2020_07_02	   32022	     807	     260	      33
2020_07_03	   32324	     819	     302	      12
2020_07_04	   32672	     826	     348	       7
2020_07_05	   32951	     864	     279	      38
2020_07_06	   33064	     887	     113	      23
2020_07_07	   33384	     920	     320	      33
2020_07_08	   33594	     936	     210	      16
2020_07_09	   33653	     937	      59	       1
2020_07_10	   34194	     971	     541	      34
2020_07_11	   34351	     975	     157	       4
2020_07_12	   34451	    1010	     100	      35
2020_07_13	   34451	    1010	       0	       0
2020_07_14	   34740	    1045	     289	      35
2020_07_15	   34940	    1094	     200	      49
2020_07_16	   35070	    1113	     130	      19
2020_07_17	   35229	    1147	     159	      34
2020_07_18	   35289	    1147	      60	       0
2020_07_19	   35475	    1181	     186	      34
2020_07_20	   35509	    1183	      34	       2
2020_07_21	   35615	    1184	     106	       1
2020_07_22	   35727	    1190	     112	       6
2020_07_23	   35915	    1211	     188	      21
2020_07_24	   35981	    1225	      66	      14
2020_07_25	   36036	    1246	      55	      21
2020_07_26	   36036	    1246	       0	       0
2020_07_27	   36263	    1269	     227	      23
2020_07_28	   36368	    1270	     105	       1
2020_07_29	   36471	    1271	     103	       1
2020_07_30	   36542	    1271	      71	       0
2020_07_31	   36542	    1271	       0	       0
2020_08_01	   36710	    1283	     168	      12
2020_08_02	   36710	    1283	       0	       0
2020_08_03	   36710	    1283	       0	       0
2020_08_04	   36747	    1288	      37	       5
2020_08_05	   36829	    1294	      82	       6
2020_08_06	   36896	    1298	      67	       4
2020_08_07	   36937	    1298	      41	       0
2020_08_08	   37015	    1307	      78	       9
2020_08_09	   37054	    1312	      39	       5
2020_08_10	   37054	    1312	       0	       0
2020_08_11	   37269	    1344	     215	      32
2020_08_12	   37345	    1354	      76	      10
2020_08_13	   37424	    1363	      79	       9
2020_08_14	   37431	    1363	       7	       0
2020_08_15	   37551	    1370	     120	       7
2020_08_16	   37596	    1375	      45	       5
2020_08_17	   37653	    1376	      57	       1
2020_08_18	   37711	    1378	      58	       2
2020_08_19	   37768	    1380	      57	       2
2020_08_20	   37826	    1381	      58	       1
2020_08_21	   37883	    1383	      57	       2
2020_08_22	   37941	    1385	      58	       2
2020_08_23	   37999	    1387	      58	       2
2020_08_24	   38019	    1389	      20	       2
2020_08_25	   38040	    1391	      21	       2
2020_08_26	   38060	    1393	      20	       2
2020_08_27	   38081	    1395	      21	       2
2020_08_28	   38101	    1397	      20	       2
2020_08_29	   38122	    1399	      21	       2
2020_08_30	   38143	    1402	      21	       3
2020_08_31	   38179	    1403	      36	       1
2020_09_01	   38215	    1404	      36	       1
2020_09_02	   38252	    1406	      37	       2
2020_09_03	   38288	    1407	      36	       1
2020_09_04	   38325	    1409	      37	       2
2020_09_05	   38361	    1410	      36	       1
2020_09_06	   38398	    1412	      37	       2
2020_09_07	   38432	    1413	      34	       1
2020_09_08	   38467	    1414	      35	       1
2020_09_09	   38502	    1415	      35	       1
2020_09_10	   38536	    1416	      34	       1
2020_09_11	   38571	    1417	      35	       1
2020_09_12	   38606	    1418	      35	       1
2020_09_13	   38641	    1420	      35	       2
2020_09_14	   38698	    1423	      57	       3
2020_09_15	   38756	    1426	      58	       3
2020_09_16	   38813	    1429	      57	       3
2020_09_17	   38871	    1432	      58	       3
2020_09_18	   38928	    1435	      57	       3
2020_09_19	   38986	    1438	      58	       3
2020_09_20	   39044	    1441	      58	       3
2020_09_21	   39070	    1442	      26	       1
2020_09_22	   39096	    1444	      26	       2
2020_09_23	   39122	    1446	      26	       2
2020_09_24	   39148	    1447	      26	       1
2020_09_25	   39174	    1449	      26	       2
2020_09_26	   39200	    1451	      26	       2
2020_09_27	   39227	    1453	      27	       2
2020_09_28	   39243	    1454	      16	       1
2020_09_29	   39259	    1455	      16	       1
2020_09_30	   39275	    1456	      16	       1
2020_10_01	   39292	    1458	      17	       2
2020_10_02	   39308	    1459	      16	       1
2020_10_03	   39324	    1460	      16	       1
2020_10_04	   39341	    1462	      17	       2
2020_10_05	   39406	    1464	      65	       2
2020_10_06	   39471	    1466	      65	       2
