#
# COVID-19 Country file (official WHO count)
# Country = Albania
# Latitude = 41.0
# Population = 2942.034
# Territory = 28748.0
# LEB = 78.6
# DPA = 23000
# DPA65 = 18170
# GDP = 5030.0
# GDP_PPP = 13577.0
# COVID-19 Mortality = 83.3
# First_Case = 2020_03_09
# First_Death = 2020_03_14
# Last_Case = 2020_03_14
# Last_Death = 2020_03_14
# Status as of 2020_08_23 = Clusters of cases
#
Date	Conf_Cases	Conf_Deaths
2020_03_09	2	0
2020_03_10	2	0
2020_03_11	10	0
2020_03_12	10	0
2020_03_13	23	0
2020_03_14	33	1
2020_03_15	38	1
2020_03_16	42	1
2020_03_17	51	1
2020_03_18	55	1
2020_03_19	59	2
2020_03_20	70	2
2020_03_21	70	2
2020_03_22	76	2
2020_03_23	89	2
2020_03_24	123	4
2020_03_25	146	5
2020_03_26	174	5
2020_03_27	186	8
2020_03_28	197	9
2020_03_29	212	10
2020_03_30	223	10
2020_03_31	223	11
2020_04_01	243	13
2020_04_02	277	15
2020_04_03	277	16
2020_04_04	333	17
2020_04_05	333	18
2020_04_06	377	21
2020_04_07	377	22
2020_04_08	400	22
2020_04_09	409	22
2020_04_10	416	23
2020_04_11	416	23
2020_04_12	446	23
2020_04_13	446	23
2020_04_14	475	23
2020_04_15	475	24
2020_04_16	494	25
2020_04_17	518	26
2020_04_18	548	26
2020_04_19	548	26
2020_04_20	562	26
2020_04_21	609	26
2020_04_22	634	26
2020_04_23	634	27
2020_04_24	678	28
2020_04_25	678	28
2020_04_26	712	27
2020_04_27	726	28
2020_04_28	736	28
2020_04_29	766	30
2020_04_30	773	31
2020_05_01	773	31
2020_05_02	789	31
2020_05_03	795	31
2020_05_04	795	31
2020_05_05	803	31
2020_05_06	832	31
2020_05_07	832	31
2020_05_08	850	31
2020_05_09	856	31
2020_05_10	868	31
2020_05_11	868	31
2020_05_12	872	31
2020_05_13	876	31
2020_05_14	880	31
2020_05_15	898	31
2020_05_16	933	31
2020_05_17	946	31
2020_05_18	948	31
2020_05_19	948	31
2020_05_20	964	31
2020_05_21	969	31
2020_05_22	969	31
2020_05_23	981	31
2020_05_24	989	32
2020_05_25	1004	32
2020_05_26	1029	33
2020_05_27	1050	33
2020_05_28	1076	33
2020_05_29	1099	33
2020_05_30	1122	33
2020_05_31	1136	33
2020_06_01	1143	33
2020_06_02	1164	33
2020_06_03	1176	33
2020_06_04	1197	33
2020_06_05	1212	33
2020_06_06	1232	34
2020_06_07	1246	34
2020_06_08	1263	34
2020_06_09	1299	34
2020_06_10	1341	34
2020_06_11	1385	34
2020_06_12	1416	36
2020_06_13	1464	36
2020_06_14	1521	36
2020_06_15	1590	36
2020_06_16	1672	37
2020_06_17	1722	38
2020_06_18	1788	39
2020_06_19	1838	42
2020_06_20	1838	42
2020_06_21	1891	43
2020_06_22	1995	44
2020_06_23	2047	45
2020_06_24	2114	47
2020_06_25	2192	48
2020_06_26	2269	51
2020_06_27	2330	53
2020_06_28	2402	55
2020_06_29	2466	58
2020_06_30	2535	62
2020_07_01	2580	65
2020_07_02	2662	69
2020_07_03	2752	72
2020_07_04	2819	74
2020_07_05	2893	76
2020_07_06	2964	79
2020_07_07	3038	81
2020_07_08	3106	83
2020_07_09	3188	83
2020_07_10	3278	85
2020_07_11	3371	89
2020_07_12	3371	89
2020_07_13	3571	95
2020_07_14	3667	97
2020_07_15	3752	101
2020_07_16	3851	104
2020_07_17	3906	107
2020_07_18	3906	107
2020_07_19	4008	111
2020_07_20	4090	112
2020_07_21	4171	113
2020_07_22	4290	117
2020_07_23	4358	120
2020_07_24	4466	123
2020_07_25	4570	128
2020_07_26	4570	128
2020_07_27	4763	138
2020_07_28	4880	144
2020_07_29	4997	148
2020_07_30	5105	150
2020_07_31	5197	154
2020_08_01	5276	157
2020_08_02	5396	161
2020_08_03	5519	166
2020_08_04	5620	172
2020_08_05	5750	176
2020_08_06	5889	182
2020_08_07	6016	188
2020_08_08	6151	189
2020_08_09	6275	193
2020_08_10	6411	199
2020_08_11	6536	200
2020_08_12	6676	205
2020_08_13	6817	208
2020_08_14	6971	213
2020_08_15	7117	219
2020_08_16	7260	225
2020_08_17	7405	227
2020_08_18	7550	229
2020_08_19	7695	231
2020_08_20	7840	233
2020_08_21	7985	235
2020_08_22	8130	237
2020_08_23	8275	245
