#
# COVID-19 Country file (official WHO count)
# Country = Angola
# Latitude = -9.0
# Population = 32827.401
# Territory = 1246700.0
# LEB = 61.1
# DPA = 255000
# DPA65 = 51000
# GDP = 3572.0
# GDP_PPP = 6672.0
# COVID-19 Mortality = 2.9
# First_Case = 2020_03_22
# First_Death = 2020_04_01
# Last_Case = 2020_04_01
# Last_Death = 2020_04_01
# Status as of 2020_08_23 = Clusters of cases
#
Date	Conf_Cases	Conf_Deaths
2020_03_22	2	0
2020_03_23	2	0
2020_03_24	2	0
2020_03_25	2	0
2020_03_26	2	0
2020_03_27	2	0
2020_03_28	2	0
2020_03_29	2	0
2020_03_30	2	0
2020_03_31	2	0
2020_04_01	7	2
2020_04_02	8	2
2020_04_03	8	2
2020_04_04	10	2
2020_04_05	10	2
2020_04_06	14	2
2020_04_07	16	2
2020_04_08	17	2
2020_04_09	19	2
2020_04_10	19	2
2020_04_11	19	2
2020_04_12	19	2
2020_04_13	19	2
2020_04_14	19	2
2020_04_15	19	2
2020_04_16	19	2
2020_04_17	19	2
2020_04_18	19	2
2020_04_19	19	2
2020_04_20	19	2
2020_04_21	24	2
2020_04_22	24	2
2020_04_23	24	2
2020_04_24	25	2
2020_04_25	25	2
2020_04_26	25	2
2020_04_27	26	2
2020_04_28	27	2
2020_04_29	27	2
2020_04_30	27	2
2020_05_01	27	2
2020_05_02	29	2
2020_05_03	35	2
2020_05_04	35	2
2020_05_05	35	2
2020_05_06	36	2
2020_05_07	36	2
2020_05_08	36	2
2020_05_09	36	2
2020_05_10	43	2
2020_05_11	45	2
2020_05_12	45	2
2020_05_13	45	2
2020_05_14	45	2
2020_05_15	48	2
2020_05_16	48	2
2020_05_17	48	2
2020_05_18	48	2
2020_05_19	50	2
2020_05_20	52	3
2020_05_21	58	3
2020_05_22	60	3
2020_05_23	60	3
2020_05_24	60	3
2020_05_25	69	4
2020_05_26	69	4
2020_05_27	71	4
2020_05_28	71	4
2020_05_29	73	4
2020_05_30	81	4
2020_05_31	84	4
2020_06_01	86	4
2020_06_02	86	4
2020_06_03	86	4
2020_06_04	86	4
2020_06_05	86	4
2020_06_06	86	4
2020_06_07	86	4
2020_06_08	91	4
2020_06_09	92	4
2020_06_10	96	4
2020_06_11	113	4
2020_06_12	118	5
2020_06_13	130	5
2020_06_14	138	6
2020_06_15	140	6
2020_06_16	142	6
2020_06_17	142	6
2020_06_18	155	7
2020_06_19	166	8
2020_06_20	166	8
2020_06_21	172	8
2020_06_22	176	9
2020_06_23	183	9
2020_06_24	189	10
2020_06_25	197	10
2020_06_26	212	10
2020_06_27	212	10
2020_06_28	259	10
2020_06_29	267	11
2020_06_30	276	11
2020_07_01	284	13
2020_07_02	291	15
2020_07_03	315	17
2020_07_04	328	18
2020_07_05	346	19
2020_07_06	353	19
2020_07_07	353	19
2020_07_08	386	21
2020_07_09	396	22
2020_07_10	458	23
2020_07_11	462	23
2020_07_12	483	25
2020_07_13	506	26
2020_07_14	525	26
2020_07_15	541	26
2020_07_16	576	27
2020_07_17	607	28
2020_07_18	638	29
2020_07_19	687	29
2020_07_20	705	29
2020_07_21	749	29
2020_07_22	779	30
2020_07_23	812	33
2020_07_24	851	33
2020_07_25	880	35
2020_07_26	880	35
2020_07_27	932	40
2020_07_28	950	41
2020_07_29	1000	47
2020_07_30	1078	48
2020_07_31	1109	51
2020_08_01	1109	51
2020_08_02	1148	52
2020_08_03	1164	54
2020_08_04	1280	58
2020_08_05	1344	59
2020_08_06	1395	62
2020_08_07	1483	64
2020_08_08	1538	67
2020_08_09	1572	70
2020_08_10	1672	75
2020_08_11	1679	78
2020_08_12	1735	80
2020_08_13	1762	80
2020_08_14	1815	83
2020_08_15	1852	86
2020_08_16	1879	86
2020_08_17	1915	87
2020_08_18	1951	88
2020_08_19	1987	89
2020_08_20	2023	90
2020_08_21	2059	91
2020_08_22	2095	92
2020_08_23	2134	94
