#
# COVID-19 Country file (official WHO count)
# Country = Antigua and Barbuda
# Latitude = 17.0
# Population = 105.110
# Territory = 442.6
# LEB = 77.0
# DPA = 1000
# DPA65 = 660
# GDP = 16546.0
# GDP_PPP = 27920.0
# COVID-19 Mortality = 28.5
# First_Case = 2020_03_14
# First_Death = 2020_04_09
# Last_Case = 2020_04_09
# Last_Death = 2020_04_09
# Status as of 2020_08_23 = Clusters of cases
#
Date	Conf_Cases	Conf_Deaths
2020_03_14	1	0
2020_03_15	1	0
2020_03_16	1	0
2020_03_17	1	0
2020_03_18	1	0
2020_03_19	1	0
2020_03_20	1	0
2020_03_21	1	0
2020_03_22	1	0
2020_03_23	1	0
2020_03_24	1	0
2020_03_25	3	0
2020_03_26	3	0
2020_03_27	3	0
2020_03_28	7	0
2020_03_29	7	0
2020_03_30	7	0
2020_03_31	7	0
2020_04_01	7	0
2020_04_02	7	0
2020_04_03	7	0
2020_04_04	7	0
2020_04_05	7	0
2020_04_06	7	0
2020_04_07	15	0
2020_04_08	15	0
2020_04_09	19	2
2020_04_10	19	2
2020_04_11	19	2
2020_04_12	21	2
2020_04_13	21	2
2020_04_14	23	2
2020_04_15	23	2
2020_04_16	23	2
2020_04_17	23	2
2020_04_18	23	2
2020_04_19	23	2
2020_04_20	23	3
2020_04_21	23	3
2020_04_22	23	3
2020_04_23	24	3
2020_04_24	24	3
2020_04_25	24	3
2020_04_26	24	3
2020_04_27	24	3
2020_04_28	24	3
2020_04_29	24	3
2020_04_30	24	3
2020_05_01	24	3
2020_05_02	24	3
2020_05_03	24	3
2020_05_04	25	3
2020_05_05	25	3
2020_05_06	25	3
2020_05_07	25	3
2020_05_08	25	3
2020_05_09	25	3
2020_05_10	25	3
2020_05_11	25	3
2020_05_12	25	3
2020_05_13	25	3
2020_05_14	25	3
2020_05_15	25	3
2020_05_16	25	3
2020_05_17	25	3
2020_05_18	25	3
2020_05_19	25	3
2020_05_20	25	3
2020_05_21	25	3
2020_05_22	25	3
2020_05_23	25	3
2020_05_24	25	3
2020_05_25	25	3
2020_05_26	25	3
2020_05_27	25	3
2020_05_28	25	3
2020_05_29	25	3
2020_05_30	25	3
2020_05_31	25	3
2020_06_01	25	3
2020_06_02	25	3
2020_06_03	25	3
2020_06_04	25	3
2020_06_05	25	3
2020_06_06	25	3
2020_06_07	25	3
2020_06_08	25	3
2020_06_09	25	3
2020_06_10	25	3
2020_06_11	25	3
2020_06_12	25	3
2020_06_13	25	3
2020_06_14	26	3
2020_06_15	26	3
2020_06_16	26	3
2020_06_17	26	3
2020_06_18	26	3
2020_06_19	26	3
2020_06_20	26	3
2020_06_21	26	3
2020_06_22	26	3
2020_06_23	26	3
2020_06_24	26	3
2020_06_25	26	3
2020_06_26	26	3
2020_06_27	26	3
2020_06_28	26	3
2020_06_29	65	3
2020_06_30	65	3
2020_07_01	66	3
2020_07_02	66	3
2020_07_03	68	3
2020_07_04	68	3
2020_07_05	68	3
2020_07_06	68	3
2020_07_07	68	3
2020_07_08	70	3
2020_07_09	70	3
2020_07_10	73	3
2020_07_11	73	3
2020_07_12	74	3
2020_07_13	74	3
2020_07_14	74	3
2020_07_15	74	3
2020_07_16	74	3
2020_07_17	74	3
2020_07_18	74	3
2020_07_19	76	3
2020_07_20	76	3
2020_07_21	76	3
2020_07_22	76	3
2020_07_23	76	3
2020_07_24	76	3
2020_07_25	76	3
2020_07_26	76	3
2020_07_27	82	3
2020_07_28	82	3
2020_07_29	86	3
2020_07_30	86	3
2020_07_31	91	3
2020_08_01	91	3
2020_08_02	91	3
2020_08_03	91	3
2020_08_04	91	3
2020_08_05	92	3
2020_08_06	92	3
2020_08_07	92	3
2020_08_08	92	3
2020_08_09	92	3
2020_08_10	92	3
2020_08_11	92	3
2020_08_12	92	3
2020_08_13	92	3
2020_08_14	92	3
2020_08_15	93	3
2020_08_16	93	3
2020_08_17	93	3
2020_08_18	93	3
2020_08_19	93	3
2020_08_20	93	3
2020_08_21	93	3
2020_08_22	93	3
2020_08_23	94	3
