#
# COVID-19 Country file (official WHO count)
# Country = Argentina
# Latitude = -37.0
# Population = 45510.399
# Territory = 2780400.0
# LEB = 76.7
# DPA = 340000
# DPA65 = 244800
# GDP = 11990.0
# GDP_PPP = 20427.0
# COVID-19 Mortality = 1859.5
# First_Case = 2020_03_04
# Last_Case = 2021_06_13
# First_Death = 2020_03_08
# Last_Death = 2021_06_13
# Status as of 2021_06_13 = Community transmission
# Vaccine type = Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V
# Vaccine start = 2020_12_29
#
Date	Conf_Cases	Conf_Deaths	Daily_Cases	Daily_Deaths
2020_03_04	       1	       0	       1	       0
2020_03_05	       1	       0	       0	       0
2020_03_06	       1	       0	       0	       0
2020_03_07	       2	       0	       1	       0
2020_03_08	       9	       1	       7	       1
2020_03_09	      12	       1	       3	       0
2020_03_10	      12	       1	       0	       0
2020_03_11	      17	       1	       5	       0
2020_03_12	      19	       1	       2	       0
2020_03_13	      31	       1	      12	       0
2020_03_14	      34	       2	       3	       1
2020_03_15	      45	       2	      11	       0
2020_03_16	      56	       2	      11	       0
2020_03_17	      65	       2	       9	       0
2020_03_18	      65	       2	       0	       0
2020_03_19	      79	       2	      14	       0
2020_03_20	      97	       2	      18	       0
2020_03_21	     128	       3	      31	       1
2020_03_22	     158	       3	      30	       0
2020_03_23	     225	       4	      67	       1
2020_03_24	     266	       4	      41	       0
2020_03_25	     301	       4	      35	       0
2020_03_26	     387	       6	      86	       2
2020_03_27	     502	       8	     115	       2
2020_03_28	     589	      12	      87	       4
2020_03_29	     690	      17	     101	       5
2020_03_30	     745	      19	      55	       2
2020_03_31	     820	      20	      75	       1
2020_04_01	     966	      24	     146	       4
2020_04_02	    1054	      27	      88	       3
2020_04_03	    1133	      31	      79	       4
2020_04_04	    1265	      37	     132	       6
2020_04_05	    1353	      42	      88	       5
2020_04_06	    1451	      44	      98	       2
2020_04_07	    1554	      46	     103	       2
2020_04_08	    1628	      53	      74	       7
2020_04_09	    1715	      60	      87	       7
2020_04_10	    1795	      67	      80	       7
2020_04_11	    1929	      79	     134	      12
2020_04_12	    1975	      82	      46	       3
2020_04_13	    1975	      82	       0	       0
2020_04_14	    2252	      95	     277	      13
2020_04_15	    2336	     101	      84	       6
2020_04_16	    2477	     108	     141	       7
2020_04_17	    2598	     115	     121	       7
2020_04_18	    2694	     122	      96	       7
2020_04_19	    2784	     129	      90	       7
2020_04_20	    2839	     132	      55	       3
2020_04_21	    2960	     136	     121	       4
2020_04_22	    3073	     145	     113	       9
2020_04_23	    3197	     152	     124	       7
2020_04_24	    3340	     159	     143	       7
2020_04_25	    3479	     167	     139	       8
2020_04_26	    3701	     179	     222	      12
2020_04_27	    3838	     179	     137	       0
2020_04_28	    3892	     192	      54	      13
2020_04_29	    4019	     197	     127	       5
2020_04_30	    4201	     207	     182	      10
2020_05_01	    4304	     215	     103	       8
2020_05_02	    4476	     220	     172	       5
2020_05_03	    4532	     229	      56	       9
2020_05_04	    4681	     241	     149	      12
2020_05_05	    4799	     250	     118	       9
2020_05_06	    4922	     262	     123	      12
