#
# COVID-19 Country file (official WHO count)
# Country = Armenia
# Latitude = 40.0
# Population = 2938.679
# Territory = 29743.0
# LEB = 75.1
# DPA = 29000
# DPA65 = 21170
# GDP = 4225.0
# GDP_PPP = 10430.0
# COVID-19 Mortality = 1525.9
# First_Case = 2020_03_02
# Last_Case = 2021_06_13
# First_Death = 2020_03_27
# Last_Death = 2021_06_13
# Status as of 2021_06_13 = Community transmission
# Vaccine type = Oxford/AstraZeneca
# Vaccine start = 2021_03_28
#
Date	Conf_Cases	Conf_Deaths	Daily_Cases	Daily_Deaths
2020_03_02	       1	       0	       1	       0
2020_03_03	       1	       0	       0	       0
2020_03_04	       1	       0	       0	       0
2020_03_05	       1	       0	       0	       0
2020_03_06	       1	       0	       0	       0
2020_03_07	       1	       0	       0	       0
2020_03_08	       1	       0	       0	       0
2020_03_09	       1	       0	       0	       0
2020_03_10	       1	       0	       0	       0
2020_03_11	       1	       0	       0	       0
2020_03_12	       1	       0	       0	       0
2020_03_13	       1	       0	       0	       0
2020_03_14	       8	       0	       7	       0
2020_03_15	       8	       0	       0	       0
2020_03_16	      26	       0	      18	       0
2020_03_17	      52	       0	      26	       0
2020_03_18	      52	       0	       0	       0
2020_03_19	      84	       0	      32	       0
2020_03_20	     122	       0	      38	       0
2020_03_21	     136	       0	      14	       0
2020_03_22	     160	       0	      24	       0
2020_03_23	     190	       0	      30	       0
2020_03_24	     235	       0	      45	       0
2020_03_25	     265	       0	      30	       0
2020_03_26	     290	       0	      25	       0
2020_03_27	     329	       1	      39	       1
2020_03_28	     372	       1	      43	       0
2020_03_29	     424	       3	      52	       2
2020_03_30	     482	       3	      58	       0
2020_03_31	     482	       3	       0	       0
2020_04_01	     532	       3	      50	       0
2020_04_02	     571	       3	      39	       0
2020_04_03	     640	       4	      69	       1
2020_04_04	     736	       7	      96	       3
2020_04_05	     746	       7	      10	       0
2020_04_06	     746	       7	       0	       0
2020_04_07	     833	       8	      87	       1
2020_04_08	     877	       8	      44	       0
2020_04_09	     921	      10	      44	       2
2020_04_10	     937	      11	      16	       1
2020_04_11	     937	      11	       0	       0
2020_04_12	    1013	      13	      76	       2
2020_04_13	    1039	      14	      26	       1
2020_04_14	    1039	      14	       0	       0
2020_04_15	    1067	      16	      28	       2
2020_04_16	    1135	      18	      68	       2
2020_04_17	    1159	      18	      24	       0
2020_04_18	    1201	      19	      42	       1
2020_04_19	    1248	      20	      47	       1
2020_04_20	    1291	      20	      43	       0
2020_04_21	    1339	      22	      48	       2
2020_04_22	    1377	      24	      38	       2
2020_04_23	    1473	      24	      96	       0
2020_04_24	    1523	      24	      50	       0
2020_04_25	    1596	      27	      73	       3
2020_04_26	    1746	      28	     150	       1
