#
# COVID-19 Country file (official WHO count)
# Country = Aruba
# Latitude = 13.0
# Population = 106.438
# Territory = 180.0
# LEB = 76.3
# DPA = 1000
# DPA65 = 730
# GDP = 25754.0
# GDP_PPP = 32378.0
# COVID-19 Mortality = 1005.3
# First_Case = 2020_03_17
# Last_Case = 2021_06_13
# First_Death = 2020_04_16
# Last_Death = 2021_05_30
# Status as of 2021_06_13 = Community transmission
# Vaccine type = Moderna
# Vaccine start = 2021_02_21
#
Date	Conf_Cases	Conf_Deaths	Daily_Cases	Daily_Deaths
2020_03_17	       2	       0	       2	       0
2020_03_18	       2	       0	       0	       0
2020_03_19	       4	       0	       2	       0
2020_03_20	       5	       0	       1	       0
2020_03_21	       5	       0	       0	       0
2020_03_22	       5	       0	       0	       0
2020_03_23	       8	       0	       3	       0
2020_03_24	       9	       0	       1	       0
2020_03_25	      12	       0	       3	       0
2020_03_26	      19	       0	       7	       0
2020_03_27	      19	       0	       0	       0
2020_03_28	      28	       0	       9	       0
2020_03_29	      46	       0	      18	       0
2020_03_30	      46	       0	       0	       0
2020_03_31	      50	       0	       4	       0
2020_04_01	      55	       0	       5	       0
2020_04_02	      55	       0	       0	       0
2020_04_03	      60	       0	       5	       0
2020_04_04	      62	       0	       2	       0
2020_04_05	      64	       0	       2	       0
2020_04_06	      64	       0	       0	       0
2020_04_07	      64	       0	       0	       0
2020_04_08	      71	       0	       7	       0
2020_04_09	      74	       0	       3	       0
2020_04_10	      82	       0	       8	       0
2020_04_11	      86	       0	       4	       0
2020_04_12	      92	       0	       6	       0
2020_04_13	      92	       0	       0	       0
2020_04_14	      92	       0	       0	       0
2020_04_15	      92	       0	       0	       0
2020_04_16	      93	       1	       1	       1
2020_04_17	      95	       2	       2	       1
2020_04_18	      96	       2	       1	       0
2020_04_19	      96	       2	       0	       0
2020_04_20	      97	       2	       1	       0
2020_04_21	      97	       2	       0	       0
2020_04_22	      97	       2	       0	       0
2020_04_23	     100	       2	       3	       0
2020_04_24	     100	       2	       0	       0
2020_04_25	     100	       2	       0	       0
2020_04_26	     100	       2	       0	       0
2020_04_27	     100	       2	       0	       0
2020_04_28	     100	       2	       0	       0
2020_04_29	     100	       2	       0	       0
2020_04_30	     100	       2	       0	       0
2020_05_01	     100	       2	       0	       0
2020_05_02	     100	       2	       0	       0
2020_05_03	     100	       2	       0	       0
2020_05_04	     100	       2	       0	       0
2020_05_05	     100	       2	       0	       0
2020_05_06	     101	       2	       1	       0
2020_05_07	     101	       2	       0	       0
2020_05_08	     101	       2	       0	       0
2020_05_09	     101	       3	       0	       1
2020_05_10	     101	       3	       0	       0
2020_05_11	     101	       3	       0	       0
2020_05_12	     101	       3	       0	       0
2020_05_13	     101	       3	       0	       0
2020_05_14	     101	       3	       0	       0
2020_05_15	     101	       3	       0	       0
2020_05_16	     101	       3	       0	       0
2020_05_17	     101	       3	       0	       0
2020_05_18	     101	       3	       0	       0
2020_05_19	     101	       3	       0	       0
2020_05_20	     101	       3	       0	       0
2020_05_21	     101	       3	       0	       0
2020_05_22	     101	       3	       0	       0
2020_05_23	     101	       3	       0	       0
2020_05_24	     101	       3	       0	       0
2020_05_25	     101	       3	       0	       0
2020_05_26	     101	       3	       0	       0
2020_05_27	     101	       3	       0	       0
2020_05_28	     101	       3	       0	       0
2020_05_29	     101	       3	       0	       0
2020_05_30	     101	       3	       0	       0
2020_05_31	     101	       3	       0	       0
2020_06_01	     101	       3	       0	       0
2020_06_02	     101	       3	       0	       0
2020_06_03	     101	       3	       0	       0
2020_06_04	     101	       3	       0	       0
