#
# COVID-19 Country file (official WHO count)
# Country = Austria
# Latitude = 48.0
# Population = 8782.210
# Territory = 83871.0
# LEB = 81.5
# DPA = 88000
# DPA65 = 74800
# GDP = 49734.0
# GDP_PPP = 53275.0
# COVID-19 Mortality = 83.4
# First_Case = 2020_02_26
# First_Death = 2020_03_13
# Last_Case = 2020_03_13
# Last_Death = 2020_03_13
# Status as of 2020_08_23 = Community transmission
#
Date	Conf_Cases	Conf_Deaths
2020_02_26	2	0
2020_02_27	2	0
2020_02_28	4	0
2020_02_29	5	0
2020_03_01	10	0
2020_03_02	10	0
2020_03_03	18	0
2020_03_04	24	0
2020_03_05	37	0
2020_03_06	47	0
2020_03_07	66	0
2020_03_08	104	0
2020_03_09	112	0
2020_03_10	131	0
2020_03_11	182	0
2020_03_12	302	0
2020_03_13	361	1
2020_03_14	504	1
2020_03_15	800	1
2020_03_16	959	1
2020_03_17	1132	3
2020_03_18	1332	3
2020_03_19	1646	4
2020_03_20	1843	5
2020_03_21	2649	6
2020_03_22	3024	8
2020_03_23	3631	16
2020_03_24	4486	25
2020_03_25	5282	30
2020_03_26	5888	34
2020_03_27	7029	52
2020_03_28	7697	68
2020_03_29	8291	68
2020_03_30	8813	86
2020_03_31	9618	108
2020_04_01	10182	128
2020_04_02	10711	146
2020_04_03	11129	158
2020_04_04	11525	168
2020_04_05	11766	186
2020_04_06	11983	204
2020_04_07	12297	220
2020_04_08	12640	243
2020_04_09	12969	273
2020_04_10	13248	295
2020_04_11	13560	319
2020_04_12	13807	337
2020_04_13	13937	350
2020_04_14	14043	368
2020_04_15	14234	384
2020_04_16	14370	393
2020_04_17	14448	410
2020_04_18	14603	431
2020_04_19	14662	443
2020_04_20	14710	452
2020_04_21	14783	470
2020_04_22	14833	463
2020_04_23	14924	494
2020_04_24	14985	508
2020_04_25	15068	513
2020_04_26	15134	536
2020_04_27	15189	542
2020_04_28	15256	549
2020_04_29	15314	569
2020_04_30	15364	580
2020_05_01	15457	584
2020_05_02	15531	589
2020_05_03	15558	596
2020_05_04	15597	598
2020_05_05	15621	600
2020_05_06	15586	606
2020_05_07	15651	608
2020_05_08	15673	609
2020_05_09	15735	614
2020_05_10	15777	615
2020_05_11	15787	618
2020_05_12	15874	620
2020_05_13	15910	623
2020_05_14	15964	624
2020_05_15	16005	626
2020_05_16	16068	628
2020_05_17	16140	628
2020_05_18	16154	629
2020_05_19	16179	629
2020_05_20	16257	632
2020_05_21	16275	633
2020_05_22	16332	633
2020_05_23	16361	635
2020_05_24	16407	639
2020_05_25	16439	640
2020_05_26	16459	641
2020_05_27	16497	643
2020_05_28	16515	645
2020_05_29	16543	668
2020_05_30	16594	668
2020_05_31	16638	668
2020_06_01	16642	668
2020_06_02	16663	668
2020_06_03	16674	669
2020_06_04	16705	670
2020_06_05	16741	670
2020_06_06	16803	672
2020_06_07	16822	672
2020_06_08	16868	672
2020_06_09	16889	672
2020_06_10	16902	672
2020_06_11	16936	673
2020_06_12	16964	674
2020_06_13	16994	675
2020_06_14	17014	677
2020_06_15	17038	677
2020_06_16	17065	678
2020_06_17	17098	681
2020_06_18	17115	687
2020_06_19	17155	688
2020_06_20	17185	688
2020_06_21	17247	688
2020_06_22	17285	690
2020_06_23	17320	690
2020_06_24	17351	693
2020_06_25	17384	693
2020_06_26	17431	698
2020_06_27	17498	698
2020_06_28	17562	700
2020_06_29	17625	702
2020_06_30	17666	703
2020_07_01	17777	705
2020_07_02	17814	705
2020_07_03	17952	705
2020_07_04	18073	705
2020_07_05	18196	705
2020_07_06	18269	706
2020_07_07	18326	706
2020_07_08	18415	706
2020_07_09	18516	706
2020_07_10	18613	706
2020_07_11	18687	706
2020_07_12	18795	706
2020_07_13	18847	708
2020_07_14	18859	708
2020_07_15	19060	709
2020_07_16	19115	710
2020_07_17	19268	711
2020_07_18	19406	711
2020_07_19	19508	711
2020_07_20	19571	711
2020_07_21	19679	711
2020_07_22	19679	710
2020_07_23	20038	711
2020_07_24	20148	711
2020_07_25	20229	711
2020_07_26	20229	711
2020_07_27	20486	712
2020_07_28	20550	713
2020_07_29	20682	713
2020_07_30	20846	716
2020_07_31	21009	718
2020_08_01	21098	718
2020_08_02	21224	718
2020_08_03	21309	718
2020_08_04	21341	718
2020_08_05	21472	719
2020_08_06	21575	719
2020_08_07	21689	719
2020_08_08	21819	720
2020_08_09	21935	721
2020_08_10	22011	721
2020_08_11	22122	723
2020_08_12	22260	723
2020_08_13	22501	724
2020_08_14	22730	725
2020_08_15	22951	725
2020_08_16	23211	728
2020_08_17	23480	728
2020_08_18	23749	728
2020_08_19	24018	728
2020_08_20	24287	728
2020_08_21	24556	728
2020_08_22	24825	728
2020_08_23	25099	732
