#
# COVID-19 Country file (official WHO count)
# Country = Bahrain
# Latitude = 26.0
# Population = 1697.765
# Territory = 765.0
# LEB = 77.3
# DPA = 4000
# DPA65 = 1960
# GDP = 24337.0
# GDP_PPP = 50365.0
# COVID-19 Mortality = 710.3
# First_Case = 2020_02_25
# Last_Case = 2021_06_13
# First_Death = 2020_03_16
# Last_Death = 2021_06_13
# Status as of 2021_06_13 = Community transmission
# Vaccine type = Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V
# Vaccine start = 2020_12_23
#
Date	Conf_Cases	Conf_Deaths	Daily_Cases	Daily_Deaths
2020_02_25	       8	       0	       8	       0
2020_02_26	      26	       0	      18	       0
2020_02_27	      33	       0	       7	       0
2020_02_28	      33	       0	       0	       0
2020_02_29	      38	       0	       5	       0
2020_03_01	      40	       0	       2	       0
2020_03_02	      47	       0	       7	       0
2020_03_03	      49	       0	       2	       0
2020_03_04	      49	       0	       0	       0
2020_03_05	      49	       0	       0	       0
2020_03_06	      49	       0	       0	       0
2020_03_07	      49	       0	       0	       0
2020_03_08	      56	       0	       7	       0
2020_03_09	      79	       0	      23	       0
2020_03_10	     109	       0	      30	       0
2020_03_11	     110	       0	       1	       0
2020_03_12	     189	       0	      79	       0
2020_03_13	     195	       0	       6	       0
2020_03_14	     210	       0	      15	       0
2020_03_15	     211	       0	       1	       0
2020_03_16	     221	       1	      10	       1
2020_03_17	     229	       1	       8	       0
2020_03_18	     237	       1	       8	       0
2020_03_19	     256	       1	      19	       0
2020_03_20	     269	       1	      13	       0
2020_03_21	     285	       1	      16	       0
2020_03_22	     306	       1	      21	       0
2020_03_23	     337	       2	      31	       1
2020_03_24	     377	       2	      40	       0
2020_03_25	     392	       3	      15	       1
2020_03_26	     419	       4	      27	       1
2020_03_27	     458	       4	      39	       0
2020_03_28	     473	       4	      15	       0
2020_03_29	     476	       4	       3	       0
2020_03_30	     515	       4	      39	       0
2020_03_31	     515	       4	       0	       0
2020_04_01	     567	       4	      52	       0
2020_04_02	     569	       4	       2	       0
2020_04_03	     643	       4	      74	       0
2020_04_04	     673	       4	      30	       0
2020_04_05	     688	       4	      15	       0
2020_04_06	     700	       4	      12	       0
2020_04_07	     756	       4	      56	       0
