#
# COVID-19 Country file (official WHO count)
# Country = Bangladesh
# Latitude = 23.0
# Population = 169775.309
# Territory = 147570.0
# LEB = 72.6
# DPA = 901000
# DPA65 = 459510
# GDP = 1698.0
# GDP_PPP = 4675.0
# COVID-19 Mortality = 23.0
# First_Case = 2020_03_09
# First_Death = 2020_03_20
# Last_Case = 2020_03_20
# Last_Death = 2020_03_20
# Status as of 2020_08_23 = Community transmission
#
Date	Conf_Cases	Conf_Deaths
2020_03_09	3	0
2020_03_10	3	0
2020_03_11	3	0
2020_03_12	3	0
2020_03_13	3	0
2020_03_14	3	0
2020_03_15	3	0
2020_03_16	5	0
2020_03_17	8	0
2020_03_18	8	0
2020_03_19	10	0
2020_03_20	17	1
2020_03_21	17	1
2020_03_22	24	2
2020_03_23	27	2
2020_03_24	33	3
2020_03_25	39	4
2020_03_26	39	4
2020_03_27	48	5
2020_03_28	48	5
2020_03_29	48	5
2020_03_30	49	5
2020_03_31	49	5
2020_04_01	54	6
2020_04_02	54	6
2020_04_03	56	6
2020_04_04	61	6
2020_04_05	70	8
2020_04_06	88	8
2020_04_07	123	12
2020_04_08	164	17
2020_04_09	218	20
2020_04_10	330	21
2020_04_11	424	27
2020_04_12	621	34
2020_04_13	621	34
2020_04_14	803	39
2020_04_15	1012	46
2020_04_16	1231	50
2020_04_17	1572	60
2020_04_18	1838	75
2020_04_19	2144	84
2020_04_20	2456	91
2020_04_21	2948	101
2020_04_22	3382	110
2020_04_23	3772	120
2020_04_24	4186	127
2020_04_25	4689	131
2020_04_26	4998	140
2020_04_27	5416	145
2020_04_28	5913	152
2020_04_29	6462	155
2020_04_30	7103	163
2020_05_01	7667	168
2020_05_02	8238	170
2020_05_03	8790	175
2020_05_04	9455	177
2020_05_05	10143	182
2020_05_06	10929	183
2020_05_07	11719	186
2020_05_08	12425	186
2020_05_09	13134	206
2020_05_10	13770	214
2020_05_11	14657	228
2020_05_12	15691	239
2020_05_13	16660	250
2020_05_14	17822	269
2020_05_15	18863	283
2020_05_16	20065	298
2020_05_17	20995	314
2020_05_18	22268	328
2020_05_19	23870	349
2020_05_20	25121	370
2020_05_21	26738	386
2020_05_22	28511	408
2020_05_23	30205	432
2020_05_24	32078	452
2020_05_25	33610	480
2020_05_26	35585	501
2020_05_27	36751	522
2020_05_28	38292	544
2020_05_29	40321	559
2020_05_30	42844	582
2020_05_31	44608	610
2020_06_01	47153	650
2020_06_02	49534	672
2020_06_03	52445	709
2020_06_04	55140	746
2020_06_05	57563	781
2020_06_06	60391	811
2020_06_07	63026	846
2020_06_08	65769	888
2020_06_09	68504	930
2020_06_10	71675	975
2020_06_11	74865	1012
2020_06_12	78052	1049
2020_06_13	81523	1095
2020_06_14	84379	1139
2020_06_15	87520	1171
2020_06_16	90619	1209
2020_06_17	94481	1262
2020_06_18	98489	1305
2020_06_19	102292	1343
2020_06_20	105535	1388
2020_06_21	108775	1425
2020_06_22	112306	1464
2020_06_23	115786	1502
2020_06_24	119198	1545
2020_06_25	122660	1582
2020_06_26	126606	1621
2020_06_27	130474	1661
2020_06_28	133978	1695
2020_06_29	137787	1738
2020_06_30	141801	1783
2020_07_01	145483	1847
2020_07_02	149258	1888
2020_07_03	153277	1926
2020_07_04	156391	1968
2020_07_05	159679	1997
2020_07_06	162417	2052
2020_07_07	165618	2096
2020_07_08	168645	2151
2020_07_09	172134	2197
2020_07_10	175494	2238
2020_07_11	178443	2275
2020_07_12	181129	2305
2020_07_13	183795	2352
2020_07_14	186894	2391
2020_07_15	190057	2424
2020_07_16	193590	2457
2020_07_17	196323	2496
2020_07_18	199357	2547
2020_07_19	202066	2581
2020_07_20	204525	2618
2020_07_21	207453	2668
2020_07_22	210510	2709
2020_07_23	213254	2751
2020_07_24	216110	2801
2020_07_25	218658	2836
2020_07_26	218658	2836
2020_07_27	223453	2928
2020_07_28	226225	2965
2020_07_29	229185	3000
2020_07_30	232194	3035
2020_07_31	234889	3083
2020_08_01	237661	3111
2020_08_02	239860	3132
2020_08_03	240746	3154
2020_08_04	242102	3184
2020_08_05	244020	3234
2020_08_06	246674	3267
2020_08_07	249651	3306
2020_08_08	252502	3333
2020_08_09	255113	3365
2020_08_10	257600	3399
2020_08_11	260507	3438
2020_08_12	263503	3471
2020_08_13	266498	3513
2020_08_14	269115	3557
2020_08_15	271881	3591
2020_08_16	274525	3625
2020_08_17	277110	3665
2020_08_18	279695	3705
2020_08_19	282280	3745
2020_08_20	284865	3785
2020_08_21	287450	3825
2020_08_22	290035	3865
2020_08_23	292625	3907
