#
# COVID-19 Country file (official WHO count)
# Country = Belgium
# Latitude = 51.0
# Population = 11619.972
# Territory = 30528.0
# LEB = 81.6
# DPA = 113000
# DPA65 = 94920
# GDP = 45328.0
# GDP_PPP = 49537.0
# COVID-19 Mortality = 859.6
# First_Case = 2020_02_05
# First_Death = 2020_03_16
# Last_Case = 2020_03_16
# Last_Death = 2020_03_16
# Status as of 2020_08_23 = Community transmission
#
Date	Conf_Cases	Conf_Deaths
2020_02_05	1	0
2020_02_06	1	0
2020_02_07	1	0
2020_02_08	1	0
2020_02_09	1	0
2020_02_10	1	0
2020_02_11	1	0
2020_02_12	1	0
2020_02_13	1	0
2020_02_14	1	0
2020_02_15	1	0
2020_02_16	1	0
2020_02_17	1	0
2020_02_18	1	0
2020_02_19	1	0
2020_02_20	1	0
2020_02_21	1	0
2020_02_22	1	0
2020_02_23	1	0
2020_02_24	1	0
2020_02_25	1	0
2020_02_26	1	0
2020_02_27	1	0
2020_02_28	1	0
2020_02_29	1	0
2020_03_01	1	0
2020_03_02	1	0
2020_03_03	8	0
2020_03_04	8	0
2020_03_05	23	0
2020_03_06	50	0
2020_03_07	109	0
2020_03_08	169	0
2020_03_09	200	0
2020_03_10	239	0
2020_03_11	267	0
2020_03_12	314	0
2020_03_13	314	0
2020_03_14	599	0
2020_03_15	689	0
2020_03_16	1085	5
2020_03_17	1085	5
2020_03_18	1486	14
2020_03_19	1486	14
2020_03_20	1795	14
2020_03_21	2257	37
2020_03_22	2815	67
2020_03_23	3401	75
2020_03_24	3743	88
2020_03_25	4269	122
2020_03_26	4937	178
2020_03_27	6235	220
2020_03_28	7284	289
2020_03_29	9134	353
2020_03_30	10836	431
2020_03_31	11899	513
2020_04_01	12775	705
2020_04_02	13964	828
2020_04_03	15348	1011
2020_04_04	16770	1143
2020_04_05	18431	1283
2020_04_06	19691	1447
2020_04_07	20814	1632
2020_04_08	22194	2035
2020_04_09	23403	2240
2020_04_10	24983	2523
2020_04_11	26667	3019
2020_04_12	28018	3346
2020_04_13	29647	3600
2020_04_14	30589	3903
2020_04_15	31119	4157
2020_04_16	33573	4440
2020_04_17	34809	4857
2020_04_18	36138	5163
2020_04_19	37183	5453
2020_04_20	38496	5683
2020_04_21	39983	5828
2020_04_22	40956	5998
2020_04_23	41889	6262
2020_04_24	42797	6490
2020_04_25	44293	6679
2020_04_26	45325	6917
2020_04_27	46134	7094
2020_04_28	46687	7207
2020_04_29	47334	7331
2020_04_30	47859	7501
2020_05_01	48519	7594
2020_05_02	49032	7703
2020_05_03	49517	7765
2020_05_04	49906	7844
2020_05_05	50267	7924
2020_05_06	50509	8016
2020_05_07	50781	8339
2020_05_08	51420	8415
2020_05_09	52011	8521
2020_05_10	52596	8581
2020_05_11	53081	8656
2020_05_12	53449	8707
2020_05_13	53779	8761
2020_05_14	53981	8843
2020_05_15	54288	8903
2020_05_16	54644	8959
2020_05_17	54989	9005
2020_05_18	55280	9052
2020_05_19	55559	9080
2020_05_20	55791	9108
2020_05_21	55983	9150
2020_05_22	56235	9186
2020_05_23	56511	9212
2020_05_24	56810	9237
2020_05_25	57092	9280
2020_05_26	57342	9312
2020_05_27	57455	9334
2020_05_28	57592	9364
2020_05_29	57849	9388
2020_05_30	58061	9443
2020_05_31	58186	9453
2020_06_01	58381	9467
2020_06_02	58517	9486
2020_06_03	58615	9505
2020_06_04	58685	9522
2020_06_05	58767	9548
2020_06_06	58907	9566
2020_06_07	59072	9580
2020_06_08	59226	9595
2020_06_09	59348	9609
2020_06_10	59437	9619
2020_06_11	59569	9629
2020_06_12	59711	9636
2020_06_13	59819	9646
2020_06_14	59918	9650
2020_06_15	60029	9655
2020_06_16	60100	9661
2020_06_17	60155	9663
2020_06_18	60244	9675
2020_06_19	60348	9683
2020_06_20	60476	9695
2020_06_21	60550	9696
2020_06_22	60550	9696
2020_06_23	60550	9696
2020_06_24	60810	9713
2020_06_25	60898	9722
2020_06_26	61007	9726
2020_06_27	61106	9731
2020_06_28	61209	9732
2020_06_29	61361	9732
2020_06_30	61427	9747
2020_07_01	61509	9754
2020_07_02	61598	9761
2020_07_03	61727	9765
2020_07_04	61838	9771
2020_07_05	61909	9771
2020_07_06	62016	9771
2020_07_07	62058	9774
2020_07_08	62123	9776
2020_07_09	62210	9778
2020_07_10	62210	9781
2020_07_11	62469	9782
2020_07_12	62606	9782
2020_07_13	62707	9782
2020_07_14	62781	9787
2020_07_15	62781	9787
2020_07_16	63039	9792
2020_07_17	63238	9795
2020_07_18	63499	9800
2020_07_19	63706	9800
2020_07_20	63893	9800
2020_07_21	64094	9805
2020_07_22	64258	9805
2020_07_23	64534	9808
2020_07_24	64754	9812
2020_07_25	65106	9817
2020_07_26	65106	9817
2020_07_27	65933	9821
2020_07_28	66335	9822
2020_07_29	66569	9833
2020_07_30	67242	9836
2020_07_31	67913	9840
2020_08_01	68658	9841
2020_08_02	69309	9845
2020_08_03	69756	9845
2020_08_04	70221	9850
2020_08_05	70555	9852
2020_08_06	71065	9859
2020_08_07	71923	9861
2020_08_08	72691	9866
2020_08_09	73308	9870
2020_08_10	74059	9872
2020_08_11	74527	9879
2020_08_12	74915	9885
2020_08_13	75554	9900
2020_08_14	76098	9916
2020_08_15	77020	9924
2020_08_16	77776	9935
2020_08_17	78290	9942
2020_08_18	78804	9949
2020_08_19	79318	9956
2020_08_20	79832	9963
2020_08_21	80346	9970
2020_08_22	80860	9977
2020_08_23	81374	9988
